rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.245139476658,77.65982771471514,300683,海特生物,bottom_area,2023-11-23,37.43,2023-11-21,36.7,1.9891008174386833,3.5149863760217954,28.931061192873734,False,1.9058,1.5836,1,1,1,100.0,16.532137518684582,16.532137518684582,8.010899182561317,1.9891008174386833,历史1/1次成功; 当前距低点1.99%; 最新日涨幅1.91%; 状态bottom_area; 底部未确认
2,80.52984472995227,79.8008942535973,000928,中钢国际,bottom_area,2023-11-23,6.24,2023-10-23,5.97,4.522613065326641,7.705192629815745,31.06235565819862,True,1.2987,1.3192,3,3,3,100.0,16.57232280936585,18.798449612403097,5.477386934673359,4.522613065326641,历史3/3次成功; 当前距低点4.52%; 最新日涨幅1.30%; 状态bottom_area; 底部已确认
3,79.99528629678895,74.48455686589833,300554,三超新材,bottom_area,2023-11-23,29.06,2023-11-23,28.7,1.2543554006968622,4.00696864111499,27.341772151898734,False,-1.3243,14.751,1,1,1,100.0,12.927350427350436,12.927350427350436,8.745644599303139,1.2543554006968622,历史1/1次成功; 当前距低点1.25%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
4,78.14379456091181,71.27737431843417,605086,龙高股份,bottom_area,2023-11-23,28.64,2023-11-23,28.59,0.1748863238894743,4.442112626792583,28.219934722570923,False,-4.7872,19.1553,2,2,2,100.0,15.839328693022429,17.79249448123621,9.825113676110526,0.1748863238894743,历史2/2次成功; 当前距低点0.17%; 最新日涨幅-4.79%; 状态bottom_area; 底部未确认
5,78.00334320741581,73.38364835288856,601022,宁波远洋,bottom_area,2023-11-23,10.77,2023-11-23,10.58,1.795841209829863,3.7807183364839356,27.084769124741552,False,-0.554,16.4289,1,1,1,100.0,13.646055437100205,13.646055437100205,8.204158790170139,1.795841209829863,历史1/1次成功; 当前距低点1.80%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
6,77.95010865563236,77.46594649006944,600048,保利发展,bottom_area,2023-11-23,11.2,2023-10-30,10.7,4.672897196261683,5.981308411214959,28.139691067830768,False,3.2258,0.8672,2,2,2,100.0,31.721247836269217,31.987577639751546,5.327102803738317,4.672897196261683,历史2/2次成功; 当前距低点4.67%; 最新日涨幅3.23%; 状态bottom_area; 底部未确认
7,72.6734444002277,66.77862095641055,301448,开创电气,bottom_area,2023-11-23,39.4,2023-11-23,39.18,0.5615109749872356,6.942317508933127,27.698837423878942,False,-7.2941,34.7582,1,1,1,100.0,13.058419243986243,13.058419243986243,9.438489025012766,0.5615109749872356,历史1/1次成功; 当前距低点0.56%; 最新日涨幅-7.29%; 状态bottom_area; 底部未确认
8,70.5258475448574,66.67289150321434,002584,西陇科学,bottom_area,2023-11-23,9.95,2023-11-23,9.75,2.051282051282044,7.6923076923076925,31.818181818181824,False,-8.1256,41.9735,2,4,2,50.0,49.24631494697527,68.08510638297875,7.948717948717957,2.051282051282044,历史2/4次成功; 当前距低点2.05%; 最新日涨幅-8.13%; 状态bottom_area; 底部未确认
9,67.39646408867489,63.72159071592025,300337,银邦股份,bottom_area,2023-11-23,8.93,2023-11-22,8.75,2.057142857142854,3.885714285714284,27.022518765638033,False,1.8244,4.9817,1,2,1,50.0,34.09610983981694,34.09610983981694,7.942857142857146,2.057142857142854,历史1/2次成功; 当前距低点2.06%; 最新日涨幅1.82%; 状态bottom_area; 底部未确认
10,66.70488387760561,66.50150362992031,002080,中材科技,bottom_area,2023-11-23,17.33,2023-10-26,16.53,4.839685420447654,9.074410163339381,27.244718309859145,True,1.4637,0.3559,2,3,2,66.66666666666666,21.179138289646758,28.579356270810223,5.160314579552347,4.839685420447654,历史2/3次成功; 当前距低点4.84%; 最新日涨幅1.46%; 状态bottom_area; 底部已确认
11,62.42085903083701,62.42085903083701,002366,融发核电,bottom_area,2023-11-23,5.25,2023-10-23,5.0,5.0,9.2,28.469241773962807,True,0.0,0.8416,2,4,2,50.0,20.64977973568282,25.0,5.0,5.0,历史2/4次成功; 当前距低点5.00%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
