rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.51705123020592,74.26352815055985,002301,齐心集团,bottom_area,2024-12-11,8.17,2024-12-09,7.84,4.209183673469389,5.229591836734696,28.073394495412845,False,0.2454,5.8976,1,1,1,100.0,25.486381322957207,25.486381322957207,15.790816326530614,4.209183673469389,历史1/1次成功; 当前距低点4.21%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
2,76.24236085166756,66.89975208209778,000695,滨海能源,bottom_area,2024-12-11,12.03,2024-12-04,11.7,2.820512820512821,7.179487179487179,30.810171496156123,True,-0.4139,3.8251,2,3,2,66.66666666666666,21.042229280647017,21.910112359550556,17.17948717948718,2.820512820512821,历史2/3次成功; 当前距低点2.82%; 最新日涨幅-0.41%; 状态bottom_area; 底部已确认
3,68.68931162256803,59.57833141229916,000833,粤桂股份,bottom_area,2024-12-11,14.02,2024-12-11,13.72,2.186588921282791,5.320699708454801,32.909535452322736,False,-2.1633,17.1818,1,2,1,50.0,35.88039867109634,35.88039867109634,17.813411078717213,2.186588921282791,历史1/2次成功; 当前距低点2.19%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
4,65.3888818533016,56.706996699669965,002640,跨境通,bottom_area,2024-12-11,5.16,2024-12-11,5.05,2.1782178217821846,9.306930693069303,32.66666666666667,False,-7.8571,30.5369,1,3,1,33.33333333333333,62.80487804878049,62.80487804878049,17.821782178217816,2.1782178217821846,历史1/3次成功; 当前距低点2.18%; 最新日涨幅-7.86%; 状态bottom_area; 底部未确认
5,64.65381635109256,57.7170855440458,001229,魅视科技,bottom_area,2024-12-11,41.07,2024-12-06,39.58,3.7645275391611976,5.356240525517951,31.033281059418023,False,0.0731,16.9578,1,3,1,33.33333333333333,42.18749999999999,42.18749999999999,16.235472460838803,3.7645275391611976,历史1/3次成功; 当前距低点3.76%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
6,63.374125213164305,55.75798102208758,001209,洪兴股份,bottom_area,2024-12-11,19.43,2024-12-11,18.87,2.967673555908843,3.285638579756213,32.4865831842576,False,0.3616,25.1288,1,3,1,33.33333333333333,21.88679245283018,21.88679245283018,17.032326444091158,2.967673555908843,历史1/3次成功; 当前距低点2.97%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
7,57.0250771656703,51.77543553011077,002095,生意宝,bottom_area,2024-12-11,22.98,2024-12-09,21.95,4.692482915717545,5.193621867881552,31.726283048211506,False,1.6814,9.2598,1,5,1,20.0,33.84030418250951,33.84030418250951,15.307517084282457,4.692482915717545,历史1/5次成功; 当前距低点4.69%; 最新日涨幅1.68%; 状态bottom_area; 底部未确认
8,55.96770163516019,51.05297514748484,000753,漳州发展,bottom_area,2024-12-11,5.09,2024-12-10,4.85,4.948453608247427,8.865979381443312,31.009957325746807,False,-1.165,12.3337,1,3,1,33.33333333333333,43.344709897610926,43.344709897610926,15.051546391752574,4.948453608247427,历史1/3次成功; 当前距低点4.95%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
