rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.34639164682307,77.70364958934958,002530,金财互联,bottom_area,2024-12-19,9.96,2024-12-19,9.84,1.2195121951219614,4.065040650406507,30.06396588486141,False,-1.1905,12.3567,3,4,3,75.0,33.97385695821315,54.814814814814795,13.780487804878039,1.2195121951219614,历史3/4次成功; 当前距低点1.22%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
2,85.05100328661322,73.95739416227238,000525,红太阳,bottom_area,2024-12-19,7.39,2024-12-19,7.39,0.0,0.0,29.4173829990449,False,-5.0129,0.0527,3,3,3,100.0,23.695667539098807,34.22131147540984,15.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-5.01%; 状态bottom_area; 底部未确认
3,81.0457000674811,71.29391912200231,603088,宁波精达,bottom_area,2024-12-19,9.76,2024-12-19,9.7,0.618556701030933,3.7113402061855796,28.307464892830748,False,-2.4,5.9452,3,4,3,75.0,31.985098926628154,46.15384615384614,14.381443298969065,0.618556701030933,历史3/4次成功; 当前距低点0.62%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
4,80.98544415597127,70.4221253530185,002862,实丰文化,bottom_area,2024-12-19,31.64,2024-12-19,31.64,0.0,7.996207332490522,28.09090909090909,False,-10.0114,14.9279,4,5,4,80.0,31.355512650637145,45.40647719762062,15.0,0.0,历史4/5次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
5,80.16035392135208,70.59340286031599,603356,华菱精工,bottom_area,2024-12-19,14.85,2024-12-19,14.75,0.6779661016949128,4.949152542372884,28.94990366088632,False,-4.317,11.5244,3,4,3,75.0,39.16218049559353,53.658536585365866,14.322033898305087,0.6779661016949128,历史3/4次成功; 当前距低点0.68%; 最新日涨幅-4.32%; 状态bottom_area; 底部未确认
6,77.32479078414539,69.3151436746154,002681,奋达科技,bottom_area,2024-12-19,7.49,2024-12-19,7.37,1.628222523744913,8.276797829036639,29.74261201143947,False,-4.2199,14.925,2,3,2,66.66666666666666,38.82163635530716,46.084337349397586,13.371777476255087,1.628222523744913,历史2/3次成功; 当前距低点1.63%; 最新日涨幅-4.22%; 状态bottom_area; 底部未确认
7,76.69947174308322,68.26654553049292,000716,黑芝麻,bottom_area,2024-12-19,7.31,2024-12-19,7.22,1.2465373961218817,7.894736842105267,27.217741935483875,False,-6.9975,13.3997,2,3,2,66.66666666666666,28.50529100529101,40.211640211640216,13.753462603878116,1.2465373961218817,历史2/3次成功; 当前距低点1.25%; 最新日涨幅-7.00%; 状态bottom_area; 底部未确认
8,73.90618087032485,66.29819166308553,605337,李子园,bottom_area,2024-12-19,12.2,2024-12-19,12.0,1.6666666666666607,4.583333333333339,28.01439712057589,False,-2.0867,3.6221,2,4,2,50.0,32.30210571551354,37.98882681564246,13.33333333333334,1.6666666666666607,历史2/4次成功; 当前距低点1.67%; 最新日涨幅-2.09%; 状态bottom_area; 底部未确认
9,72.76457574563246,66.50784099323425,000816,智慧农业,bottom_area,2024-12-19,3.46,2024-12-19,3.37,2.6706231454005893,14.836795252225517,29.79166666666666,False,-6.7385,16.987,2,3,2,66.66666666666666,36.50642525849964,48.23943661971832,12.329376854599412,2.6706231454005893,历史2/3次成功; 当前距低点2.67%; 最新日涨幅-6.74%; 状态bottom_area; 底部未确认
10,72.66008331874727,68.00652059509889,000813,德展健康,bottom_area,2024-12-19,3.69,2024-12-19,3.55,3.9436619718309895,11.549295774647891,30.118110236220474,False,-5.6266,9.8529,3,4,3,75.0,25.446612316524458,39.9103139013453,11.05633802816901,3.9436619718309895,历史3/4次成功; 当前距低点3.94%; 最新日涨幅-5.63%; 状态bottom_area; 底部未确认
11,72.42442545748506,67.8403267041533,300703,创源股份,bottom_area,2024-12-19,15.65,2024-12-19,15.05,3.986710963455147,5.3156146179401915,30.0,False,-3.5736,12.8734,1,1,1,100.0,20.914127423822727,20.914127423822727,11.013289036544851,3.986710963455147,历史1/1次成功; 当前距低点3.99%; 最新日涨幅-3.57%; 状态bottom_area; 底部未确认
