rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.10229664812607,83.08074261744136,300624,万兴科技,bottom_area,2022-02-08,41.03,2022-02-08,40.01,2.549362659335174,3.22419395151212,27.557486873076225,False,0.0976,3.3721,2,2,2,100.0,35.87790043400834,51.195680123425035,12.450637340664827,2.549362659335174,历史2/2次成功; 当前距低点2.55%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
2,88.24956424189311,80.79695004382124,603368,柳药集团,bottom_area,2022-02-08,16.75,2022-01-28,16.3,2.760736196319014,3.9263803680981626,30.282292557741652,False,0.9036,2.421,1,1,1,100.0,42.85714285714285,42.85714285714285,12.239263803680986,2.760736196319014,历史1/1次成功; 当前距低点2.76%; 最新日涨幅0.90%; 状态bottom_area; 底部未确认
3,85.28274374527406,77.16328238026942,688311,盟升电子,bottom_area,2022-02-08,55.7,2022-01-28,54.54,2.1268793546021336,6.784011734506789,28.882514017472943,False,-0.7838,0.9317,2,2,2,100.0,21.357888756786508,23.893805309734503,12.873120645397865,2.1268793546021336,历史2/2次成功; 当前距低点2.13%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
4,82.73932851984777,75.93942079255753,688089,嘉必优,bottom_area,2022-02-08,48.01,2022-02-08,46.66,2.8932704672096046,5.550792970424355,32.66955266955267,False,-1.7799,2.5811,1,1,1,100.0,40.83912611717973,40.83912611717973,12.106729532790395,2.8932704672096046,历史1/1次成功; 当前距低点2.89%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
5,81.1678609479315,74.92541216933155,000848,承德露露,bottom_area,2022-02-08,9.35,2022-01-28,9.06,3.200883002207496,3.532008830022078,27.228915662650593,False,1.6304,0.7458,1,1,1,100.0,16.685082872928174,16.685082872928174,11.799116997792503,3.200883002207496,历史1/1次成功; 当前距低点3.20%; 最新日涨幅1.63%; 状态bottom_area; 底部未确认
6,80.84616634815558,74.66626599040576,688356,键凯科技,bottom_area,2022-02-08,206.58,2022-02-08,200.12,3.228063162102742,4.962022786328206,30.725560786485733,False,0.6872,2.039,1,1,1,100.0,15.625,15.625,11.771936837897258,3.228063162102742,历史1/1次成功; 当前距低点3.23%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
7,80.47117218992713,75.21005810171414,002603,以岭药业,bottom_area,2022-02-08,20.95,2022-01-26,20.17,3.867129400099145,7.635101636093203,27.757879656160455,True,-1.5508,2.0068,1,1,1,100.0,39.661898569570866,39.661898569570866,11.132870599900855,3.867129400099145,历史1/1次成功; 当前距低点3.87%; 最新日涨幅-1.55%; 状态bottom_area; 底部已确认
8,79.29704300215869,71.97845217291581,601966,玲珑轮胎,bottom_area,2022-02-08,30.7,2022-02-08,30.01,2.2992335888037245,5.964678440519823,27.686746987951803,False,-3.4591,0.7222,1,1,1,100.0,22.476907287033857,22.476907287033857,12.700766411196273,2.2992335888037245,历史1/1次成功; 当前距低点2.30%; 最新日涨幅-3.46%; 状态bottom_area; 底部未确认
9,76.45103312392688,72.79264012781258,300339,润和软件,bottom_area,2022-02-08,19.4,2022-01-27,18.5,4.864864864864858,7.945945945945939,27.450980392156865,False,1.3584,2.6261,1,1,1,100.0,25.615763546798025,25.615763546798025,10.135135135135142,4.864864864864858,历史1/1次成功; 当前距低点4.86%; 最新日涨幅1.36%; 状态bottom_area; 底部未确认
10,63.83777092580054,57.643320447954835,300573,兴齐眼药,bottom_area,2022-02-08,100.58,2022-02-08,98.59,2.0184602900902675,4.4426412415052186,28.298181818181817,False,-0.9064,2.0379,1,3,1,33.33333333333333,42.86062675283501,42.86062675283501,12.98153970990973,2.0184602900902675,历史1/3次成功; 当前距低点2.02%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
11,60.91187984865295,56.021754385964925,300648,星云股份,bottom_area,2022-02-08,46.97,2022-02-08,45.6,3.004385964912275,6.118421052631577,27.596062241981578,False,-2.5721,1.9732,1,2,1,50.0,26.78362573099414,26.78362573099414,11.995614035087725,3.004385964912275,历史1/2次成功; 当前距低点3.00%; 最新日涨幅-2.57%; 状态bottom_area; 底部未确认
12,58.98239214742774,55.45710388536791,300612,宣亚国际,bottom_area,2022-02-08,19.9,2022-02-08,19.1,4.188481675392655,5.235602094240837,28.943452380952372,False,2.3136,5.7685,1,2,1,50.0,15.789473684210526,15.789473684210526,10.811518324607345,4.188481675392655,历史1/2次成功; 当前距低点4.19%; 最新日涨幅2.31%; 状态bottom_area; 底部未确认
13,56.94671916907601,52.92566447698381,688039,当虹科技,bottom_area,2022-02-08,65.35,2022-02-08,63.1,3.565768621236122,7.0364500792393105,29.881097899766633,False,-2.024,2.2791,1,2,1,50.0,17.019445878506282,17.019445878506282,11.434231378763878,3.565768621236122,历史1/2次成功; 当前距低点3.57%; 最新日涨幅-2.02%; 状态bottom_area; 底部未确认
