rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.54089264577512,82.94932377857491,688258,卓易信息,bottom_area,2023-07-13,61.03,2023-07-13,59.37,2.7960249284150307,4.0087586323058835,31.30857341200973,False,0.7262,1.9505,3,3,3,100.0,21.528282878285978,27.716894977168955,12.203975071584969,2.7960249284150307,历史3/3次成功; 当前距低点2.80%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
2,86.56171974011042,78.41859143207874,002825,纳尔股份,bottom_area,2023-07-13,8.85,2023-07-07,8.66,2.1939953810623503,2.886836027713626,32.55451713395638,False,1.1429,1.0352,1,1,1,100.0,23.123123123123136,23.123123123123136,12.80600461893765,2.1939953810623503,历史1/1次成功; 当前距低点2.19%; 最新日涨幅1.14%; 状态bottom_area; 底部未确认
3,85.40057192869064,75.47177851715121,002755,奥赛康,bottom_area,2023-07-13,8.16,2023-07-13,8.09,0.8652657601977787,1.3597033374536394,27.508960573476703,False,0.6165,0.5402,1,1,1,100.0,30.831099195710454,30.831099195710454,14.13473423980222,0.8652657601977787,历史1/1次成功; 当前距低点0.87%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
4,81.80299382260743,75.27203761755487,601669,中国电建,bottom_area,2023-07-13,5.78,2023-06-07,5.61,3.030303030303029,5.882352941176471,29.78723404255319,False,2.6643,1.5973,1,1,1,100.0,16.457680250783696,16.457680250783696,11.96969696969697,3.030303030303029,历史1/1次成功; 当前距低点3.03%; 最新日涨幅2.66%; 状态bottom_area; 底部未确认
5,80.80878352077623,75.63515219251504,002395,双象股份,bottom_area,2023-07-13,11.33,2023-06-26,10.9,3.944954128440364,8.34862385321101,29.677419354838708,True,-1.1344,2.4698,2,2,2,100.0,26.23466454494123,36.59976387249114,11.055045871559635,3.944954128440364,历史2/2次成功; 当前距低点3.94%; 最新日涨幅-1.13%; 状态bottom_area; 底部已确认
6,78.60566664788165,74.93852623202751,688236,春立医疗,bottom_area,2023-07-13,24.89,2023-06-28,23.72,4.93254637436763,7.082630691399662,32.228571428571435,True,2.6392,1.728,1,1,1,100.0,28.788881535407025,28.788881535407025,10.06745362563237,4.93254637436763,历史1/1次成功; 当前距低点4.93%; 最新日涨幅2.64%; 状态bottom_area; 底部已确认
7,77.8124107220375,73.80345349675561,600935,华塑股份,bottom_area,2023-07-13,3.82,2023-06-27,3.65,4.657534246575341,6.575342465753431,28.571428571428577,False,1.0582,0.2289,1,1,1,100.0,28.50877192982458,28.50877192982458,10.34246575342466,4.657534246575341,历史1/1次成功; 当前距低点4.66%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
8,73.00114128482126,69.07724725000494,603222,济民健康,bottom_area,2023-07-13,9.92,2023-07-10,9.49,4.531085353003158,8.113804004214959,27.112135176651304,True,0.5066,2.5405,4,7,4,57.14285714285714,35.21263670043394,68.46504559270518,10.46891464699684,4.531085353003158,历史4/7次成功; 当前距低点4.53%; 最新日涨幅0.51%; 状态bottom_area; 底部已确认
9,69.20070306897546,65.98292585518557,600984,建设机械,bottom_area,2023-07-13,4.46,2023-06-12,4.25,4.941176470588235,8.23529411764705,32.0,True,2.2936,0.8543,2,3,2,66.66666666666666,19.63516957774231,20.21439509954057,10.058823529411764,4.941176470588235,历史2/3次成功; 当前距低点4.94%; 最新日涨幅2.29%; 状态bottom_area; 底部已确认
10,62.31089674272333,58.67596769182977,000792,盐湖股份,bottom_area,2023-07-13,19.29,2023-05-30,18.5,4.270270270270266,7.5675675675675595,29.49695121951219,True,0.8364,0.3248,1,2,1,50.0,24.904214559386965,24.904214559386965,10.729729729729733,4.270270270270266,历史1/2次成功; 当前距低点4.27%; 最新日涨幅0.84%; 状态bottom_area; 底部已确认
11,55.338410660314175,52.31987102387809,688318,财富趋势,bottom_area,2023-07-13,94.1,2023-07-12,90.06,4.48589829002886,5.3519875638463175,27.17127607957302,False,4.1505,1.7375,1,3,1,33.33333333333333,22.012826837691176,22.012826837691176,10.51410170997114,4.48589829002886,历史1/3次成功; 当前距低点4.49%; 最新日涨幅4.15%; 状态bottom_area; 底部未确认
12,51.235967184018854,48.739291384899566,603335,迪生力,bottom_area,2023-07-13,6.53,2023-06-27,6.23,4.815409309791329,8.828250401284105,27.134502923976612,True,-1.3595,3.3452,1,3,1,33.33333333333333,20.081135902636923,20.081135902636923,10.184590690208669,4.815409309791329,历史1/3次成功; 当前距低点4.82%; 最新日涨幅-1.36%; 状态bottom_area; 底部已确认
