rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.62001079249966,81.75350723054011,603030,全筑股份,bottom_area,2023-04-07,2.07,2023-04-07,2.03,1.9704433497536966,2.955665024630545,28.771929824561415,False,0.4854,1.9205,2,2,2,100.0,21.645796064400706,27.906976744186036,13.029556650246302,1.9704433497536966,历史2/2次成功; 当前距低点1.97%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
2,89.62994792978648,81.30331104417571,002347,泰尔股份,bottom_area,2023-04-07,4.97,2023-04-06,4.86,2.263374485596696,2.263374485596696,31.355932203389823,False,1.222,1.5631,2,2,2,100.0,22.816155222237516,29.585798816568047,12.736625514403304,2.263374485596696,历史2/2次成功; 当前距低点2.26%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
3,87.02700352328505,81.6411108341583,300393,中来股份,bottom_area,2023-04-07,14.84,2023-03-20,14.26,4.0673211781206176,7.8541374474053365,27.61421319796954,True,0.0674,1.7265,3,3,3,100.0,20.884963012222048,23.89610389610389,10.932678821879382,4.0673211781206176,历史3/3次成功; 当前距低点4.07%; 最新日涨幅0.07%; 状态bottom_area; 底部已确认
4,86.93025796734113,78.95126791686576,002329,皇氏集团,bottom_area,2023-04-07,6.59,2023-04-06,6.44,2.3291925465838426,2.950310559006203,27.395715896279583,False,0.4573,1.9312,1,1,1,100.0,27.644230769230756,27.644230769230756,12.670807453416158,2.3291925465838426,历史1/1次成功; 当前距低点2.33%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
5,84.66768672636789,76.79952282217171,001299,美能能源,bottom_area,2023-04-07,16.73,2023-03-31,16.36,2.2616136919315464,4.217603911980448,27.610619469026553,False,1.95,3.9631,1,1,1,100.0,15.247322794492616,15.247322794492616,12.738386308068453,2.2616136919315464,历史1/1次成功; 当前距低点2.26%; 最新日涨幅1.95%; 状态bottom_area; 底部未确认
6,80.3729113992108,70.81531934742542,300736,百邦科技,bottom_area,2023-04-07,11.44,2023-04-07,11.36,0.7042253521126767,2.992957746478872,32.17910447761194,False,-3.0508,7.5982,1,1,1,100.0,36.51050080775442,36.51050080775442,14.295774647887322,0.7042253521126767,历史1/1次成功; 当前距低点0.70%; 最新日涨幅-3.05%; 状态bottom_area; 底部未确认
7,78.85936956446405,74.07837015193832,300530,领湃科技,bottom_area,2023-04-07,23.9,2023-04-06,22.95,4.1394335511982545,5.359477124183008,28.393135725429016,False,0.9717,0.308,3,4,3,75.0,27.802573379948058,34.07510431154381,10.860566448801745,4.1394335511982545,历史3/4次成功; 当前距低点4.14%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
8,78.64432078858216,72.82203755166475,002006,精工科技,bottom_area,2023-04-07,23.02,2023-04-06,22.27,3.3677593174674447,3.996407723394704,27.765163801492047,False,2.6304,1.3762,2,3,2,66.66666666666666,46.311086714106686,61.48648648648647,11.632240682532554,3.3677593174674447,历史2/3次成功; 当前距低点3.37%; 最新日涨幅2.63%; 状态bottom_area; 底部未确认
9,72.52308432505185,63.908269656507684,002125,湘潭电化,bottom_area,2023-04-07,12.73,2023-04-06,12.64,0.712025316455695,2.531645569620255,27.398047099368178,False,-0.6245,0.9422,2,3,2,66.66666666666666,28.145272641720464,32.067510548523195,14.287974683544306,0.712025316455695,历史2/3次成功; 当前距低点0.71%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
10,67.13274701124205,61.045434161214494,000887,中鼎股份,bottom_area,2023-04-07,12.4,2023-04-06,12.11,2.394715111478125,2.9727497935590526,28.512396694214885,False,1.5561,0.8189,1,2,1,50.0,23.84615384615385,23.84615384615385,12.605284888521876,2.394715111478125,历史1/2次成功; 当前距低点2.39%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
11,64.58459630527096,57.20113590136684,002192,融捷股份,bottom_area,2023-04-07,75.02,2023-04-06,74.29,0.9826356171759183,2.3017902813299145,29.43579027355623,False,0.1201,2.1255,1,2,1,50.0,25.707231766279197,25.707231766279197,14.017364382824082,0.9826356171759183,历史1/2次成功; 当前距低点0.98%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
12,63.06486468085105,54.83901276595744,300763,锦浪科技,bottom_area,2023-04-07,127.58,2023-04-07,127.58,0.0,2.900141087944821,27.753553428846484,False,-1.9972,1.3085,1,2,1,50.0,35.693617021276594,35.693617021276594,15.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-2.00%; 状态bottom_area; 底部未确认
13,59.88906870200519,56.21386211886921,603051,鹿山新材,bottom_area,2023-04-07,48.02,2023-04-04,46.13,4.0971168437025804,5.874701929330155,31.14925373134328,False,2.0833,7.249,1,2,1,50.0,18.738110336081178,18.738110336081178,10.902883156297419,4.0971168437025804,历史1/2次成功; 当前距低点4.10%; 最新日涨幅2.08%; 状态bottom_area; 底部未确认
