rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,81.50360256529935,79.3034697598147,688185,康希诺,bottom_area,2022-07-29,162.0,2022-07-29,157.93,2.5770911163173515,2.5770911163173515,27.551722556080556,False,0.8655,1.7331,2,2,2,100.0,15.909879059238028,19.236097367900253,5.4229088836826485,2.5770911163173515,历史2/2次成功; 当前距低点2.58%; 最新日涨幅0.87%; 状态bottom_area; 底部未确认
2,80.33110119113555,77.90125693160815,002110,三钢闽光,bottom_area,2022-07-29,5.54,2022-07-26,5.41,2.4029574861367817,3.6968576709796706,27.187079407806188,False,0.3623,0.4477,1,1,1,100.0,22.90322580645161,22.90322580645161,5.597042513863218,2.4029574861367817,历史1/1次成功; 当前距低点2.40%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
3,78.71885808763953,77.17535106631327,002796,世嘉科技,bottom_area,2022-07-29,10.4,2022-07-26,10.1,2.9702970297029774,6.336633663366342,32.66666666666667,False,-1.1407,8.4359,2,2,2,100.0,31.7614424410541,36.33841886269071,5.0297029702970235,2.9702970297029774,历史2/2次成功; 当前距低点2.97%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
4,71.47449667292845,70.08097894137735,000505,京粮控股,bottom_area,2022-07-29,8.65,2022-07-15,8.4,2.976190476190476,6.547619047619034,29.173693086003365,False,-1.1429,1.4092,1,1,1,100.0,10.358565737051803,10.358565737051803,5.023809523809525,2.976190476190476,历史1/1次成功; 当前距低点2.98%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
5,70.87364872455339,70.12564187785625,300359,全通教育,bottom_area,2022-07-29,5.1,2022-07-15,4.93,3.448275862068964,6.6937119675456405,27.500000000000004,False,-2.2989,1.1388,1,1,1,100.0,16.38554216867469,16.38554216867469,4.5517241379310365,3.448275862068964,历史1/1次成功; 当前距低点3.45%; 最新日涨幅-2.30%; 状态bottom_area; 底部未确认
