rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.93405454226699,85.32997683545706,300598,诚迈科技,bottom_area,2025-12-18,44.05,2025-12-17,43.33,1.6616662820216912,4.1310870066928205,32.296875,False,-0.833,2.1035,5,5,5,100.0,26.22890300250812,45.24950099800398,8.33833371797831,1.6616662820216912,历史5/5次成功; 当前距低点1.66%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
2,90.45366599112361,86.62519579916072,605228,神通科技,bottom_area,2025-12-18,14.3,2025-12-16,13.92,2.72988505747127,5.96264367816092,28.247422680412367,False,0.4919,1.5363,5,5,5,100.0,23.813622205350633,47.56554307116105,7.270114942528731,2.72988505747127,历史5/5次成功; 当前距低点2.73%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
3,90.15082970552908,86.06284458761726,002679,福建金森,bottom_area,2025-12-18,12.0,2025-12-18,11.7,2.56410256410257,3.931623931623939,28.308823529411768,False,0.7557,4.1561,4,4,4,100.0,18.758056095543544,33.50951374207188,7.43589743589743,2.56410256410257,历史4/4次成功; 当前距低点2.56%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
4,89.61009690976897,81.90376687457234,603327,福蓉科技,bottom_area,2025-12-18,10.66,2025-12-18,10.63,0.2822201317027221,2.1636876763875694,28.8487282463186,False,-3.0909,4.2107,7,7,7,100.0,40.952842875562084,129.39632545931758,9.717779868297278,0.2822201317027221,历史7/7次成功; 当前距低点0.28%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
5,89.47157678096741,83.81586052849173,000668,荣丰控股,bottom_area,2025-12-18,9.04,2025-12-17,8.9,1.5730337078651548,7.303370786516858,28.685897435897434,True,-4.2373,2.2482,3,3,3,100.0,34.69020098077566,67.04545454545452,8.426966292134846,1.5730337078651548,历史3/3次成功; 当前距低点1.57%; 最新日涨幅-4.24%; 状态bottom_area; 底部已确认
6,87.38324454523163,81.70259269520241,002129,TCL中环,bottom_area,2025-12-18,8.27,2025-12-16,8.15,1.4723926380368002,3.067484662576687,29.253472222222214,False,-1.1947,1.3028,3,3,3,100.0,21.073375859818903,31.12759643916912,8.5276073619632,1.4723926380368002,历史3/3次成功; 当前距低点1.47%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
7,86.77322696943901,82.47079194497762,002176,江特电机,bottom_area,2025-12-18,9.22,2025-12-16,9.01,2.3307436182020074,4.994450610432864,29.99222999222999,False,-2.2269,2.9905,5,5,5,100.0,19.058534378915056,39.01808785529715,7.669256381797992,2.3307436182020074,历史5/5次成功; 当前距低点2.33%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
8,86.53625708390395,80.12616396657772,002235,安妮股份,bottom_area,2025-12-18,10.5,2025-12-18,10.4,0.9615384615384581,5.288461538461528,27.475592747559276,False,-1.9608,22.3464,4,4,4,100.0,29.507912144545173,46.16438356164384,9.038461538461542,0.9615384615384581,历史4/4次成功; 当前距低点0.96%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
9,86.506713315062,84.2037823035458,300609,汇纳科技,bottom_area,2025-12-18,36.71,2025-12-17,35.44,3.583521444695269,5.361173814898437,28.20097244732577,False,0.0,2.8955,5,5,5,100.0,21.25919998629576,49.87035436473638,6.416478555304732,3.583521444695269,历史5/5次成功; 当前距低点3.58%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,86.30727437130729,78.64860838614007,603322,超讯通信,bottom_area,2025-12-18,40.05,2025-12-18,40.0,0.1249999999999929,3.000000000000007,27.68034713433376,False,-4.8241,9.7395,7,7,7,100.0,21.524776269570104,39.45833333333333,9.875000000000007,0.1249999999999929,历史7/7次成功; 当前距低点0.12%; 最新日涨幅-4.82%; 状态bottom_area; 底部未确认
11,85.84686066191524,79.91455332891026,600161,天坛生物,bottom_area,2025-12-18,16.3,2025-12-17,16.1,1.242236024844716,1.5527950310559004,27.08333333333332,False,-0.0613,0.2611,2,2,2,100.0,25.305653040624797,36.77455357142857,8.757763975155285,1.242236024844716,历史2/2次成功; 当前距低点1.24%; 最新日涨幅-0.06%; 状态bottom_area; 底部未确认
