rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,98.48968759064921,84.1827299703264,300348,长亮科技,bottom_area,2026-06-02,10.25,14.95,2026-06-01,10.11,1.3847675568743876,4.945598417408506,32.37458193979933,31.438127090301,False,-2.1947,1.9678,2,2,2,100.0,61.67178134052256,87.71331058020478,18.615232443125613,1.3847675568743876,历史2/2次成功; 当前距低点1.38%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
2,92.14462484917141,81.13698942280699,301696,三瑞智能,bottom_area,2026-06-02,123.11,169.0,2026-06-02,119.51,3.012300225922512,5.313362898502212,29.284023668639048,27.153846153846157,False,0.9098,15.5083,1,1,1,100.0,47.76899966618449,47.76899966618449,16.987699774077488,3.012300225922512,历史1/1次成功; 当前距低点3.01%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
3,91.75471724907935,80.1654450373767,000919,金陵药业,bottom_area,2026-06-02,6.35,8.83,2026-05-28,6.19,2.584814216478178,4.684975767366721,29.898074745186857,28.08607021517554,False,-1.8547,1.6854,3,3,3,100.0,26.44527661799429,31.2267657992565,17.41518578352182,2.584814216478178,历史3/3次成功; 当前距低点2.58%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
4,91.63920564867239,78.65847346451997,688512,慧智微,bottom_area,2026-06-02,13.21,17.89,2026-06-02,13.0,1.615384615384622,4.384615384615387,27.33370598099497,26.159865846841807,False,-1.1967,5.3466,1,1,1,100.0,39.79328165374677,39.79328165374677,18.38461538461538,1.615384615384622,历史1/1次成功; 当前距低点1.62%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
5,91.20181335880312,78.7344035088627,002987,京北方,bottom_area,2026-06-02,11.62,15.99,2026-06-01,11.4,1.9298245614034988,4.8245614035087625,28.705440900562852,27.32958098811758,False,-1.7751,0.8514,2,2,2,100.0,27.389266176681016,28.88432580424366,18.070175438596504,1.9298245614034988,历史2/2次成功; 当前距低点1.93%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
6,90.988267822906,80.07896020128204,601238,广汽集团,bottom_area,2026-06-02,6.21,8.67,2026-05-28,6.03,2.985074626865667,4.1459369817578775,30.44982698961937,28.373702422145332,False,0.4854,0.3308,2,2,2,100.0,25.08027070180526,26.42487046632124,17.014925373134336,2.985074626865667,历史2/2次成功; 当前距低点2.99%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
7,90.67710226916695,78.79355177753101,688596,正帆科技,bottom_area,2026-06-02,38.47,51.97,2026-06-02,37.61,2.28662589736772,4.653017814411061,27.631325764864346,25.97652491822205,False,0.9711,4.3526,1,1,1,100.0,26.27450980392157,26.27450980392157,17.713374102632283,2.28662589736772,历史1/1次成功; 当前距低点2.29%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
8,90.44388882641174,80.38610169491524,688667,菱电电控,bottom_area,2026-06-02,116.05,162.88,2026-06-02,112.1,3.5236396074933127,7.136485280999108,31.176326129666016,28.7512278978389,False,0.3025,3.3069,1,1,1,100.0,71.22137404580155,71.22137404580155,16.476360392506688,3.5236396074933127,历史1/1次成功; 当前距低点3.52%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
9,90.41976950753214,79.39296834807702,300355,蒙草生态,bottom_area,2026-06-02,3.24,4.38,2026-05-27,3.15,2.857142857142867,6.349206349206354,28.08219178082192,26.027397260273965,False,-0.9174,1.2628,3,3,3,100.0,25.63039818474601,33.201581027668,17.142857142857135,2.857142857142867,历史3/3次成功; 当前距低点2.86%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
10,88.7044184162729,75.76095635239746,300164,通源石油,bottom_area,2026-06-02,9.81,14.13,2026-06-02,9.68,1.3429752066115785,7.334710743801661,31.49327671620666,30.573248407643312,False,-2.8713,9.657,3,4,3,75.0,25.042687222966958,28.79952690715554,18.657024793388423,1.3429752066115785,历史3/4次成功; 当前距低点1.34%; 最新日涨幅-2.87%; 状态bottom_area; 底部未确认
11,88.20976426023134,78.2478174563209,600135,乐凯胶片,bottom_area,2026-06-02,9.08,12.8,2026-06-02,8.78,3.4168564920273434,5.353075170842833,31.406250000000007,29.062500000000004,False,-1.4115,2.041,2,2,2,100.0,43.00134547388843,56.981132075471706,16.583143507972657,3.4168564920273434,历史2/2次成功; 当前距低点3.42%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
