rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.06690132014657,76.24613316261203,002401,中远海科,bottom_area,2025-04-03,15.66,2025-03-31,15.62,0.25608194622279723,5.953905249679908,28.414298808432637,False,-2.8536,2.9064,1,1,1,100.0,68.49925705794946,68.49925705794946,19.743918053777204,0.25608194622279723,历史1/1次成功; 当前距低点0.26%; 最新日涨幅-2.85%; 状态bottom_area; 底部未确认
2,90.75115310242299,79.23344387664571,002300,太阳电缆,bottom_area,2025-04-03,6.04,2025-04-03,5.89,2.54668930390493,3.5653650254668925,32.992036405005685,False,-0.9836,8.2729,2,2,2,100.0,37.633846718005124,38.41584158415842,17.45331069609507,2.54668930390493,历史2/2次成功; 当前距低点2.55%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
3,86.36722680407213,74.73507413611267,600579,中化装备,bottom_area,2025-04-03,7.44,2025-04-03,7.29,2.0576131687242847,4.25240054869684,29.497098646034814,False,-2.4902,3.6954,1,1,1,100.0,24.120603015075385,24.120603015075385,17.942386831275716,2.0576131687242847,历史1/1次成功; 当前距低点2.06%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
4,86.08400977569143,73.12839160839161,300720,海川智能,bottom_area,2025-04-03,20.23,2025-04-03,20.02,1.0489510489510532,4.645354645354645,32.13559322033899,False,-3.3906,2.4462,3,5,3,60.0,57.75229601757511,75.69193742478939,18.95104895104895,1.0489510489510532,历史3/5次成功; 当前距低点1.05%; 最新日涨幅-3.39%; 状态bottom_area; 底部未确认
5,84.07269299688409,73.92518102003491,603163,圣晖集成,bottom_area,2025-04-03,25.25,2025-03-31,24.53,2.9351814105177287,4.15817366490012,27.05917335712162,False,-0.1976,2.2578,1,1,1,100.0,30.52362707535122,30.52362707535122,17.06481858948227,2.9351814105177287,历史1/1次成功; 当前距低点2.94%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
6,82.21506352375816,68.84753297126872,601020,华钰矿业,bottom_area,2025-04-03,18.84,2025-04-03,18.79,0.26609898882384625,4.257583821181483,27.814060699193245,False,-3.4836,6.8072,3,4,3,75.0,24.727089601005904,26.324110671936758,19.733901011176155,0.26609898882384625,历史3/4次成功; 当前距低点0.27%; 最新日涨幅-3.48%; 状态bottom_area; 底部未确认
7,76.98709352349239,66.27475141358823,688023,安恒信息,bottom_area,2025-04-03,51.61,2025-03-31,50.71,1.7747978702425529,6.487872214553341,29.451864218141345,False,-2.1982,1.7272,2,4,2,50.0,33.50156213839389,39.261744966442954,18.22520212975745,1.7747978702425529,历史2/4次成功; 当前距低点1.77%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
8,75.67188487071418,65.07275367509517,300697,电工合金,bottom_area,2025-04-03,15.41,2025-04-03,15.15,1.7161716171617147,4.1584158415841515,28.571428571428577,False,-2.0343,6.4321,2,4,2,50.0,26.320564313031607,31.64400494437578,18.283828382838287,1.7161716171617147,历史2/4次成功; 当前距低点1.72%; 最新日涨幅-2.03%; 状态bottom_area; 底部未确认
9,75.23694442962541,63.755841553399236,300402,宝色股份,bottom_area,2025-04-03,17.67,2025-04-03,17.51,0.913763563677899,5.653912050256986,28.821138211382113,False,-3.3898,6.7684,3,5,3,60.0,37.791518702069055,61.64021164021163,19.086236436322103,0.913763563677899,历史3/5次成功; 当前距低点0.91%; 最新日涨幅-3.39%; 状态bottom_area; 底部未确认
10,75.21819072915332,67.14280470465263,603289,泰瑞机器,bottom_area,2025-04-03,8.83,2025-03-31,8.51,3.76028202115159,7.873090481786134,27.512776831345832,True,-2.4309,3.1166,2,3,2,66.66666666666666,33.86871530221285,40.702947845804985,16.23971797884841,3.76028202115159,历史2/3次成功; 当前距低点3.76%; 最新日涨幅-2.43%; 状态bottom_area; 底部已确认
11,75.21125272748093,66.80060642615656,000757,浩物股份,bottom_area,2025-04-03,3.86,2025-03-31,3.73,3.4852546916890055,5.361930294906172,28.952380952380953,False,-0.2584,3.052,2,3,2,66.66666666666666,37.851185250219494,52.941176470588246,16.514745308310996,3.4852546916890055,历史2/3次成功; 当前距低点3.49%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
