rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,98.12665014904614,84.43271860095392,605005,合兴股份,bottom_area,2025-06-11,19.2,2025-06-10,18.87,1.7488076311605631,5.19342872284049,29.08680947012401,False,1.2658,2.6599,1,1,1,100.0,96.96521095484826,96.96521095484826,18.25119236883944,1.7488076311605631,历史1/1次成功; 当前距低点1.75%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
2,94.17561759123872,81.80958101585428,002136,安纳达,bottom_area,2025-06-11,10.81,2025-06-10,10.57,2.270577105014193,3.689687795648066,29.297658862876247,False,0.7456,5.1689,1,1,1,100.0,42.29299363057326,42.29299363057326,17.72942289498581,2.270577105014193,历史1/1次成功; 当前距低点2.27%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
3,91.08472504634881,79.1152579729504,600770,综艺股份,bottom_area,2025-06-11,5.42,2025-06-11,5.3,2.264150943396228,2.4528301886792434,29.80132450331126,False,0.7435,4.6676,1,1,1,100.0,27.72861356932153,27.72861356932153,17.735849056603772,2.264150943396228,历史1/1次成功; 当前距低点2.26%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
4,91.03471220159145,79.04211538461536,603577,汇金通,bottom_area,2025-06-11,9.57,2025-06-10,9.36,2.243589743589753,3.952991452991464,27.216174183514774,False,1.3771,7.6329,1,1,1,100.0,27.083333333333325,27.083333333333325,17.75641025641025,2.243589743589753,历史1/1次成功; 当前距低点2.24%; 最新日涨幅1.38%; 状态bottom_area; 底部未确认
5,90.91286915104465,78.52228570181087,603499,翔港科技,bottom_area,2025-06-11,16.16,2025-06-11,15.85,1.9558359621451133,3.154574132492125,32.207014542343885,False,0.2481,1.2495,1,1,1,100.0,20.76124567474048,20.76124567474048,18.044164037854888,1.9558359621451133,历史1/1次成功; 当前距低点1.96%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
6,90.06193011180959,76.26211823983877,000811,冰轮环境,bottom_area,2025-06-11,9.24,2025-06-10,9.16,0.873362445414848,3.2751091703056847,28.937160589604343,False,0.6536,1.5414,1,1,1,100.0,35.17948717948718,35.17948717948718,19.12663755458515,0.873362445414848,历史1/1次成功; 当前距低点0.87%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
7,89.51879153347944,78.72255536863769,688543,国科军工,bottom_area,2025-06-11,44.8,2025-06-04,43.52,2.9411764705882213,6.755514705882347,31.604589030331603,False,0.4484,2.2922,1,1,1,100.0,33.916331836445266,33.916331836445266,17.05882352941178,2.9411764705882213,历史1/1次成功; 当前距低点2.94%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
8,88.80690713698807,77.78746817072366,688682,霍莱沃,bottom_area,2025-06-11,28.66,2025-06-10,27.9,2.7240143369175684,5.376344086021505,31.61764705882353,False,1.2363,2.255,1,1,1,100.0,26.22699386503069,26.22699386503069,17.275985663082434,2.7240143369175684,历史1/1次成功; 当前距低点2.72%; 最新日涨幅1.24%; 状态bottom_area; 底部未确认
9,88.05545949665307,75.70871613280343,688448,磁谷科技,bottom_area,2025-06-11,29.2,2025-06-03,28.71,1.706722396377563,4.771856495994418,27.113480578827115,False,-0.0684,2.4386,1,1,1,100.0,25.053995680345576,25.053995680345576,18.29327760362244,1.706722396377563,历史1/1次成功; 当前距低点1.71%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
10,87.6783288769148,76.72898130875285,300394,天孚通信,bottom_area,2025-06-11,67.96,2025-06-09,66.19,2.6741199576975316,11.028856322707353,28.497353354218426,True,-1.1203,4.0882,1,1,1,100.0,33.2041656575442,33.2041656575442,17.32588004230247,2.6741199576975316,历史1/1次成功; 当前距低点2.67%; 最新日涨幅-1.12%; 状态bottom_area; 底部已确认
11,83.69991318924569,75.18329883938954,002042,华孚时尚,bottom_area,2025-06-11,4.82,2025-06-03,4.63,4.1036717062635075,9.935205183585312,28.549382716049386,True,-0.6186,1.099,1,1,1,100.0,42.41758241758243,42.41758241758243,15.896328293736495,4.1036717062635075,历史1/1次成功; 当前距低点4.10%; 最新日涨幅-0.62%; 状态bottom_area; 底部已确认
12,83.65016626539276,70.895895898305,688188,柏楚电子,bottom_area,2025-06-11,137.92,2025-06-11,136.66,0.9219961949363318,1.5073906044197294,31.8675840063815,False,-0.217,0.2689,1,1,1,100.0,29.3981033481711,29.3981033481711,19.07800380506367,0.9219961949363318,历史1/1次成功; 当前距低点0.92%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
13,82.7189675939418,75.3050688175642,688318,财富趋势,bottom_area,2025-06-11,101.39,2025-06-06,96.71,4.83921000930618,8.458277323958233,30.906622847753095,True,2.4141,1.7003,1,1,1,100.0,29.615417412808053,29.615417412808053,15.160789990693821,4.83921000930618,历史1/1次成功; 当前距低点4.84%; 最新日涨幅2.41%; 状态bottom_area; 底部已确认
14,69.80135792370966,61.02744421821542,300819,聚杰微纤,bottom_area,2025-06-11,21.91,2025-06-10,21.35,2.6229508196721247,7.119437939110068,31.12903225806451,False,0.3205,1.9666,1,2,1,50.0,26.54716175842936,26.54716175842936,17.377049180327873,2.6229508196721247,历史1/2次成功; 当前距低点2.62%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
