rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.7306154154401,87.85979933110369,300586,美联新材,bottom_area,2023-04-19,15.19,2023-04-19,14.95,1.6053511705685635,2.2073578595317733,27.427184466019426,False,0.3966,1.4161,2,2,2,100.0,69.69134206257787,124.33414043583537,8.394648829431436,1.6053511705685635,历史2/2次成功; 当前距低点1.61%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
2,88.37370472907585,82.72606023243824,002350,北京科锐,bottom_area,2023-04-19,7.28,2023-04-19,7.17,1.5341701534170198,2.5104602510460214,27.28194726166328,False,0.5525,1.494,2,2,2,100.0,21.526710657145447,23.07692307692308,8.46582984658298,1.5341701534170198,历史2/2次成功; 当前距低点1.53%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
3,87.11874289684306,79.49069364161852,000678,襄阳轴承,bottom_area,2023-04-19,5.2,2023-04-19,5.19,0.19267822736030416,1.7341040462427717,28.51239669421487,False,-1.7013,1.0171,2,2,2,100.0,68.2777295253666,121.62162162162164,9.807321772639696,0.19267822736030416,历史2/2次成功; 当前距低点0.19%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
4,86.39477591449146,79.24106835469281,002006,精工科技,bottom_area,2023-04-19,21.6,2023-04-19,21.5,0.46511627906977404,3.0232558139534818,30.262731106065516,False,-2.0408,1.0178,3,3,3,100.0,35.330825112752166,61.48648648648647,9.534883720930226,0.46511627906977404,历史3/3次成功; 当前距低点0.47%; 最新日涨幅-2.04%; 状态bottom_area; 底部未确认
5,83.70232982902968,78.99312433955616,002385,大北农,bottom_area,2023-04-19,7.28,2023-04-19,7.14,1.960784313725498,2.2408963585434196,27.80586450960567,False,0.5525,1.3089,1,1,1,100.0,23.353293413173663,23.353293413173663,8.039215686274503,1.960784313725498,历史1/1次成功; 当前距低点1.96%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
6,82.3596387949929,75.53234449824114,002370,亚太药业,bottom_area,2023-04-19,4.37,2023-04-19,4.35,0.4597701149425394,2.7586206896551753,28.099173553719016,False,-2.4554,1.8312,3,3,3,100.0,15.325915915645853,15.633423180592995,9.54022988505746,0.4597701149425394,历史3/3次成功; 当前距低点0.46%; 最新日涨幅-2.46%; 状态bottom_area; 底部未确认
7,82.14671398147776,74.6788308922525,605399,晨光新材,bottom_area,2023-04-19,28.61,2023-04-19,28.61,0.0,2.6564138413142313,29.323122529644262,False,-10.0031,10.1515,2,2,2,100.0,44.24102630243285,52.857533497402244,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
8,81.63001324344363,76.18935077689831,300530,领湃科技,bottom_area,2023-04-19,22.77,2023-04-19,22.46,1.380231522707029,3.1166518254674944,29.921996879875184,False,-1.3859,0.3099,3,4,3,75.0,27.802573379948058,34.07510431154381,8.619768477292972,1.380231522707029,历史3/4次成功; 当前距低点1.38%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
9,81.21084224209353,74.9801014198783,600172,黄河旋风,bottom_area,2023-04-19,4.97,2023-04-19,4.93,0.811359026369169,2.839756592292101,28.134110787172016,False,-1.7787,2.5546,1,1,1,100.0,51.074589127686465,51.074589127686465,9.188640973630832,0.811359026369169,历史1/1次成功; 当前距低点0.81%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
10,81.16974029110554,75.18617394776277,300393,中来股份,bottom_area,2023-04-19,14.4,2023-03-20,14.26,0.9817671809256702,7.8541374474053365,27.61421319796954,True,-3.4853,3.1697,3,3,3,100.0,20.884963012222048,23.89610389610389,9.01823281907433,0.9817671809256702,历史3/3次成功; 当前距低点0.98%; 最新日涨幅-3.49%; 状态bottom_area; 底部已确认
11,80.86426725296286,74.23791616789968,002397,梦洁股份,bottom_area,2023-04-19,3.91,2023-04-19,3.89,0.5141388174807203,2.5706940874036013,27.82931354359925,False,-2.005,1.3567,1,1,1,100.0,42.36641221374045,42.36641221374045,9.48586118251928,0.5141388174807203,历史1/1次成功; 当前距低点0.51%; 最新日涨幅-2.00%; 状态bottom_area; 底部未确认
