rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.73268077345634,74.3121138211382,688166,博瑞医药,bottom_area,2024-10-15,29.6,2024-10-15,29.52,0.2710027100271065,5.758807588075879,28.67842474027543,False,-3.9896,5.0743,1,1,1,100.0,50.993377483443716,50.993377483443716,19.728997289972895,0.2710027100271065,历史1/1次成功; 当前距低点0.27%; 最新日涨幅-3.99%; 状态bottom_area; 底部未确认
2,88.64550966278343,76.77204819449005,688358,祥生医疗,bottom_area,2024-10-15,23.29,2024-10-14,22.81,2.1043402016659383,6.0061376589215305,27.884919380335127,False,-2.6745,0.6601,3,4,3,75.0,39.8115260983247,68.06588735387884,17.895659798334062,2.1043402016659383,历史3/4次成功; 当前距低点2.10%; 最新日涨幅-2.67%; 状态bottom_area; 底部未确认
3,87.57428966227931,74.63864864864867,688310,迈得医疗,bottom_area,2024-10-15,11.54,2024-10-14,11.4,1.2280701754385859,5.087719298245615,27.619047619047617,False,-3.1066,1.2579,1,1,1,100.0,23.648648648648653,23.648648648648653,18.771929824561415,1.2280701754385859,历史1/1次成功; 当前距低点1.23%; 最新日涨幅-3.11%; 状态bottom_area; 底部未确认
4,87.06562581869962,74.9089700996678,300723,一品红,bottom_area,2024-10-15,15.75,2024-10-14,15.48,1.744186046511625,5.749354005167962,27.392120075046904,False,-3.5517,1.3794,1,1,1,100.0,31.428571428571427,31.428571428571427,18.255813953488374,1.744186046511625,历史1/1次成功; 当前距低点1.74%; 最新日涨幅-3.55%; 状态bottom_area; 底部未确认
5,85.50399717114568,77.73090651922335,300510,金冠股份,bottom_area,2024-10-15,4.4,2024-10-11,4.2,4.761904761904765,8.809523809523812,27.835051546391753,True,-0.6772,4.6784,3,3,3,100.0,30.849727829925854,40.000000000000014,15.238095238095237,4.761904761904765,历史3/3次成功; 当前距低点4.76%; 最新日涨幅-0.68%; 状态bottom_area; 底部已确认
6,84.35679835039103,73.32976588628762,600376,首开股份,bottom_area,2024-10-15,2.66,2024-10-10,2.6,2.3076923076923097,7.307692307692306,27.97783933518005,True,-3.2727,2.3406,1,1,1,100.0,20.652173913043484,20.652173913043484,17.69230769230769,2.3076923076923097,历史1/1次成功; 当前距低点2.31%; 最新日涨幅-3.27%; 状态bottom_area; 底部已确认
7,84.35232806027095,71.96094833174058,688236,春立医疗,bottom_area,2024-10-15,12.66,2024-10-14,12.5,1.2800000000000011,4.8799999999999955,27.912341407151096,False,-2.4653,4.0934,2,3,2,66.66666666666666,38.562804650935014,48.33672776646301,18.72,1.2800000000000011,历史2/3次成功; 当前距低点1.28%; 最新日涨幅-2.47%; 状态bottom_area; 底部未确认
8,84.00463771213495,70.27785248911485,300662,科锐国际,bottom_area,2024-10-15,18.81,2024-10-15,18.77,0.2131060202450674,5.487480021310608,29.062736205593353,False,-5.6197,5.9678,1,1,1,100.0,27.600721587492483,27.600721587492483,19.786893979754932,0.2131060202450674,历史1/1次成功; 当前距低点0.21%; 最新日涨幅-5.62%; 状态bottom_area; 底部未确认
9,83.20913771754597,73.43930861240129,301607,富特科技,bottom_area,2024-10-15,44.35,2024-10-14,43.0,3.139534883720933,9.97674418604651,28.92561983471074,True,-4.1081,25.7467,1,1,1,100.0,31.437893264973205,31.437893264973205,16.860465116279066,3.139534883720933,历史1/1次成功; 当前距低点3.14%; 最新日涨幅-4.11%; 状态bottom_area; 底部已确认
10,82.38700055243226,69.34727574259827,300763,锦浪科技,bottom_area,2024-10-15,71.71,2024-10-11,71.32,0.546831183398767,7.922041503084698,27.068207383168026,False,-3.1208,3.6502,3,4,3,75.0,30.855112047029355,36.020348268440614,19.453168816601234,0.546831183398767,历史3/4次成功; 当前距低点0.55%; 最新日涨幅-3.12%; 状态bottom_area; 底部未确认
11,80.78839670309182,71.0088406763978,688008,澜起科技,bottom_area,2024-10-15,65.0,2024-10-14,63.16,2.913236225459157,8.027232425585826,27.477322310253765,True,-2.8836,4.3498,2,3,2,66.66666666666666,44.270712923537644,62.20095693779905,17.086763774540845,2.913236225459157,历史2/3次成功; 当前距低点2.91%; 最新日涨幅-2.88%; 状态bottom_area; 底部已确认
