rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.58000885861209,82.96351536507906,002779,中坚科技,bottom_area,2025-06-04,97.9,2025-06-04,96.84,1.0945890128046285,1.5386204047914032,28.94563064054589,False,0.772,2.774,1,1,1,100.0,34.08160384018072,34.08160384018072,18.905410987195374,1.0945890128046285,历史1/1次成功; 当前距低点1.09%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
2,96.4096207820917,82.44514357303937,000811,冰轮环境,bottom_area,2025-06-04,9.34,2025-06-03,9.21,1.4115092290987947,2.497285559174795,28.54926299456943,False,0.4301,1.5609,1,1,1,100.0,35.17948717948718,35.17948717948718,18.588490770901206,1.4115092290987947,历史1/1次成功; 当前距低点1.41%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
3,96.27218682207176,82.04790168699058,301316,慧博云通,bottom_area,2025-06-04,41.3,2025-06-03,40.8,1.2254901960784315,5.147058823529416,32.147014801263936,False,-0.8641,12.1177,2,2,2,100.0,36.56999641962048,43.333333333333336,18.774509803921568,1.2254901960784315,历史2/2次成功; 当前距低点1.23%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
4,94.82367778972905,82.14885843890285,002136,安纳达,bottom_area,2025-06-04,11.07,2025-06-03,10.84,2.121771217712181,2.583025830258297,27.491638795986617,False,1.0036,8.0917,1,1,1,100.0,42.29299363057326,42.29299363057326,17.87822878228782,2.121771217712181,历史1/1次成功; 当前距低点2.12%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
5,91.88628063672721,80.60794246789928,002042,华孚时尚,bottom_area,2025-06-04,4.76,2025-06-03,4.63,2.8077753779697603,3.887688984881203,28.549382716049386,False,1.9272,1.6772,1,1,1,100.0,42.41758241758243,42.41758241758243,17.192224622030242,2.8077753779697603,历史1/1次成功; 当前距低点2.81%; 最新日涨幅1.93%; 状态bottom_area; 底部未确认
6,91.55961551057916,79.17398259048369,688448,磁谷科技,bottom_area,2025-06-04,29.29,2025-06-03,28.71,2.020202020202014,2.577499129223262,27.113480578827115,False,1.2094,2.4818,1,1,1,100.0,25.053995680345576,25.053995680345576,17.979797979797986,2.020202020202014,历史1/1次成功; 当前距低点2.02%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
7,91.36941437572773,78.24611195910836,688018,乐鑫科技,bottom_area,2025-06-04,136.3,2025-06-04,134.3,1.4892032762472076,1.7498138495904647,32.3766364551863,False,-1.0598,1.3415,1,1,1,100.0,36.02954531694619,36.02954531694619,18.510796723752794,1.4892032762472076,历史1/1次成功; 当前距低点1.49%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
8,90.87816434791264,77.68137029739081,002889,东方嘉盛,bottom_area,2025-06-04,14.61,2025-06-04,14.41,1.3879250520471846,2.567661346287295,32.883092687470885,False,-0.273,1.7757,1,1,1,100.0,31.751824817518237,31.751824817518237,18.612074947952816,1.3879250520471846,历史1/1次成功; 当前距低点1.39%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
9,90.54719845102372,78.82899271212911,600770,综艺股份,bottom_area,2025-06-04,5.57,2025-06-03,5.44,2.389705882352939,2.9411764705882213,27.94701986754966,False,1.2727,5.6881,1,1,1,100.0,27.72861356932153,27.72861356932153,17.61029411764706,2.389705882352939,历史1/1次成功; 当前距低点2.39%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
10,90.27712302416994,80.96636363636364,301058,中粮科工,bottom_area,2025-06-04,10.87,2025-04-30,10.45,4.019138755980861,8.038277511961722,29.77150537634409,True,1.0223,1.3113,1,1,1,100.0,57.794273594909875,57.794273594909875,15.98086124401914,4.019138755980861,历史1/1次成功; 当前距低点4.02%; 最新日涨幅1.02%; 状态bottom_area; 底部已确认
11,88.80826549698257,78.05044722339977,605378,野马电池,bottom_area,2025-06-04,17.34,2025-06-04,16.85,2.9080118694361925,3.9762611275964277,32.24768797748291,False,2.06,3.2808,1,1,1,100.0,29.89631336405531,29.89631336405531,17.09198813056381,2.9080118694361925,历史1/1次成功; 当前距低点2.91%; 最新日涨幅2.06%; 状态bottom_area; 底部未确认
12,86.96091565851032,76.87672131147542,301618,长联科技,bottom_area,2025-06-04,62.97,2025-05-30,61.0,3.22950819672131,8.163934426229515,32.177006893484545,False,-2.5081,10.3804,1,1,1,100.0,50.278688524590166,50.278688524590166,16.77049180327869,3.22950819672131,历史1/1次成功; 当前距低点3.23%; 最新日涨幅-2.51%; 状态bottom_area; 底部未确认
13,86.4540407303224,76.46004994951912,603192,汇得科技,bottom_area,2025-06-04,21.59,2025-06-03,20.91,3.2520325203252023,4.638928742228593,30.276758919639875,False,0.8407,5.8602,1,1,1,100.0,25.562817719680464,25.562817719680464,16.7479674796748,3.2520325203252023,历史1/1次成功; 当前距低点3.25%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
14,85.14659941853101,74.75211419216708,688543,国科军工,bottom_area,2025-06-04,44.76,2025-06-04,43.52,2.8492647058823413,3.2858455882352935,31.604589030331603,False,-1.1921,6.3439,1,1,1,100.0,33.916331836445266,33.916331836445266,17.15073529411766,2.8492647058823413,历史1/1次成功; 当前距低点2.85%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
15,74.55096461946994,63.76510542040119,300819,聚杰微纤,bottom_area,2025-06-04,22.82,2025-06-03,22.5,1.4222222222222236,3.1999999999999953,27.419354838709676,False,1.0181,2.2643,1,2,1,50.0,26.54716175842936,26.54716175842936,18.577777777777776,1.4222222222222236,历史1/2次成功; 当前距低点1.42%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
