rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.10249425319348,83.6594236605443,002219,新里程,bottom_area,2024-09-04,1.74,2024-08-23,1.69,2.9585798816568074,7.6923076923077,29.288702928870297,True,0.0,0.666,2,2,2,100.0,34.81175156302061,45.685279187817265,17.041420118343193,2.9585798816568074,历史2/2次成功; 当前距低点2.96%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
2,93.21948278960728,79.7430703745368,301571,国科天成,bottom_area,2024-09-04,38.32,2024-09-03,37.78,1.429327686606668,6.643726839597665,32.919034090909086,False,-1.5416,29.7015,1,1,1,100.0,43.34374999999999,43.34374999999999,18.57067231339333,1.429327686606668,历史1/1次成功; 当前距低点1.43%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
3,90.75394871167438,80.22910666232318,000532,华金资本,bottom_area,2024-09-04,10.55,2024-09-04,10.22,3.2289628180039145,4.500978473581204,27.926657263751757,False,0.9569,3.0413,2,2,2,100.0,28.877106921355356,32.044198895027606,16.77103718199609,3.2289628180039145,历史2/2次成功; 当前距低点3.23%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
4,89.63123130034522,74.69269275028769,000517,荣安地产,bottom_area,2024-09-04,1.99,2024-09-04,1.99,0.0,3.5175879396984957,29.432624113475175,False,-2.451,1.0397,2,2,2,100.0,34.10049865746067,40.92827004219408,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.45%; 状态bottom_area; 底部未确认
5,87.41870228604388,75.8252672221093,002674,兴业科技,bottom_area,2024-09-04,7.94,2024-08-21,7.77,2.1879021879021985,6.30630630630631,31.72231985940247,False,-0.3764,0.3548,1,1,1,100.0,31.578947368421055,31.578947368421055,17.8120978120978,2.1879021879021985,历史1/1次成功; 当前距低点2.19%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
6,86.73599427074682,77.28597354264465,301333,诺思格,bottom_area,2024-09-04,39.06,2024-08-29,37.68,3.662420382165612,7.4575371549893905,28.744326777609686,True,2.2513,2.8236,1,1,1,100.0,25.840279645065877,25.840279645065877,16.33757961783439,3.662420382165612,历史1/1次成功; 当前距低点3.66%; 最新日涨幅2.25%; 状态bottom_area; 底部已确认
7,86.49683896023825,73.27301145002639,001218,丽臣实业,bottom_area,2024-09-04,13.52,2024-08-30,13.4,0.8955223880596956,4.850746268656718,32.323232323232325,False,-0.6613,0.7285,2,2,2,100.0,25.18711018711019,29.999999999999993,19.104477611940304,0.8955223880596956,历史2/2次成功; 当前距低点0.90%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
8,85.30657510540512,74.02809508248096,603079,圣达生物,bottom_area,2024-09-04,10.62,2024-08-26,10.39,2.213666987487956,6.929740134744936,28.83561643835616,False,-1.6667,1.128,1,1,1,100.0,22.232558139534888,22.232558139534888,17.786333012512046,2.213666987487956,历史1/1次成功; 当前距低点2.21%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
9,84.09671886421324,70.6554585535771,600011,华能国际,bottom_area,2024-09-04,6.76,2024-09-04,6.73,0.4457652303120261,1.7830609212481308,32.02020202020202,False,-1.1696,0.3504,1,1,1,100.0,22.267759562841515,22.267759562841515,19.554234769687977,0.4457652303120261,历史1/1次成功; 当前距低点0.45%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
10,83.92990993810434,74.910531385373,002715,登云股份,bottom_area,2024-09-04,9.95,2024-08-23,9.59,3.753910323253383,7.4035453597497485,31.45103645461044,True,-0.8964,1.1381,1,1,1,100.0,36.66369313113291,36.66369313113291,16.246089676746617,3.753910323253383,历史1/1次成功; 当前距低点3.75%; 最新日涨幅-0.90%; 状态bottom_area; 底部已确认
11,77.98850555981595,66.25572153754275,000983,山西焦煤,bottom_area,2024-09-04,7.68,2024-08-26,7.6,1.0526315789473695,6.578947368421052,29.95391705069125,False,-1.7903,0.3639,2,4,2,50.0,24.546889986789015,27.212389380530986,18.947368421052634,1.0526315789473695,历史2/4次成功; 当前距低点1.05%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
12,76.81181417701244,67.84545454545456,000957,中通客车,bottom_area,2024-09-04,9.08,2024-08-29,8.8,3.1818181818181746,7.159090909090897,31.25,True,-1.0893,2.4582,2,4,2,50.0,190.25905745148648,354.54545454545456,16.818181818181827,3.1818181818181746,历史2/4次成功; 当前距低点3.18%; 最新日涨幅-1.09%; 状态bottom_area; 底部已确认
