rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,103.0024828525736,87.64369949972746,000919,金陵药业,bottom_area,2026-06-05,6.22,8.83,2026-06-04,6.15,1.1382113821138113,2.276422764227637,30.35107587768969,29.55832389580974,False,0.4847,1.0812,3,3,3,100.0,26.44527661799429,31.2267657992565,18.86178861788619,1.1382113821138113,历史3/3次成功; 当前距低点1.14%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
2,99.11775543826025,85.61666582706864,300355,蒙草生态,bottom_area,2026-06-05,3.12,4.38,2026-06-04,3.06,1.960784313725492,5.228758169934645,30.136986301369863,28.767123287671232,False,0.9709,1.4701,3,3,3,100.0,25.63039818474601,33.201581027668,18.03921568627451,1.960784313725492,历史3/3次成功; 当前距低点1.96%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
3,98.9591286104558,84.23816418138156,601238,广汽集团,bottom_area,2026-06-05,6.1,8.67,2026-05-28,6.03,1.1608623548921955,4.1459369817578775,30.44982698961937,29.64244521337947,False,0.4942,0.271,2,2,2,100.0,25.08027070180526,26.42487046632124,18.839137645107805,1.1608623548921955,历史2/2次成功; 当前距低点1.16%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
4,98.55480797795691,84.05281217029757,001206,依依股份,bottom_area,2026-06-05,16.02,21.94,2026-06-05,15.82,1.2642225031605516,2.781289506953232,27.894257064721973,26.982680036463087,False,0.5019,2.2941,1,1,1,100.0,42.01741654571844,42.01741654571844,18.73577749683945,1.2642225031605516,历史1/1次成功; 当前距低点1.26%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
5,98.19009582501748,85.54349782082325,600192,长城电工,bottom_area,2026-06-05,7.17,9.88,2026-06-05,7.0,2.4285714285714275,4.0000000000000036,29.149797570850204,27.429149797570858,False,0.4202,1.2252,2,2,2,100.0,47.63785310734464,60.875706214689274,17.571428571428573,2.4285714285714275,历史2/2次成功; 当前距低点2.43%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
6,96.52585586214369,82.58211852057177,300641,正丹股份,bottom_area,2026-06-05,14.83,20.6,2026-06-05,14.62,1.4363885088919348,3.898768809849523,29.029126213592242,28.00970873786408,False,-1.9828,1.3578,2,2,2,100.0,42.02733505830851,50.22522522522521,18.563611491108066,1.4363885088919348,历史2/2次成功; 当前距低点1.44%; 最新日涨幅-1.98%; 状态bottom_area; 底部未确认
7,96.05077243858224,82.08136875830672,000912,泸天化,bottom_area,2026-06-05,3.69,5.43,2026-06-04,3.64,1.3736263736263687,4.120879120879118,32.965009208103126,32.04419889502762,False,0.545,1.2862,4,5,4,80.0,26.092671452552917,33.20388349514563,18.62637362637363,1.3736263736263687,历史4/5次成功; 当前距低点1.37%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
8,95.263272931794,82.0199278875331,601800,中国交建,bottom_area,2026-06-05,6.28,8.55,2026-05-27,6.17,1.782820097244738,5.83468395461913,27.836257309941526,26.549707602339183,False,0.0,0.4022,1,1,1,100.0,37.44493392070484,37.44493392070484,18.217179902755262,1.782820097244738,历史1/1次成功; 当前距低点1.78%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,94.38959162413617,80.94546935381143,002252,上海莱士,bottom_area,2026-06-05,5.19,7.26,2026-06-04,5.11,1.5655577299412928,2.935420743639911,29.614325068870517,28.51239669421487,False,0.9728,0.5057,1,1,1,100.0,29.005059021922442,29.005059021922442,18.43444227005871,1.5655577299412928,历史1/1次成功; 当前距低点1.57%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
10,92.9927042263202,79.19810475892125,603062,麦加芯彩,bottom_area,2026-06-05,42.6,58.5,2026-06-05,42.1,1.187648456057007,3.705463182897851,28.034188034188034,27.17948717948718,False,-0.9072,1.686,1,1,1,100.0,37.45130773511408,37.45130773511408,18.81235154394299,1.187648456057007,历史1/1次成功; 当前距低点1.19%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
11,92.5097105590606,78.31598240469208,601390,中国中铁,bottom_area,2026-06-05,4.69,6.47,2026-05-28,4.65,0.8602150537634415,4.086021505376333,28.129829984544042,27.51159196290571,False,0.6438,0.4109,1,1,1,100.0,46.06060606060606,46.06060606060606,19.13978494623656,0.8602150537634415,历史1/1次成功; 当前距低点0.86%; 最新日涨幅0.64%; 状态bottom_area; 底部未确认
12,92.2246295569497,79.20217029080632,688349,三一重能,bottom_area,2026-06-05,18.55,25.88,2026-06-05,18.25,1.64383561643836,3.9452054794520484,29.482225656877898,28.323029366306024,False,-0.6959,0.591,2,2,2,100.0,26.398470410138575,28.790581519800213,18.35616438356164,1.64383561643836,历史2/2次成功; 当前距低点1.64%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
13,91.77884722968813,80.97833047152953,688670,金迪克,bottom_area,2026-06-05,15.85,21.2,2026-06-04,15.37,3.1229668184775563,6.636304489264811,27.500000000000004,25.235849056603772,False,2.3902,1.3039,1,1,1,100.0,48.272552783109404,48.272552783109404,16.877033181522442,3.1229668184775563,历史1/1次成功; 当前距低点3.12%; 最新日涨幅2.39%; 状态bottom_area; 底部未确认
14,91.47172219996395,81.64877417613869,600135,乐凯胶片,bottom_area,2026-06-05,9.11,12.8,2026-06-02,8.78,3.7585421412300692,5.353075170842833,31.406250000000007,28.82812500000001,False,1.5608,2.018,2,2,2,100.0,43.00134547388843,56.981132075471706,16.24145785876993,3.7585421412300692,历史2/2次成功; 当前距低点3.76%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
