rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.11512734727029,81.72846815834768,301001,凯淳股份,bottom_area,2025-12-15,29.37,2025-12-15,29.05,1.1015490533562833,2.340791738382099,29.898648648648646,False,-0.4407,4.2274,1,1,1,100.0,58.89483065953654,58.89483065953654,18.89845094664372,1.1015490533562833,历史1/1次成功; 当前距低点1.10%; 最新日涨幅-0.44%; 状态bottom_area; 底部未确认
2,94.24538609236399,81.38902979373567,600708,光明地产,bottom_area,2025-12-15,3.14,2025-12-15,3.08,1.9480519480519498,2.5974025974025996,27.186761229314428,False,0.3195,0.6298,1,1,1,100.0,36.07843137254903,36.07843137254903,18.051948051948052,1.9480519480519498,历史1/1次成功; 当前距低点1.95%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
3,92.96398620589034,78.98678128581302,688365,光云科技,bottom_area,2025-12-15,16.23,2025-12-15,16.06,1.0585305105853158,2.677459526774594,30.14354066985646,False,-2.2289,2.5771,1,1,1,100.0,34.732423924449115,34.732423924449115,18.941469489414686,1.0585305105853158,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
4,91.33940894078884,77.63323177968545,300035,中科电气,bottom_area,2025-12-15,20.64,2025-12-05,20.42,1.0773751224289856,5.729676787463261,29.097222222222218,False,-1.6206,2.5744,1,1,1,100.0,27.686274509803933,27.686274509803933,18.922624877571014,1.0773751224289856,历史1/1次成功; 当前距低点1.08%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
5,91.05527485870229,79.0547834710744,002291,遥望科技,bottom_area,2025-12-15,6.39,2025-12-15,6.25,2.239999999999995,4.799999999999997,32.650862068965516,False,0.1567,5.0731,1,1,1,100.0,27.107438016528935,27.107438016528935,17.760000000000005,2.239999999999995,历史1/1次成功; 当前距低点2.24%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
6,90.43797148499931,78.30474481413948,603030,全筑股份,bottom_area,2025-12-15,2.93,2025-12-15,2.87,2.0905923344947754,6.6202090592334475,28.606965174129346,False,0.6873,2.4649,1,1,1,100.0,21.243523316062173,21.243523316062173,17.909407665505224,2.0905923344947754,历史1/1次成功; 当前距低点2.09%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
7,89.97880755514446,79.95394721505157,603178,圣龙股份,bottom_area,2025-12-15,18.28,2025-12-05,17.66,3.510758776896948,5.039637599094001,28.182187881252542,False,1.5556,1.3193,1,1,1,100.0,47.51869476546566,47.51869476546566,16.48924122310305,3.510758776896948,历史1/1次成功; 当前距低点3.51%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
8,89.43547965118856,75.25283521598685,003038,鑫铂股份,bottom_area,2025-12-15,15.26,2025-12-12,15.18,0.527009222661397,2.108036890645588,29.68967114404817,False,0.3287,1.3297,1,1,1,100.0,25.507614213197975,25.507614213197975,19.4729907773386,0.527009222661397,历史1/1次成功; 当前距低点0.53%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
9,86.91540220924334,72.59472882574192,603038,华立股份,bottom_area,2025-12-15,16.11,2025-12-15,16.09,0.12430080795524906,2.9832193909260436,27.3589164785553,False,-2.8347,2.1514,1,1,1,100.0,28.753412192902637,28.753412192902637,19.875699192044753,0.12430080795524906,历史1/1次成功; 当前距低点0.12%; 最新日涨幅-2.83%; 状态bottom_area; 底部未确认
10,86.26093654329452,75.096578534499,605299,舒华体育,bottom_area,2025-12-15,12.0,2025-12-15,11.72,2.3890784982935096,4.522184300341292,32.05797101449275,False,-2.5183,9.2192,1,1,1,100.0,30.127298444130112,30.127298444130112,17.610921501706493,2.3890784982935096,历史1/1次成功; 当前距低点2.39%; 最新日涨幅-2.52%; 状态bottom_area; 底部未确认
11,82.6803094539552,69.8622379066965,002176,江特电机,bottom_area,2025-12-15,9.32,2025-12-15,9.25,0.7567567567567599,2.1621621621621547,28.12742812742812,False,-0.6397,2.3202,1,1,1,100.0,21.81528662420382,21.81528662420382,19.243243243243242,0.7567567567567599,历史1/1次成功; 当前距低点0.76%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
12,68.90874686650155,58.02711973539847,605228,神通科技,bottom_area,2025-12-15,14.11,2025-12-12,14.03,0.5702066999287247,1.7818959372772631,27.680412371134018,False,-0.2827,0.5394,1,2,1,50.0,47.56554307116105,47.56554307116105,19.429793300071278,0.5702066999287247,历史1/2次成功; 当前距低点0.57%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
13,62.6467814205836,52.97399766899764,002184,海得控制,bottom_area,2025-12-15,12.64,2025-12-15,12.54,0.7974481658692298,2.5518341307815016,27.388535031847137,False,-1.8634,3.5524,1,2,1,50.0,23.183760683760685,23.183760683760685,19.20255183413077,0.7974481658692298,历史1/2次成功; 当前距低点0.80%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
