rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.434715255423,75.23677792392019,300538,同益股份,bottom_area,2023-12-13,18.47,2023-12-13,18.46,0.05417118093173353,3.3044420368363996,29.54198473282442,False,-2.687,5.4318,2,2,2,100.0,25.431657077658826,30.150753768844226,14.945828819068266,0.05417118093173353,历史2/2次成功; 当前距低点0.05%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
2,85.58841251261802,76.4499006543754,601628,中国人寿,bottom_area,2023-12-13,28.23,2023-12-11,27.83,1.4372978799856349,4.132231404958685,27.41262389149714,False,-1.9792,0.0408,1,1,1,100.0,25.736235595390532,25.736235595390532,13.562702120014364,1.4372978799856349,历史1/1次成功; 当前距低点1.44%; 最新日涨幅-1.98%; 状态bottom_area; 底部未确认
3,80.98263565848642,73.2891893426719,002369,卓翼科技,bottom_area,2023-12-13,5.73,2023-12-11,5.61,2.1390374331550817,3.7433155080213893,27.984595635430036,False,-1.3769,3.2822,1,1,1,100.0,17.345132743362825,17.345132743362825,12.860962566844918,2.1390374331550817,历史1/1次成功; 当前距低点2.14%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
4,80.88875160512853,72.80241134751775,002137,实益达,bottom_area,2023-12-13,7.18,2023-11-30,7.05,1.8439716312056722,5.6737588652482325,27.31958762886598,False,-1.5089,4.5932,2,3,2,66.66666666666666,55.55040286140998,89.3034825870647,13.156028368794326,1.8439716312056722,历史2/3次成功; 当前距低点1.84%; 最新日涨幅-1.51%; 状态bottom_area; 底部未确认
5,79.02608617384642,69.48170848955625,002142,宁波银行,bottom_area,2023-12-13,20.42,2023-12-11,20.3,0.5911330049261133,5.123152709359601,30.19257221458046,False,-4.0414,0.8046,1,1,1,100.0,27.95425667090217,27.95425667090217,14.408866995073884,0.5911330049261133,历史1/1次成功; 当前距低点0.59%; 最新日涨幅-4.04%; 状态bottom_area; 底部未确认
6,78.89009403566881,72.2250323275862,605188,国光连锁,bottom_area,2023-12-13,8.94,2023-12-08,8.7,2.7586206896551753,5.40229885057472,27.680798004987533,False,-0.1117,1.7141,1,1,1,100.0,19.218749999999993,19.218749999999993,12.241379310344824,2.7586206896551753,历史1/1次成功; 当前距低点2.76%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
7,78.38376921128686,73.3036126759684,300683,海特生物,bottom_area,2023-12-13,37.3,2023-12-11,35.9,3.8997214484679623,6.211699164345416,30.48024786986832,False,0.5391,1.5599,1,1,1,100.0,16.532137518684582,16.532137518684582,11.100278551532035,3.8997214484679623,历史1/1次成功; 当前距低点3.90%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
8,71.69904271611249,62.34699366618477,000301,东方盛虹,bottom_area,2023-12-13,8.81,2023-12-13,8.81,0.0,2.1566401816117993,28.54825628548256,False,-2.6519,0.471,3,5,3,60.0,21.059105732176175,28.337639965546952,15.0,0.0,历史3/5次成功; 当前距低点0.00%; 最新日涨幅-2.65%; 状态bottom_area; 底部未确认
9,65.05098370210445,57.44879502349903,605117,德业股份,bottom_area,2023-12-13,55.97,2023-12-13,55.51,0.8286795172041089,4.233471446586203,27.532637075718014,False,-3.4334,4.118,3,7,3,42.857142857142854,39.98255780266574,59.18895599654874,14.17132048279589,0.8286795172041089,历史3/7次成功; 当前距低点0.83%; 最新日涨幅-3.43%; 状态bottom_area; 底部未确认
10,63.859463764541196,59.04080282177191,600328,中盐化工,bottom_area,2023-12-13,7.86,2023-10-26,7.61,3.28515111695138,8.147174770039422,28.207547169811313,True,-1.8727,0.7095,1,2,1,50.0,37.26315789473683,37.26315789473683,11.71484888304862,3.28515111695138,历史1/2次成功; 当前距低点3.29%; 最新日涨幅-1.87%; 状态bottom_area; 底部已确认
11,59.58473858327372,53.40523349540792,603211,晋拓股份,bottom_area,2023-12-13,18.81,2023-12-07,18.51,1.6207455429497413,6.050783360345744,28.200155159038008,False,-1.3116,20.9297,1,3,1,33.33333333333333,15.200000000000008,15.200000000000008,13.379254457050257,1.6207455429497413,历史1/3次成功; 当前距低点1.62%; 最新日涨幅-1.31%; 状态bottom_area; 底部未确认
