rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.09034011161035,85.24156430024821,002836,新宏泽,bottom_area,2024-12-31,7.36,2024-12-25,7.25,1.5172413793103492,7.5862068965517215,27.500000000000004,True,-1.7356,2.1742,3,3,3,100.0,31.456315296106556,59.30851063829788,8.482758620689651,1.5172413793103492,历史3/3次成功; 当前距低点1.52%; 最新日涨幅-1.74%; 状态bottom_area; 底部已确认
2,90.17870877743229,82.90350337887772,000691,亚太实业,bottom_area,2024-12-31,3.43,2024-12-26,3.41,0.5865102639296192,8.504398826979473,30.691056910569102,True,-2.0,3.714,4,4,4,100.0,30.64917623998521,76.05633802816902,9.413489736070382,0.5865102639296192,历史4/4次成功; 当前距低点0.59%; 最新日涨幅-2.00%; 状态bottom_area; 底部已确认
3,89.94467147875865,83.56915377915534,002343,慈文传媒,bottom_area,2024-12-31,6.2,2024-12-25,6.13,1.1419249592169702,6.851549755301793,27.7122641509434,False,-4.1731,3.0049,4,4,4,100.0,20.60614347403244,40.33149171270718,8.858075040783032,1.1419249592169702,历史4/4次成功; 当前距低点1.14%; 最新日涨幅-4.17%; 状态bottom_area; 底部未确认
4,89.81771148047254,83.38755404334285,002167,东方锆业,bottom_area,2024-12-31,7.34,2024-12-25,7.26,1.1019283746556485,6.198347107438019,30.259365994236315,False,-3.4211,2.6503,4,4,4,100.0,19.139520094396374,41.1650485436893,8.898071625344352,1.1019283746556485,历史4/4次成功; 当前距低点1.10%; 最新日涨幅-3.42%; 状态bottom_area; 底部未确认
5,86.08465847577992,78.87023402347987,603319,美湖股份,bottom_area,2024-12-31,19.7,2024-12-31,19.62,0.4077471967380137,5.504587155963294,30.07840342124019,False,-3.5732,4.0008,4,4,4,100.0,26.182245333561973,43.981481481481474,9.592252803261987,0.4077471967380137,历史4/4次成功; 当前距低点0.41%; 最新日涨幅-3.57%; 状态bottom_area; 底部未确认
6,85.48709060035526,77.9862329245238,002006,精工科技,bottom_area,2024-12-31,16.5,2024-12-31,16.47,0.18214936247723826,5.64663023679417,27.25265017667845,False,-5.0086,2.618,3,3,3,100.0,35.330825112752166,61.48648648648647,9.817850637522763,0.18214936247723826,历史3/3次成功; 当前距低点0.18%; 最新日涨幅-5.01%; 状态bottom_area; 底部未确认
7,85.36238899310341,79.28077673007546,002481,双塔食品,bottom_area,2024-12-31,5.41,2024-12-25,5.35,1.1214953271028132,7.4766355140186995,28.18791946308725,True,-2.17,2.3821,3,4,3,75.0,32.057989655214385,54.6583850931677,8.878504672897188,1.1214953271028132,历史3/4次成功; 当前距低点1.12%; 最新日涨幅-2.17%; 状态bottom_area; 底部已确认
8,84.0431437097911,81.59528515513699,000510,新金路,bottom_area,2024-12-31,3.6,2024-12-25,3.48,3.448275862068969,8.333333333333334,29.6969696969697,True,-1.9074,1.6524,4,4,4,100.0,18.856742584162507,23.043478260869577,6.551724137931031,3.448275862068969,历史4/4次成功; 当前距低点3.45%; 最新日涨幅-1.91%; 状态bottom_area; 底部已确认
9,83.83121084418867,77.10228422124375,002146,荣盛发展,bottom_area,2024-12-31,1.65,2024-12-31,1.64,0.6097560975609762,6.097560975609762,31.380753138075324,False,-3.5088,3.731,5,5,5,100.0,19.153377009047105,33.33333333333333,9.390243902439025,0.6097560975609762,历史5/5次成功; 当前距低点0.61%; 最新日涨幅-3.51%; 状态bottom_area; 底部未确认
10,83.12821014843108,76.61775675675676,600106,重庆路桥,bottom_area,2024-12-31,5.59,2024-12-25,5.55,0.7207207207207215,7.567567567567567,30.88418430884184,True,-2.9514,1.6911,1,1,1,100.0,48.50000000000001,48.50000000000001,9.27927927927928,0.7207207207207215,历史1/1次成功; 当前距低点0.72%; 最新日涨幅-2.95%; 状态bottom_area; 底部已确认
11,82.10494088050316,74.64085534591196,600400,红豆股份,bottom_area,2024-12-31,2.49,2024-12-31,2.49,0.0,3.2128514056224744,27.405247813411076,False,-1.1905,1.5079,3,3,3,100.0,17.15513626834381,25.943396226415082,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
12,82.02580484532623,76.26687737041719,002421,达实智能,bottom_area,2024-12-31,3.43,2024-12-25,3.39,1.1799410029498536,8.259587020648961,28.78151260504201,True,-3.6517,3.4806,1,1,1,100.0,22.619047619047613,22.619047619047613,8.820058997050147,1.1799410029498536,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-3.65%; 状态bottom_area; 底部已确认
13,82.01169095016107,76.36716161351032,603123,翠微股份,bottom_area,2024-12-31,8.05,2024-12-25,7.95,1.2578616352201324,7.924528301886791,29.770318021201415,True,-3.4772,1.8876,4,5,4,80.0,17.446699687162493,29.08496732026144,8.742138364779867,1.2578616352201324,历史4/5次成功; 当前距低点1.26%; 最新日涨幅-3.48%; 状态bottom_area; 底部已确认
14,81.7568619948533,74.97652478742552,688280,精进电动,bottom_area,2024-12-31,4.39,2024-12-30,4.37,0.4576659038901504,5.949656750572077,27.166666666666668,False,-3.0905,1.0111,3,3,3,100.0,22.526898109113223,32.37518910741301,9.542334096109851,0.4576659038901504,历史3/3次成功; 当前距低点0.46%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
15,81.08722125386296,73.86811075420843,002786,银宝山新,bottom_area,2024-12-31,9.25,2024-12-31,9.24,0.1082251082251059,3.679653679653678,27.92511700468019,False,-2.9381,2.1802,6,7,6,85.71428571428571,16.35487558120716,22.074688796680498,9.891774891774894,0.1082251082251059,历史6/7次成功; 当前距低点0.11%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
16,80.94897314501408,73.58997558637643,300551,古鳌科技,bottom_area,2024-12-31,9.97,2024-12-31,9.97,0.0,8.124373119358062,31.241379310344826,False,-6.032,5.9085,3,3,3,100.0,21.720298851486206,28.36676217765042,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-6.03%; 状态bottom_area; 底部未确认
17,80.82311857810011,73.78948062035995,300705,九典制药,bottom_area,2024-12-31,17.95,2024-12-31,17.91,0.22333891680624873,7.091010608598546,32.87106446776612,False,-10.1152,11.784,2,2,2,100.0,29.939211562786006,41.42097631706138,9.776661083193753,0.22333891680624873,历史2/2次成功; 当前距低点0.22%; 最新日涨幅-10.12%; 状态bottom_area; 底部未确认
18,80.40374628783543,74.2419638620387,300533,冰川网络,bottom_area,2024-12-31,19.76,2024-12-30,19.6,0.8163265306122455,6.428571428571418,30.049964311206274,False,-4.4487,2.4607,3,3,3,100.0,22.974130923842026,40.564081294068856,9.183673469387756,0.8163265306122455,历史3/3次成功; 当前距低点0.82%; 最新日涨幅-4.45%; 状态bottom_area; 底部未确认
19,80.17344416558196,74.82854788787651,603058,永吉股份,bottom_area,2024-12-31,8.82,2024-12-25,8.7,1.3793103448275978,6.781609195402298,28.21782178217822,False,-2.9703,1.7316,1,1,1,100.0,16.308470290771165,16.308470290771165,8.620689655172404,1.3793103448275978,历史1/1次成功; 当前距低点1.38%; 最新日涨幅-2.97%; 状态bottom_area; 底部未确认
20,79.82032105846928,72.68062623565628,000688,国城矿业,bottom_area,2024-12-31,11.89,2024-12-31,11.88,0.08417508417508238,5.8080808080808035,31.090487238979108,False,-4.7276,0.9377,2,2,2,100.0,22.271749610620777,30.935251798561143,9.915824915824919,0.08417508417508238,历史2/2次成功; 当前距低点0.08%; 最新日涨幅-4.73%; 状态bottom_area; 底部未确认
21,79.47793512484759,75.60431142826968,688196,卓越新能,bottom_area,2024-12-31,33.59,2024-12-31,32.81,2.3773239865894578,2.956415726912523,31.445883827831167,False,0.9618,1.0408,3,4,3,75.0,14.406506009105732,19.41979522184301,7.622676013410542,2.3773239865894578,历史3/4次成功; 当前距低点2.38%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
22,79.47595786173984,72.47475573049317,002016,世荣兆业,bottom_area,2024-12-31,6.18,2024-12-31,6.17,0.16207455429497222,3.2414910858995163,29.080459770114935,False,-2.2152,0.6004,1,1,1,100.0,28.571428571428566,28.571428571428566,9.837925445705029,0.16207455429497222,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
23,78.96431194293582,78.02474692757755,300536,农尚环境,confirmed_rebound,2024-12-31,5.73,2024-12-30,5.49,4.371584699453555,12.386156648451726,31.116687578419068,True,3.0576,3.1948,5,6,5,83.33333333333334,34.8313263924641,60.27027027027027,5.628415300546446,4.371584699453555,历史5/6次成功; 当前距低点4.37%; 最新日涨幅3.06%; 状态confirmed_rebound; 底部已确认
24,78.90513028466125,77.00031480478758,002858,力盛体育,bottom_area,2024-12-31,11.44,2024-12-25,11.03,3.7171350861287413,8.612873980054408,29.430582213691626,True,-2.8037,4.3581,3,3,3,100.0,14.114961296565074,20.566037735849065,6.282864913871259,3.7171350861287413,历史3/3次成功; 当前距低点3.72%; 最新日涨幅-2.80%; 状态bottom_area; 底部已确认
25,78.80772663592997,74.11898426138384,603216,梦天家居,bottom_area,2024-12-31,10.86,2024-12-25,10.67,1.7806935332708482,5.716963448922206,28.244788164088767,False,-1.0929,5.1301,1,1,1,100.0,17.41379310344827,17.41379310344827,8.219306466729153,1.7806935332708482,历史1/1次成功; 当前距低点1.78%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
26,78.77274053023335,71.61158230021213,000536,华映科技,bottom_area,2024-12-31,4.51,2024-12-31,4.51,0.0,5.099778270509987,31.45896656534955,False,-4.0426,2.8206,3,3,3,100.0,11.083775807592168,11.280487804878053,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-4.04%; 状态bottom_area; 底部未确认
27,78.42127148322632,71.29206498475119,300607,拓斯达,bottom_area,2024-12-31,25.49,2024-12-31,25.49,0.0,7.296979207532378,29.934029686641022,False,-5.312,9.0442,4,5,4,80.0,36.0326074448989,59.90836197021764,10.0,0.0,历史4/5次成功; 当前距低点0.00%; 最新日涨幅-5.31%; 状态bottom_area; 底部未确认
28,78.4199504048583,71.29086400441663,603366,日出东方,bottom_area,2024-12-31,11.71,2024-12-31,11.71,0.0,5.465414175918008,27.267080745341616,False,-2.8216,5.5824,2,2,2,100.0,15.811096797938903,17.583732057416277,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.82%; 状态bottom_area; 底部未确认
29,78.1214670003532,72.0926651757172,300355,蒙草生态,bottom_area,2024-12-31,5.13,2024-12-31,5.09,0.7858546168958749,7.072691552062875,31.860776439089694,False,-4.1121,4.229,2,2,2,100.0,27.711901624945106,33.201581027668,9.214145383104126,0.7858546168958749,历史2/2次成功; 当前距低点0.79%; 最新日涨幅-4.11%; 状态bottom_area; 底部未确认
