rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.04338212372242,78.14159550512669,000938,紫光股份,bottom_area,2023-10-26,19.87,2023-10-23,19.3,2.95336787564767,4.041450777202059,28.011935844834014,False,1.1711,0.9881,1,1,1,100.0,30.942334739803094,30.942334739803094,12.04663212435233,2.95336787564767,历史1/1次成功; 当前距低点2.95%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
2,83.58805124082059,75.56235161107972,688337,普源精电,bottom_area,2023-10-26,38.79,2023-10-26,38.0,2.0789473684210504,3.3947368421052606,27.61904761904762,False,-1.373,1.9823,1,1,1,100.0,28.829847371396255,28.829847371396255,12.92105263157895,2.0789473684210504,历史1/1次成功; 当前距低点2.08%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
3,83.25178737162355,77.72991656922943,688023,安恒信息,bottom_area,2023-10-26,121.44,2023-10-24,116.98,3.8126175414600736,4.804240041032647,29.021297251380375,False,1.04,0.7024,1,1,1,100.0,39.261744966442954,39.261744966442954,11.187382458539927,3.8126175414600736,历史1/1次成功; 当前距低点3.81%; 最新日涨幅1.04%; 状态bottom_area; 底部未确认
4,83.17674949786795,76.33952252528348,603098,森特股份,bottom_area,2023-10-26,16.72,2023-10-23,16.25,2.892307692307685,7.5076923076923014,29.835924006908463,True,-2.6209,0.3002,1,1,1,100.0,33.78486055776891,33.78486055776891,12.107692307692314,2.892307692307685,历史1/1次成功; 当前距低点2.89%; 最新日涨幅-2.62%; 状态bottom_area; 底部已确认
5,80.30046348939852,74.55117774782869,601155,新城控股,bottom_area,2023-10-26,11.8,2023-10-20,11.4,3.5087719298245648,4.8245614035087625,27.06333973128599,False,-0.3378,0.6166,2,2,2,100.0,24.2536438055306,24.642857142857142,11.491228070175435,3.5087719298245648,历史2/2次成功; 当前距低点3.51%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
6,79.93568317036885,73.35869658040181,001322,箭牌家居,bottom_area,2023-10-26,12.47,2023-10-23,12.12,2.8877887788779,4.785478547854787,30.74285714285715,False,-0.24,1.4476,1,1,1,100.0,26.897069872276486,26.897069872276486,12.112211221122099,2.8877887788779,历史1/1次成功; 当前距低点2.89%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
7,79.63455512515031,74.05393127762967,688071,华依科技,bottom_area,2023-10-26,38.31,2023-10-25,36.98,3.5965386695511232,4.948620876149286,27.617929144646713,False,0.4194,1.2928,3,4,3,75.0,21.016341097882982,29.494190020505805,11.403461330448875,3.5965386695511232,历史3/4次成功; 当前距低点3.60%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
8,76.49658541388492,68.66221405176347,603260,合盛硅业,bottom_area,2023-10-26,53.9,2023-10-26,53.0,1.698113207547167,1.8867924528301887,28.859060402684566,False,-0.7732,0.16,2,3,2,66.66666666666666,25.95293278658251,34.21399022188793,13.301886792452834,1.698113207547167,历史2/3次成功; 当前距低点1.70%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
9,76.43708902071637,71.25310559006213,000965,天保基建,bottom_area,2023-10-26,3.34,2023-10-23,3.22,3.7267080745341503,8.385093167701864,29.8474945533769,True,-1.7647,1.7521,1,1,1,100.0,16.666666666666664,16.666666666666664,11.273291925465848,3.7267080745341503,历史1/1次成功; 当前距低点3.73%; 最新日涨幅-1.76%; 状态bottom_area; 底部已确认
10,76.35666683707933,72.18634695979216,600009,上海机场,bottom_area,2023-10-26,35.9,2023-10-23,34.36,4.481955762514549,5.791618160651927,29.777232781524628,False,0.6166,0.3293,3,4,3,75.0,21.829065044759854,27.704918032786885,10.51804423748545,4.481955762514549,历史3/4次成功; 当前距低点4.48%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
11,75.39503060750593,70.15778475924023,000006,深振业A,bottom_area,2023-10-26,4.28,2023-10-23,4.13,3.6319612590799117,6.053268765133172,32.295081967213115,False,-1.1547,0.847,1,1,1,100.0,18.809980806142043,18.809980806142043,11.368038740920088,3.6319612590799117,历史1/1次成功; 当前距低点3.63%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
12,74.24686511787989,66.82272813510617,000928,中钢国际,bottom_area,2023-10-26,6.08,2023-10-23,5.97,1.8425460636515967,5.192629815745402,31.06235565819862,False,-0.8157,1.9267,2,3,2,66.66666666666666,17.833690825619026,18.798449612403097,13.157453936348404,1.8425460636515967,历史2/3次成功; 当前距低点1.84%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
13,73.28210361506427,66.33457655349099,603129,春风动力,bottom_area,2023-10-26,102.12,2023-10-26,99.97,2.150645193558073,3.4710413123937167,32.48919502971368,False,-1.9303,0.8002,2,3,2,66.66666666666666,18.985918968477026,20.09633197480549,12.849354806441927,2.150645193558073,历史2/3次成功; 当前距低点2.15%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
14,69.7686221226291,64.96907104852149,300724,捷佳伟创,bottom_area,2023-10-26,68.63,2023-10-26,66.2,3.6706948640483272,5.589123867069491,27.4202390088806,False,-0.9954,2.9011,3,5,3,60.0,28.055136228772444,30.55368319691865,11.329305135951673,3.6706948640483272,历史3/5次成功; 当前距低点3.67%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
15,68.37857412940325,62.72324859618661,000721,西安饮食,bottom_area,2023-10-26,10.42,2023-10-23,10.13,2.86278381046396,8.588351431391898,30.521262002743477,True,-1.3258,2.8873,2,4,2,50.0,18.550514430346464,20.485175202156327,12.13721618953604,2.86278381046396,历史2/4次成功; 当前距低点2.86%; 最新日涨幅-1.33%; 状态bottom_area; 底部已确认
16,66.18777351486587,58.87274661508706,603326,我乐家居,bottom_area,2023-10-26,10.02,2023-10-23,9.9,1.2121212121212042,3.8383838383838285,30.76923076923077,False,-0.4965,2.636,1,2,1,50.0,20.141843971631218,20.141843971631218,13.787878787878796,1.2121212121212042,历史1/2次成功; 当前距低点1.21%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
17,64.90104073939399,59.128437512967714,600328,中盐化工,bottom_area,2023-10-26,7.8,2023-10-26,7.61,2.496714848883042,2.8909329829172106,28.207547169811313,False,-2.0101,1.0773,1,2,1,50.0,37.26315789473683,37.26315789473683,12.503285151116957,2.496714848883042,历史1/2次成功; 当前距低点2.50%; 最新日涨幅-2.01%; 状态bottom_area; 底部未确认
18,64.21936772234793,59.72285903083703,002366,融发核电,bottom_area,2023-10-26,5.18,2023-10-23,5.0,3.5999999999999943,5.0,28.469241773962807,False,-0.5758,0.8547,2,4,2,50.0,20.64977973568282,25.0,11.400000000000004,3.5999999999999943,历史2/4次成功; 当前距低点3.60%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
19,62.090381194884166,55.72702463418684,002080,中材科技,bottom_area,2023-10-26,16.81,2023-10-26,16.53,1.69388989715667,2.8433151845129996,27.244718309859145,False,-1.1758,0.6595,1,3,1,33.33333333333333,28.579356270810223,28.579356270810223,13.30611010284333,1.69388989715667,历史1/3次成功; 当前距低点1.69%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
20,60.50692097335942,55.406806568224965,000014,沙河股份,bottom_area,2023-10-26,11.13,2023-10-23,10.83,2.770083102493081,5.909510618651899,31.671924290220822,False,-1.0667,1.9737,1,2,1,50.0,20.605355064027936,20.605355064027936,12.229916897506918,2.770083102493081,历史1/2次成功; 当前距低点2.77%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
21,59.76499714467755,56.197279687619606,300713,英可瑞,bottom_area,2023-10-26,18.39,2023-10-24,17.65,4.192634560906527,4.759206798866855,27.066115702479344,False,0.5467,6.4697,1,2,1,50.0,19.819819819819813,19.819819819819813,10.807365439093472,4.192634560906527,历史1/2次成功; 当前距低点4.19%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
22,58.79492682161723,54.896177863171594,600408,安泰集团,bottom_area,2023-10-26,2.45,2023-10-23,2.36,3.8135593220339112,7.203389830508472,30.99415204678363,True,-2.3904,2.0262,1,2,1,50.0,21.457489878542503,21.457489878542503,11.18644067796609,3.8135593220339112,历史1/2次成功; 当前距低点3.81%; 最新日涨幅-2.39%; 状态bottom_area; 底部已确认
23,58.338788832164816,53.727819268110544,603305,旭升集团,bottom_area,2023-10-26,18.09,2023-10-26,17.55,3.0769230769230718,3.817663817663807,27.178423236514526,False,-0.8224,1.4604,1,2,1,50.0,15.339805825242717,15.339805825242717,11.923076923076929,3.0769230769230718,历史1/2次成功; 当前距低点3.08%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
24,54.08817389980556,51.23242099665188,300721,怡达股份,bottom_area,2023-10-26,14.37,2023-10-23,13.74,4.58515283842794,6.4046579330422055,29.06556530717605,False,-0.4848,1.854,1,2,1,50.0,20.411663807890235,20.411663807890235,10.414847161572059,4.58515283842794,历史1/2次成功; 当前距低点4.59%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
25,52.27449234674777,49.18101687186501,002068,黑猫股份,bottom_area,2023-10-26,9.38,2023-10-23,9.0,4.22222222222223,7.888888888888898,27.594529364440866,True,-0.4246,1.575,1,3,1,33.33333333333333,15.184678522571824,15.184678522571824,10.77777777777777,4.22222222222223,历史1/3次成功; 当前距低点4.22%; 最新日涨幅-0.42%; 状态bottom_area; 底部已确认
