rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.70093470305827,79.20433494335055,002343,慈文传媒,bottom_area,2022-09-28,5.0,2022-09-27,4.93,1.4198782961460505,4.0567951318458455,29.470672389127333,False,-1.9608,1.9664,1,1,1,100.0,40.33149171270718,40.33149171270718,13.580121703853948,1.4198782961460505,历史1/1次成功; 当前距低点1.42%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
2,84.69931360497961,76.30426763110307,002616,长青集团,bottom_area,2022-09-28,4.84,2022-09-27,4.75,1.8947368421052602,6.947368421052633,28.678678678678683,False,-1.2245,3.5427,1,1,1,100.0,30.560578661844474,30.560578661844474,13.10526315789474,1.8947368421052602,历史1/1次成功; 当前距低点1.89%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
3,84.69480226509322,74.13140105078809,002202,金风科技,bottom_area,2022-09-28,11.46,2022-09-28,11.42,0.3502626970227752,4.640980735551658,27.53807106598985,False,-3.7783,0.6938,1,1,1,100.0,55.172413793103445,55.172413793103445,14.649737302977226,0.3502626970227752,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-3.78%; 状态bottom_area; 底部未确认
4,84.6541934580151,73.61234213740444,002245,蔚蓝锂芯,bottom_area,2022-09-28,14.26,2022-09-28,14.26,0.0,5.329593267882187,29.61500493583416,False,-5.3121,2.1945,3,3,3,100.0,21.840549125830286,25.653923541247494,15.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-5.31%; 状态bottom_area; 底部未确认
5,84.5945560782129,75.27490131997925,603192,汇得科技,bottom_area,2022-09-28,18.88,2022-09-26,18.65,1.2332439678284206,5.093833780160874,29.59607399018498,False,-2.9805,0.5617,1,1,1,100.0,16.917728852838945,16.917728852838945,13.766756032171578,1.2332439678284206,历史1/1次成功; 当前距低点1.23%; 最新日涨幅-2.98%; 状态bottom_area; 底部未确认
6,84.58524682087368,73.70998073116667,688018,乐鑫科技,bottom_area,2022-09-28,78.7,2022-09-28,78.61,0.11448925073146343,3.0403256583131926,32.81196581196581,False,-2.5628,0.6486,1,1,1,100.0,34.629119477604306,34.629119477604306,14.885510749268535,0.11448925073146343,历史1/1次成功; 当前距低点0.11%; 最新日涨幅-2.56%; 状态bottom_area; 底部未确认
7,84.34034820079545,74.10061970815724,300538,同益股份,bottom_area,2022-09-28,10.92,2022-09-26,10.86,0.5524861878453085,3.7753222836095777,29.019607843137262,False,-2.7605,0.6608,2,2,2,100.0,25.431657077658826,30.150753768844226,14.44751381215469,0.5524861878453085,历史2/2次成功; 当前距低点0.55%; 最新日涨幅-2.76%; 状态bottom_area; 底部未确认
8,84.16913884437727,74.99360905354143,688171,纬德信息,bottom_area,2022-09-28,19.44,2022-09-26,19.19,1.3027618551328815,4.168837936425207,29.13589364844903,False,-2.3606,1.0027,1,1,1,100.0,16.257559587335468,16.257559587335468,13.697238144867118,1.3027618551328815,历史1/1次成功; 当前距低点1.30%; 最新日涨幅-2.36%; 状态bottom_area; 底部未确认
9,84.0056900784383,75.5545482681247,603356,华菱精工,bottom_area,2022-09-28,12.4,2022-09-26,12.18,1.8062397372742254,5.1724137931034555,27.153110047846884,False,-1.5873,1.3668,1,1,1,100.0,25.445026178010465,25.445026178010465,13.193760262725773,1.8062397372742254,历史1/1次成功; 当前距低点1.81%; 最新日涨幅-1.59%; 状态bottom_area; 底部未确认
10,83.32123408057616,73.77631300902488,688055,龙腾光电,bottom_area,2022-09-28,4.17,2022-09-26,4.13,0.9685230024213084,3.6319612590799117,27.54385964912281,False,-1.8824,0.1996,1,1,1,100.0,45.45454545454546,45.45454545454546,14.03147699757869,0.9685230024213084,历史1/1次成功; 当前距低点0.97%; 最新日涨幅-1.88%; 状态bottom_area; 底部未确认
11,83.06415840409643,72.65958216109199,603315,福鞍股份,bottom_area,2022-09-28,18.96,2022-09-28,18.9,0.31746031746032954,5.55555555555556,31.744312026002174,False,-4.194,0.5358,1,1,1,100.0,41.68490153172865,41.68490153172865,14.68253968253967,0.31746031746032954,历史1/1次成功; 当前距低点0.32%; 最新日涨幅-4.19%; 状态bottom_area; 底部未确认
