rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.67041635437096,72.595187514009,601966,玲珑轮胎,bottom_area,2022-02-09,29.83,2022-02-09,29.0,2.8620689655172353,5.9310344827586166,30.120481927710845,False,-2.8339,1.3249,1,1,1,100.0,22.476907287033857,22.476907287033857,17.13793103448277,2.8620689655172353,历史1/1次成功; 当前距低点2.86%; 最新日涨幅-2.83%; 状态bottom_area; 底部未确认
2,69.74907312507737,60.80577302935255,300573,兴齐眼药,bottom_area,2022-02-09,101.02,2022-02-08,98.59,2.464753017547411,4.4426412415052186,28.298181818181817,False,0.4375,1.6931,1,3,1,33.33333333333333,42.86062675283501,42.86062675283501,17.53524698245259,2.464753017547411,历史1/3次成功; 当前距低点2.46%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
3,67.54022564377803,59.701754385964925,300648,星云股份,bottom_area,2022-02-09,47.07,2022-02-08,45.6,3.2236842105263133,6.118421052631577,27.596062241981578,False,0.2129,2.3308,1,2,1,50.0,26.78362573099414,26.78362573099414,16.77631578947369,3.2236842105263133,历史1/2次成功; 当前距低点3.22%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
