rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.8455899616493,80.2726628918449,603198,迎驾贡酒,bottom_area,2025-06-19,38.55,2025-06-16,37.79,2.0111140513363273,6.774278909764495,29.78446674098848,False,-1.0015,0.7188,2,2,2,100.0,36.655929725224325,39.66017405719024,17.988885948663675,2.0111140513363273,历史2/2次成功; 当前距低点2.01%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
2,91.49287926442737,76.46694267515922,301260,格力博,bottom_area,2025-06-19,18.87,2025-06-19,18.84,0.15923566878981496,4.458598726114649,28.036669213139803,False,-1.8721,4.5005,1,1,1,100.0,58.71313672922254,58.71313672922254,19.84076433121019,0.15923566878981496,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-1.87%; 状态bottom_area; 底部未确认
3,90.42296594756715,75.91110831234259,001230,劲旅环境,bottom_area,2025-06-19,19.93,2025-06-19,19.85,0.40302267002518033,4.735516372795958,29.384560654571317,False,-2.0639,6.1999,1,1,1,100.0,84.69119579500656,84.69119579500656,19.59697732997482,0.40302267002518033,历史1/1次成功; 当前距低点0.40%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
4,88.15221832259098,73.68877090332568,002909,集泰股份,bottom_area,2025-06-19,5.91,2025-06-19,5.9,0.1694915254237252,2.542372881355923,29.510155316606916,False,-2.314,3.484,1,1,1,100.0,35.18930957683742,35.18930957683742,19.830508474576273,0.1694915254237252,历史1/1次成功; 当前距低点0.17%; 最新日涨幅-2.31%; 状态bottom_area; 底部未确认
5,87.38743283701206,73.02267398453239,000605,渤海股份,bottom_area,2025-06-19,6.7,2025-06-19,6.69,0.14947683109117765,2.6905829596412514,28.829787234042552,False,-1.6153,2.0518,3,4,3,75.0,35.52946859903381,56.66666666666668,19.850523168908822,0.14947683109117765,历史3/4次成功; 当前距低点0.15%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
6,87.31873222718244,73.56706233988048,603787,新日股份,bottom_area,2025-06-19,11.78,2025-06-19,11.71,0.5977796754910205,5.550811272416725,27.71604938271604,False,-4.4607,5.4817,1,1,1,100.0,92.85714285714283,92.85714285714283,19.40222032450898,0.5977796754910205,历史1/1次成功; 当前距低点0.60%; 最新日涨幅-4.46%; 状态bottom_area; 底部未确认
7,86.87950333483724,73.31603656948292,000811,冰轮环境,bottom_area,2025-06-19,8.8,2025-06-19,8.74,0.686498855835246,2.517162471395888,32.195500387897596,False,-1.2346,1.7985,4,5,4,80.0,32.856204090254195,47.451868629671566,19.313501144164753,0.686498855835246,历史4/5次成功; 当前距低点0.69%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
8,85.71785312674625,74.66507096774193,002471,中超控股,bottom_area,2025-06-19,5.08,2025-06-16,4.96,2.4193548387096793,12.903225806451607,27.272727272727277,True,-8.3032,27.3768,1,1,1,100.0,29.2,29.2,17.58064516129032,2.4193548387096793,历史1/1次成功; 当前距低点2.42%; 最新日涨幅-8.30%; 状态bottom_area; 底部已确认
9,85.14441224065195,71.41144252441775,605377,华旺科技,bottom_area,2025-06-19,8.58,2025-06-19,8.55,0.3508771929824486,0.9356725146198838,29.22185430463576,False,-0.464,0.4913,1,1,1,100.0,25.16904583020285,25.16904583020285,19.64912280701755,0.3508771929824486,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-0.46%; 状态bottom_area; 底部未确认
10,84.87022317767864,71.02920202117822,003025,思进智能,bottom_area,2025-06-19,12.85,2025-06-19,12.82,0.23400936037441,3.588143525741022,27.076222980659832,False,-2.207,1.4986,1,1,1,100.0,21.681415929203535,21.681415929203535,19.765990639625592,0.23400936037441,历史1/1次成功; 当前距低点0.23%; 最新日涨幅-2.21%; 状态bottom_area; 底部未确认
11,84.70749289135664,71.3515846238938,600770,综艺股份,bottom_area,2025-06-19,5.15,2025-06-19,5.12,0.5859375000000049,2.92968749999999,32.185430463576154,False,-2.4621,2.0895,1,1,1,100.0,27.72861356932153,27.72861356932153,19.414062499999996,0.5859375000000049,历史1/1次成功; 当前距低点0.59%; 最新日涨幅-2.46%; 状态bottom_area; 底部未确认
