rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.36504055238521,76.5539651837524,002110,三钢闽光,bottom_area,2022-09-07,5.23,2022-08-31,5.17,1.1605415860735107,1.9342359767891615,30.41722745625841,False,-0.759,0.2164,1,1,1,100.0,22.90322580645161,22.90322580645161,8.83945841392649,1.1605415860735107,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
2,80.30809818068228,74.47145500470037,000799,酒鬼酒,bottom_area,2022-09-07,136.92,2022-09-06,135.51,1.0405136152313457,2.4278651022064945,28.256035578144857,False,-1.1408,0.9507,1,1,1,100.0,10.235623910902333,10.235623910902333,8.959486384768656,1.0405136152313457,历史1/1次成功; 当前距低点1.04%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
3,79.35666695932348,78.42629929742257,605258,协和电子,bottom_area,2022-09-07,23.35,2022-09-01,22.37,4.380867232901209,5.274921770227983,28.98412698412698,False,1.4776,2.6309,1,1,1,100.0,49.971379507727534,49.971379507727534,5.619132767098792,4.380867232901209,历史1/1次成功; 当前距低点4.38%; 最新日涨幅1.48%; 状态bottom_area; 底部未确认
4,78.99208237403016,73.72243044781068,000661,长春高新,bottom_area,2022-09-07,167.88,2022-09-07,165.6,1.3768115942028991,2.475845410628016,28.712871287128717,False,-2.2191,1.6291,1,1,1,100.0,10.330972487060738,10.330972487060738,8.623188405797102,1.3768115942028991,历史1/1次成功; 当前距低点1.38%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
5,78.91565805223017,76.38743669609399,002012,凯恩股份,bottom_area,2022-09-07,5.65,2022-09-06,5.47,3.2906764168190237,3.2906764168190237,27.54966887417219,False,1.2545,6.1549,1,1,1,100.0,25.646123260437374,25.646123260437374,6.709323583180976,3.2906764168190237,历史1/1次成功; 当前距低点3.29%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
6,76.69421815748886,75.53783646348005,601606,长城军工,bottom_area,2022-09-07,12.15,2022-08-29,11.66,4.2024013722126945,5.488850771869645,27.033792240300375,False,0.0,1.3293,2,2,2,100.0,15.587696731854795,18.886462882096076,5.7975986277873055,4.2024013722126945,历史2/2次成功; 当前距低点4.20%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,76.31056241080843,75.16138059943131,688045,必易微,bottom_area,2022-09-07,61.48,2022-09-01,59.0,4.20338983050847,7.084745762711863,28.743961352657006,True,0.4083,9.9589,1,1,1,100.0,21.048975338659265,21.048975338659265,5.796610169491531,4.20338983050847,历史1/1次成功; 当前距低点4.20%; 最新日涨幅0.41%; 状态bottom_area; 底部已确认
8,76.27697788292734,72.70933691134456,603055,台华新材,bottom_area,2022-09-07,10.72,2022-09-01,10.46,2.485659655831738,7.934990439770538,31.767775603392035,True,-3.2491,0.7579,1,1,1,100.0,19.498069498069512,19.498069498069512,7.5143403441682635,2.485659655831738,历史1/1次成功; 当前距低点2.49%; 最新日涨幅-3.25%; 状态bottom_area; 底部已确认
9,75.81335910862346,75.09808423340452,688279,峰岹科技,bottom_area,2022-09-07,64.99,2022-09-05,62.19,4.502331564560214,8.216755105322399,27.07551594746717,True,1.9771,3.629,1,1,1,100.0,24.37311935807422,24.37311935807422,5.4976684354397864,4.502331564560214,历史1/1次成功; 当前距低点4.50%; 最新日涨幅1.98%; 状态bottom_area; 底部已确认
10,75.77001558551072,72.77250180072028,002043,兔宝宝,bottom_area,2022-09-07,8.57,2022-08-04,8.33,2.881152460984396,8.403361344537807,30.2928870292887,True,-1.2673,1.0737,1,1,1,100.0,14.470588235294123,14.470588235294123,7.118847539015604,2.881152460984396,历史1/1次成功; 当前距低点2.88%; 最新日涨幅-1.27%; 状态bottom_area; 底部已确认
11,75.58615984126185,74.07443664443663,000761,本钢板材,bottom_area,2022-09-07,3.43,2022-07-15,3.3,3.9393939393939497,8.484848484848492,31.818181818181817,True,0.0,0.1448,1,1,1,100.0,11.969111969111971,11.969111969111971,6.060606060606051,3.9393939393939497,历史1/1次成功; 当前距低点3.94%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
