rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.16991847441712,83.44083427591333,600178,东安动力,bottom_area,2024-01-08,12.96,2024-01-05,12.74,1.7268445839874462,7.927786499215069,27.572484366117113,False,0.856,7.0648,2,2,2,100.0,27.731397459165148,36.84210526315788,6.273155416012555,1.7268445839874462,历史2/2次成功; 当前距低点1.73%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
2,85.46800518712188,79.53848300703808,300454,深信服,bottom_area,2024-01-08,64.87,2024-01-08,64.7,0.2627511591962932,2.9675425038639904,28.885469333919545,False,-2.5976,1.1136,4,4,4,100.0,17.782557258094812,29.49391262831224,7.737248840803707,0.2627511591962932,历史4/4次成功; 当前距低点0.26%; 最新日涨幅-2.60%; 状态bottom_area; 底部未确认
3,82.6709506199748,79.4336545115784,002632,道明光学,bottom_area,2024-01-08,8.48,2024-01-08,8.32,1.9230769230769247,3.1249999999999973,28.706083976006852,False,1.3142,9.3161,1,1,1,100.0,25.259515570934255,25.259515570934255,6.076923076923076,1.9230769230769247,历史1/1次成功; 当前距低点1.92%; 最新日涨幅1.31%; 状态bottom_area; 底部未确认
4,82.53214699771877,76.96789720396946,605133,嵘泰股份,bottom_area,2024-01-08,24.29,2024-01-08,24.2,0.3719008264462804,4.421487603305787,32.42111142139068,False,-4.2947,5.4957,2,2,2,100.0,48.8485542379945,60.01483679525222,7.62809917355372,0.3719008264462804,历史2/2次成功; 当前距低点0.37%; 最新日涨幅-4.29%; 状态bottom_area; 底部未确认
5,82.07726819838854,76.121343870224,603286,日盈电子,bottom_area,2024-01-08,23.67,2024-01-08,23.65,0.0845665961945164,3.3826638477801296,29.73856209150327,False,-1.2104,4.0775,3,3,3,100.0,13.893310266384404,16.874999999999986,7.915433403805484,0.0845665961945164,历史3/3次成功; 当前距低点0.08%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
6,81.59541174564464,75.61007206214566,300601,康泰生物,bottom_area,2024-01-08,24.78,2024-01-08,24.77,0.0403714170367443,1.8570851836899511,27.530719719133995,False,-1.7836,0.8454,3,3,3,100.0,10.602789747255038,11.580726965342352,7.959628582963256,0.0403714170367443,历史3/3次成功; 当前距低点0.04%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
7,81.44305697750066,78.64541802934983,002355,兴民智通,bottom_area,2024-01-08,5.15,2024-01-08,5.04,2.182539682539689,5.55555555555556,27.27272727272727,False,0.7828,4.6734,4,5,4,80.0,17.535529599679155,21.138211382113823,5.817460317460312,2.182539682539689,历史4/5次成功; 当前距低点2.18%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
8,81.25997547782185,75.85978723404256,603013,亚普股份,bottom_area,2024-01-08,16.52,2024-01-08,16.45,0.42553191489361875,1.702127659574475,27.692307692307693,False,-1.4908,0.6403,1,1,1,100.0,53.30739299610896,53.30739299610896,7.574468085106381,0.42553191489361875,历史1/1次成功; 当前距低点0.43%; 最新日涨幅-1.49%; 状态bottom_area; 底部未确认
9,80.94341296122644,75.27728846293607,002095,生意宝,bottom_area,2024-01-08,17.59,2024-01-08,17.55,0.22792022792022304,4.273504273504273,27.299088649544323,False,-4.6612,2.9035,3,3,3,100.0,21.32766979889348,33.84030418250951,7.772079772079778,0.22792022792022304,历史3/3次成功; 当前距低点0.23%; 最新日涨幅-4.66%; 状态bottom_area; 底部未确认
10,80.656639031477,74.68207317729352,000070,特发信息,bottom_area,2024-01-08,7.46,2024-01-08,7.46,0.0,2.546916890080434,28.061716489874634,False,-2.0997,0.9649,2,2,2,100.0,34.04340417899739,50.60532687651331,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.10%; 状态bottom_area; 底部未确认
11,80.51400000000002,74.55000000000001,600172,黄河旋风,bottom_area,2024-01-08,3.46,2024-01-08,3.46,0.0,2.0231213872832323,29.098360655737704,False,-1.4245,1.1478,1,1,1,100.0,51.074589127686465,51.074589127686465,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
12,79.25485931442306,73.73607501353402,002284,亚太股份,bottom_area,2024-01-08,8.07,2024-01-08,8.05,0.24844720496893877,2.111801242236024,29.137323943661965,False,-1.8248,1.1542,2,2,2,100.0,19.744809897113992,27.214170692431566,7.751552795031061,0.24844720496893877,历史2/2次成功; 当前距低点0.25%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
13,78.98077185577766,77.25572715335163,002796,世嘉科技,confirmed_rebound,2024-01-08,10.82,2023-12-26,10.52,2.8517110266159764,9.125475285171111,28.092959671907046,True,-1.9928,1.8424,2,2,2,100.0,31.7614424410541,36.33841886269071,5.148288973384024,2.8517110266159764,历史2/2次成功; 当前距低点2.85%; 最新日涨幅-1.99%; 状态confirmed_rebound; 底部已确认
14,78.80070224765933,74.99065093022207,002195,岩山科技,bottom_area,2024-01-08,2.85,2024-01-05,2.81,1.4234875444839872,6.405693950177942,27.948717948717945,False,-1.3841,1.2717,1,1,1,100.0,17.72151898734177,17.72151898734177,6.5765124555160135,1.4234875444839872,历史1/1次成功; 当前距低点1.42%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
15,78.77349154906402,77.4314937802471,600152,维科技术,confirmed_rebound,2024-01-08,6.97,2023-12-27,6.76,3.1065088757396446,9.319526627218934,28.31389183457052,True,-1.831,1.1658,3,3,3,100.0,19.163086112545617,24.87644151565074,4.893491124260356,3.1065088757396446,历史3/3次成功; 当前距低点3.11%; 最新日涨幅-1.83%; 状态confirmed_rebound; 底部已确认
