rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.38551317867406,83.59126697875358,001331,胜通能源,bottom_area,2025-08-11,11.94,2025-08-08,11.81,1.1007620660457156,2.4555461473327616,30.242173656231536,False,0.5051,16.7948,2,2,2,100.0,20.865615534074305,23.35390946502057,6.899237933954285,1.1007620660457156,历史2/2次成功; 当前距低点1.10%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
2,88.24590841590401,85.82194219868666,300651,金陵体育,bottom_area,2025-08-11,21.3,2025-08-08,20.77,2.5517573423206605,2.7443428021184415,30.651085141903174,False,1.1396,6.7069,5,5,5,100.0,17.311553436439517,25.720461095100855,5.448242657679339,2.5517573423206605,历史5/5次成功; 当前距低点2.55%; 最新日涨幅1.14%; 状态bottom_area; 底部未确认
3,86.11931158737063,83.40697902416456,001226,拓山重工,bottom_area,2025-08-11,36.36,2025-08-08,35.53,2.3360540388404116,3.405572755417959,31.699346405228763,False,-0.6286,3.7764,4,4,4,100.0,24.15689372430483,41.451766953199616,5.663945961159589,2.3360540388404116,历史4/4次成功; 当前距低点2.34%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
4,85.11481875911815,83.17711157496774,002658,雪迪龙,bottom_area,2025-08-11,8.07,2025-08-01,7.85,2.802547770700645,2.9299363057324896,31.50087260034905,False,0.3731,2.9641,3,3,3,100.0,22.83290587185592,34.81481481481481,5.197452229299355,2.802547770700645,历史3/3次成功; 当前距低点2.80%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
5,85.02054057641364,81.04664077087399,002987,京北方,bottom_area,2025-08-11,20.15,2025-08-08,19.85,1.511335012594444,2.367758186397979,28.339350180505406,False,0.6997,2.9249,1,1,1,100.0,28.88432580424366,28.88432580424366,6.488664987405556,1.511335012594444,历史1/1次成功; 当前距低点1.51%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
6,84.03647669998051,81.58033991825995,605099,共创草坪,bottom_area,2025-08-11,30.85,2025-08-08,30.11,2.4576552640318896,2.7897708402524075,27.93202489229297,False,0.4559,0.6257,2,2,2,100.0,26.687064087379913,44.31372549019606,5.54234473596811,2.4576552640318896,历史2/2次成功; 当前距低点2.46%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
7,80.31607968760916,77.19775664821447,603262,技源集团,bottom_area,2025-08-11,30.46,2025-08-04,29.88,1.9410977242302605,3.078982597054892,28.823249166269648,False,1.635,11.3427,1,1,1,100.0,13.459459459459449,13.459459459459449,6.058902275769739,1.9410977242302605,历史1/1次成功; 当前距低点1.94%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
8,79.87262311611691,78.57232233842852,603022,新通联,bottom_area,2025-08-11,10.49,2025-07-24,10.17,3.1465093411996095,3.539823008849552,32.33532934131736,False,0.191,3.4634,2,2,2,100.0,18.958944281524914,26.099706744868023,4.85349065880039,3.1465093411996095,历史2/2次成功; 当前距低点3.15%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
9,79.66709015790356,78.17988965118396,605033,美邦股份,bottom_area,2025-08-11,21.49,2025-08-08,20.86,3.020134228187915,3.307766059443918,32.926045016077175,False,0.5145,2.6013,1,1,1,100.0,31.96664350243223,31.96664350243223,4.979865771812085,3.020134228187915,历史1/1次成功; 当前距低点3.02%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
10,79.42413771196783,78.02973619247632,603839,安正时尚,bottom_area,2025-08-11,7.7,2025-08-08,7.47,3.078982597054892,3.614457831325307,28.03468208092486,False,2.2576,4.0576,1,1,1,100.0,31.88073394495412,31.88073394495412,4.9210174029451075,3.078982597054892,历史1/1次成功; 当前距低点3.08%; 最新日涨幅2.26%; 状态bottom_area; 底部未确认
11,79.01529891752493,74.92830069765293,000558,天府文旅,bottom_area,2025-08-11,5.72,2025-08-11,5.65,1.2389380530973344,4.424778761061947,28.57142857142857,False,-4.3478,16.9054,4,5,4,80.0,18.672470208144375,30.23255813953488,6.761061946902666,1.2389380530973344,历史4/5次成功; 当前距低点1.24%; 最新日涨幅-4.35%; 状态bottom_area; 底部未确认
12,77.23965938059338,75.76842777334399,603511,爱慕股份,bottom_area,2025-08-11,15.45,2025-08-04,15.0,2.9999999999999956,4.066666666666663,29.906542056074763,False,0.3247,0.8887,1,1,1,100.0,18.754988028731056,18.754988028731056,5.000000000000004,2.9999999999999956,历史1/1次成功; 当前距低点3.00%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
13,74.59327497888765,74.93046205814933,600620,天宸股份,bottom_area,2025-08-11,6.4,2025-08-04,6.14,4.234527687296428,4.234527687296428,27.078384798099762,False,2.2364,1.9899,1,1,1,100.0,29.38271604938273,29.38271604938273,3.7654723127035723,4.234527687296428,历史1/1次成功; 当前距低点4.23%; 最新日涨幅2.24%; 状态bottom_area; 底部未确认
14,73.61995720554356,74.3364303816663,000999,华润三九,bottom_area,2025-08-11,31.79,2025-07-15,30.42,4.503616042077572,7.133464825772523,30.036798528058867,True,0.4106,0.6469,1,1,1,100.0,20.293951384963254,20.293951384963254,3.4963839579224283,4.503616042077572,历史1/1次成功; 当前距低点4.50%; 最新日涨幅0.41%; 状态bottom_area; 底部已确认
15,73.07903769507803,74.15769507803121,603928,兴业股份,bottom_area,2025-08-11,15.84,2025-08-01,15.12,4.761904761904766,4.828042328042331,32.16689098250337,False,1.0849,2.8767,1,1,1,100.0,31.69267707082834,31.69267707082834,3.2380952380952337,4.761904761904766,历史1/1次成功; 当前距低点4.76%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
16,72.78937510912216,73.15552181771537,300963,中洲特材,bottom_area,2025-08-11,19.82,2025-08-01,19.01,4.260915307732764,6.049447659126767,27.93783169067475,False,1.9023,5.4784,1,1,1,100.0,20.163487738419626,20.163487738419626,3.739084692267236,4.260915307732764,历史1/1次成功; 当前距低点4.26%; 最新日涨幅1.90%; 状态bottom_area; 底部未确认
17,70.05152855930963,70.18535348201108,002287,奇正藏药,bottom_area,2025-08-11,28.95,2025-08-08,27.81,4.099244875943907,5.861201006832085,27.122641509433958,False,-0.5155,2.4631,1,1,1,100.0,24.686192468619257,24.686192468619257,3.9007551240560927,4.099244875943907,历史1/1次成功; 当前距低点4.10%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
18,57.445903933895664,57.48645875488676,000514,渝开发,bottom_area,2025-08-11,5.67,2025-08-06,5.45,4.036697247706417,4.770642201834859,27.13903743315508,False,1.6129,4.1558,1,2,1,50.0,24.839400428265527,24.839400428265527,3.9633027522935826,4.036697247706417,历史1/2次成功; 当前距低点4.04%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
