rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.55619227762234,83.72625459469573,605258,协和电子,bottom_area,2022-09-09,22.83,2022-09-01,22.37,2.0563254358515746,5.274921770227983,28.98412698412698,False,0.1316,1.6285,1,1,1,100.0,49.971379507727534,49.971379507727534,7.943674564148425,2.0563254358515746,历史1/1次成功; 当前距低点2.06%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
2,82.94618882978719,78.52893617021275,002110,三钢闽光,bottom_area,2022-09-09,5.28,2022-08-31,5.17,2.1276595744680913,2.7079303675048294,30.41722745625841,False,0.1898,0.2669,1,1,1,100.0,22.90322580645161,22.90322580645161,7.87234042553191,2.1276595744680913,历史1/1次成功; 当前距低点2.13%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
3,82.6173120424157,77.4765494758733,002648,卫星化学,bottom_area,2022-09-09,21.22,2022-09-09,20.88,1.6283524904214555,1.8199233716475218,27.373913043478264,False,0.5687,0.7628,1,1,1,100.0,11.12469437652812,11.12469437652812,8.371647509578544,1.6283524904214555,历史1/1次成功; 当前距低点1.63%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
4,82.05809000442763,77.09279156466924,000799,酒鬼酒,bottom_area,2022-09-09,136.88,2022-09-09,134.56,1.7241379310344775,2.0585612366230754,28.75900042354934,False,0.4182,0.9319,1,1,1,100.0,10.235623910902333,10.235623910902333,8.275862068965523,1.7241379310344775,历史1/1次成功; 当前距低点1.72%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
5,81.41619824760225,76.73214059273823,000661,长春高新,bottom_area,2022-09-09,168.73,2022-09-07,165.6,1.8900966183574852,3.1400966183574983,28.712871287128717,False,1.7488,1.1548,1,1,1,100.0,10.330972487060738,10.330972487060738,8.109903381642516,1.8900966183574852,历史1/1次成功; 当前距低点1.89%; 最新日涨幅1.75%; 状态bottom_area; 底部未确认
6,81.39001604961359,76.76545628048349,688058,宝兰德,bottom_area,2022-09-09,41.2,2022-08-31,40.42,1.9297377535873357,7.397328055418097,31.49152542372881,True,-0.4109,1.1989,1,1,1,100.0,24.27558257345491,24.27558257345491,8.070262246412666,1.9297377535873357,历史1/1次成功; 当前距低点1.93%; 最新日涨幅-0.41%; 状态bottom_area; 底部已确认
7,78.82562939092632,73.68843363093632,688097,博众精工,bottom_area,2022-09-09,28.43,2022-09-09,28.02,1.463240542469665,3.4975017844396876,27.371695178849144,False,-1.5582,0.8365,1,1,1,100.0,11.207645525629896,11.207645525629896,8.536759457530335,1.463240542469665,历史1/1次成功; 当前距低点1.46%; 最新日涨幅-1.56%; 状态bottom_area; 底部未确认
8,78.78260240507076,71.87559792085477,002012,凯恩股份,bottom_area,2022-09-09,5.38,2022-09-09,5.37,0.18621973929236102,2.0484171322160205,28.874172185430456,False,-1.8248,4.2558,1,1,1,100.0,25.646123260437374,25.646123260437374,9.81378026070764,0.18621973929236102,历史1/1次成功; 当前距低点0.19%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
9,77.62519879815383,76.87984300978684,300340,科恒股份,bottom_area,2022-09-09,12.79,2022-09-02,12.24,4.493464052287573,9.722222222222218,27.999999999999996,True,-0.9295,1.8076,3,3,3,100.0,22.983554026895213,42.54473161033797,5.506535947712428,4.493464052287573,历史3/3次成功; 当前距低点4.49%; 最新日涨幅-0.93%; 状态bottom_area; 底部已确认
10,77.33955991562537,74.79463078507875,002645,华宏科技,bottom_area,2022-09-09,18.78,2022-09-02,18.19,3.243540406816931,5.99230346344145,28.27287066246056,False,1.2945,0.8249,1,1,1,100.0,16.50485436893203,16.50485436893203,6.75645959318307,3.243540406816931,历史1/1次成功; 当前距低点3.24%; 最新日涨幅1.29%; 状态bottom_area; 底部未确认
11,76.79384733328594,73.73744398591438,603055,台华新材,bottom_area,2022-09-09,10.76,2022-09-01,10.46,2.8680688336519973,7.934990439770538,31.767775603392035,True,-1.1029,0.3278,1,1,1,100.0,19.498069498069512,19.498069498069512,7.131931166348003,2.8680688336519973,历史1/1次成功; 当前距低点2.87%; 最新日涨幅-1.10%; 状态bottom_area; 底部已确认
12,73.97259936162855,71.60829112867322,603191,望变电气,bottom_area,2022-09-09,23.2,2022-09-02,22.46,3.294746215494205,9.349955476402483,28.924050632911392,True,-2.398,4.3366,1,1,1,100.0,13.281249999999995,13.281249999999995,6.705253784505796,3.294746215494205,历史1/1次成功; 当前距低点3.29%; 最新日涨幅-2.40%; 状态bottom_area; 底部已确认
13,73.09667114822972,70.55165703597315,002669,康达新材,bottom_area,2022-09-09,13.14,2022-09-01,12.74,3.1397174254317135,6.122448979591832,27.981910684002266,False,-1.3514,1.7976,1,1,1,100.0,14.89361702127659,14.89361702127659,6.860282574568287,3.1397174254317135,历史1/1次成功; 当前距低点3.14%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
14,72.20980679763917,72.00170937170938,000761,本钢板材,bottom_area,2022-09-09,3.46,2022-07-15,3.3,4.848484848484853,8.484848484848492,31.818181818181817,True,0.2899,0.151,1,1,1,100.0,11.969111969111971,11.969111969111971,5.151515151515147,4.848484848484853,历史1/1次成功; 当前距低点4.85%; 最新日涨幅0.29%; 状态bottom_area; 底部已确认
15,70.60828793289159,64.65437828560077,688288,鸿泉技术,bottom_area,2022-09-09,18.58,2022-09-09,18.51,0.37817396002159226,3.565640194489465,32.24743777452415,False,-1.38,0.6483,2,3,2,66.66666666666666,28.064237891308274,41.992882562277565,9.621826039978409,0.37817396002159226,历史2/3次成功; 当前距低点0.38%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
16,69.58490127014284,66.07333772622613,603033,三维股份,bottom_area,2022-09-09,17.48,2022-09-09,17.09,2.282036278525457,3.3937975424224804,27.584745762711872,False,-0.2283,0.2827,2,3,2,66.66666666666666,19.192009540846744,24.922480620155024,7.717963721474544,2.282036278525457,历史2/3次成功; 当前距低点2.28%; 最新日涨幅-0.23%; 状态bottom_area; 底部未确认
17,68.86382661016047,66.596821071151,002617,露笑科技,bottom_area,2022-09-09,11.78,2022-09-02,11.41,3.242769500438205,9.02716914986853,28.99813316739266,True,-1.34,2.2453,2,3,2,66.66666666666666,24.589617556362565,36.60589060308556,6.7572304995617944,3.242769500438205,历史2/3次成功; 当前距低点3.24%; 最新日涨幅-1.34%; 状态bottom_area; 底部已确认
18,64.01186723925568,60.01112553680219,688165,埃夫特,bottom_area,2022-09-09,8.19,2022-09-02,8.06,1.612903225806439,7.071960297766752,28.4826974267968,True,-1.3253,0.4517,1,2,1,50.0,21.98142414860681,21.98142414860681,8.387096774193562,1.612903225806439,历史1/2次成功; 当前距低点1.61%; 最新日涨幅-1.33%; 状态bottom_area; 底部已确认
