rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.0378254755229,76.18589156872947,605033,美邦股份,bottom_area,2025-08-13,21.29,2025-08-08,20.86,2.0613614573346104,3.4515819750719023,32.926045016077175,False,-0.7459,2.0837,1,1,1,100.0,31.96664350243223,31.96664350243223,17.93863854266539,2.0613614573346104,历史1/1次成功; 当前距低点2.06%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
2,84.87296847107469,74.46017795954461,603839,安正时尚,bottom_area,2025-08-13,7.68,2025-08-08,7.47,2.811244979919678,5.488621151271756,28.03468208092486,False,-1.0309,2.7152,1,1,1,100.0,31.88073394495412,31.88073394495412,17.188755020080322,2.811244979919678,历史1/1次成功; 当前距低点2.81%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
3,84.84535962029562,75.19444869830454,300963,中洲特材,bottom_area,2025-08-13,19.65,2025-08-01,19.01,3.3666491320357546,6.049447659126767,27.93783169067475,False,0.5629,4.675,1,1,1,100.0,20.163487738419626,20.163487738419626,16.633350867964246,3.3666491320357546,历史1/1次成功; 当前距低点3.37%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
4,84.51944256292924,74.0924816021233,600620,天宸股份,bottom_area,2025-08-13,6.31,2025-08-04,6.14,2.76872964169381,4.560260586319222,27.078384798099762,False,-0.4732,1.1982,1,1,1,100.0,29.38271604938273,29.38271604938273,17.23127035830619,2.76872964169381,历史1/1次成功; 当前距低点2.77%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
5,82.59551629346132,69.76837628632427,300069,金利华电,bottom_area,2025-08-13,21.8,2025-08-12,21.64,0.739371534195934,7.208872458410346,29.671758206044846,False,-3.7952,19.8386,1,1,1,100.0,31.312598840274124,31.312598840274124,19.260628465804068,0.739371534195934,历史1/1次成功; 当前距低点0.74%; 最新日涨幅-3.80%; 状态bottom_area; 底部未确认
6,82.31473556445265,74.3846760353576,002987,京北方,bottom_area,2025-08-13,20.73,2025-08-08,19.85,4.433249370277072,5.692695214105789,28.339350180505406,False,0.7778,8.2537,1,1,1,100.0,28.88432580424366,28.88432580424366,15.566750629722929,4.433249370277072,历史1/1次成功; 当前距低点4.43%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
7,81.71581289067348,72.69198079231691,603928,兴业股份,bottom_area,2025-08-13,15.66,2025-08-01,15.12,3.5714285714285774,5.75396825396826,32.16689098250337,False,-0.7605,2.6111,1,1,1,100.0,31.69267707082834,31.69267707082834,16.428571428571423,3.5714285714285774,历史1/1次成功; 当前距低点3.57%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
8,80.95490927678705,71.71703632990753,002287,奇正藏药,bottom_area,2025-08-13,28.74,2025-08-08,27.81,3.3441208198489747,9.492988133764834,27.122641509433958,True,-3.1345,3.88,1,1,1,100.0,24.686192468619257,24.686192468619257,16.655879180151025,3.3441208198489747,历史1/1次成功; 当前距低点3.34%; 最新日涨幅-3.13%; 状态bottom_area; 底部已确认
9,80.67654217430017,71.95524694971363,000999,华润三九,bottom_area,2025-08-13,31.55,2025-07-15,30.42,3.7146614069690957,7.133464825772523,30.036798528058867,True,-0.3789,0.9131,1,1,1,100.0,20.293951384963254,20.293951384963254,16.285338593030907,3.7146614069690957,历史1/1次成功; 当前距低点3.71%; 最新日涨幅-0.38%; 状态bottom_area; 底部已确认
10,79.98716306424382,67.93969512152445,001226,拓山重工,bottom_area,2025-08-13,35.9,2025-08-08,35.53,1.0413734871939135,3.405572755417959,31.699346405228763,False,-1.1019,2.6269,2,4,2,50.0,33.46250899100309,41.451766953199616,18.958626512806088,1.0413734871939135,历史2/4次成功; 当前距低点1.04%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
11,79.62806308420983,70.17331485307817,002658,雪迪龙,bottom_area,2025-08-13,8.09,2025-08-01,7.85,3.057324840764334,3.1847133757961785,31.50087260034905,False,0.3722,3.7379,2,3,2,66.66666666666666,28.265316254592392,34.81481481481481,16.94267515923567,3.057324840764334,历史2/3次成功; 当前距低点3.06%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
12,73.10925551325343,62.74574926040917,001331,胜通能源,bottom_area,2025-08-13,12.0,2025-08-08,11.81,1.6088060965283615,2.4555461473327616,30.242173656231536,False,0.3344,14.7917,1,2,1,50.0,23.35390946502057,23.35390946502057,18.39119390347164,1.6088060965283615,历史1/2次成功; 当前距低点1.61%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
13,69.58236223541489,60.87144810941272,603022,新通联,bottom_area,2025-08-13,10.44,2025-07-24,10.17,2.654867256637164,3.539823008849552,32.33532934131736,False,0.0959,2.6616,1,2,1,50.0,26.099706744868023,26.099706744868023,17.345132743362836,2.654867256637164,历史1/2次成功; 当前距低点2.65%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
14,69.31933118582651,61.83144958680914,605099,共创草坪,bottom_area,2025-08-13,31.23,2025-08-08,30.11,3.719694453669881,4.118233145134513,27.93202489229297,False,1.495,0.9122,1,2,1,50.0,44.31372549019606,44.31372549019606,16.28030554633012,3.719694453669881,历史1/2次成功; 当前距低点3.72%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
15,68.63751529080153,60.99473335340303,300651,金陵体育,bottom_area,2025-08-13,21.5,2025-08-08,20.77,3.514684641309583,4.477611940298506,30.651085141903174,False,2.2349,12.2646,2,5,2,40.0,25.635560944026203,25.720461095100855,16.485315358690418,3.514684641309583,历史2/5次成功; 当前距低点3.51%; 最新日涨幅2.23%; 状态bottom_area; 底部未确认
16,62.199016341923326,54.819472030169706,000558,天府文旅,bottom_area,2025-08-13,5.72,2025-08-12,5.55,3.063063063063062,3.2432432432432545,29.83565107458913,False,2.1429,12.2951,1,5,1,20.0,30.23255813953488,30.23255813953488,16.936936936936938,3.063063063063062,历史1/5次成功; 当前距低点3.06%; 最新日涨幅2.14%; 状态bottom_area; 底部未确认
17,61.11903884817156,55.011179903053154,603121,华培动力,bottom_area,2025-08-13,19.04,2025-08-08,18.27,4.214559386973178,10.016420361247958,27.44241461477363,True,-1.3472,2.8297,1,3,1,33.33333333333333,46.435709526982016,46.435709526982016,15.785440613026825,4.214559386973178,历史1/3次成功; 当前距低点4.21%; 最新日涨幅-1.35%; 状态bottom_area; 底部已确认
