rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.34369082016215,81.81940115451893,300559,佳发教育,bottom_area,2025-11-21,11.52,2025-11-21,11.34,1.5873015873015848,4.409171075837742,27.908455181182457,False,-1.9574,2.8404,3,3,3,100.0,23.109939642830778,29.09783989834816,13.412698412698415,1.5873015873015848,历史3/3次成功; 当前距低点1.59%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
2,90.13954838878882,78.38221599025115,000619,海螺新材,bottom_area,2025-11-21,6.19,2025-11-21,6.19,0.0,6.1389337641357,27.85547785547785,False,-5.4962,7.3768,4,4,4,100.0,30.81836553898465,43.133047210300425,15.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-5.50%; 状态bottom_area; 底部未确认
3,89.95968908214104,78.32945567726479,002636,金安国纪,bottom_area,2025-11-21,14.13,2025-11-21,14.12,0.07082152974505357,5.7365439093484465,27.36625514403293,False,-6.2997,3.4729,3,3,3,100.0,35.811444973567276,69.0,14.929178470254945,0.07082152974505357,历史3/3次成功; 当前距低点0.07%; 最新日涨幅-6.30%; 状态bottom_area; 底部未确认
4,89.63110765374282,78.23086439325463,002160,常铝股份,bottom_area,2025-11-21,5.03,2025-11-21,5.02,0.1992031872510095,6.573705179282871,27.665706051873208,False,-7.024,10.3047,3,3,3,100.0,36.855094947241525,40.066225165562926,14.80079681274899,0.1992031872510095,历史3/3次成功; 当前距低点0.20%; 最新日涨幅-7.02%; 状态bottom_area; 底部未确认
5,86.63954751862993,78.5841694057931,603809,豪能股份,bottom_area,2025-11-21,11.77,2025-11-21,11.51,2.258905299739355,4.257167680278021,32.294117647058826,False,-0.5912,2.3594,2,2,2,100.0,30.615448866660387,31.661442006269603,12.741094700260645,2.258905299739355,历史2/2次成功; 当前距低点2.26%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
6,86.32151416059436,77.0838145421199,002678,珠江钢琴,bottom_area,2025-11-21,4.99,2025-11-03,4.92,1.4227642276422823,7.113821138211375,29.613733905579405,True,-2.1569,1.1153,3,4,3,75.0,23.939338608302766,35.5191256830601,13.577235772357717,1.4227642276422823,历史3/4次成功; 当前距低点1.42%; 最新日涨幅-2.16%; 状态bottom_area; 底部已确认
7,85.95228351217558,74.93016715590836,002664,信质集团,bottom_area,2025-11-21,22.23,2025-11-21,22.2,0.13513513513514025,3.5585585585585546,29.746835443037977,False,-3.3478,2.0489,2,2,2,100.0,34.990727225895085,52.526315789473685,14.86486486486486,0.13513513513514025,历史2/2次成功; 当前距低点0.14%; 最新日涨幅-3.35%; 状态bottom_area; 底部未确认
8,84.21779891257995,73.23286861963474,001309,德明利,bottom_area,2025-11-21,222.71,2025-11-21,222.71,0.0,3.2688249292802305,27.21895424836601,False,-10.0016,8.0203,6,7,6,85.71428571428571,34.08608320848172,64.1432791728213,15.0,0.0,历史6/7次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
9,83.11476896060161,73.05846281436826,688608,恒玄科技,bottom_area,2025-11-21,200.16,2025-11-21,199.01,0.577860409024675,2.7285061052208466,30.899305555555557,False,-1.3018,2.0172,1,1,1,100.0,36.80636853195971,36.80636853195971,14.422139590975325,0.577860409024675,历史1/1次成功; 当前距低点0.58%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
10,83.09822957801005,75.62569105691055,600094,大名城,bottom_area,2025-11-21,4.2,2025-11-21,4.1,2.4390243902439157,4.87804878048781,30.743243243243246,False,0.2387,3.1934,2,3,2,66.66666666666666,51.71595225176342,87.28070175438596,12.560975609756083,2.4390243902439157,历史2/3次成功; 当前距低点2.44%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
11,83.00731535111811,73.45455331412106,688588,凌志软件,bottom_area,2025-11-21,14.01,2025-11-21,13.88,0.9365994236311168,4.178674351585014,30.599999999999994,False,-2.0964,1.8659,1,1,1,100.0,43.33333333333334,43.33333333333334,14.063400576368885,0.9365994236311168,历史1/1次成功; 当前距低点0.94%; 最新日涨幅-2.10%; 状态bottom_area; 底部未确认
