rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.51936920972801,82.96344773567209,600048,保利发展,bottom_area,2025-12-19,6.33,2025-12-17,6.19,2.2617124394184116,2.584814216478178,27.60233918128655,False,1.28,1.1238,2,2,2,100.0,31.721247836269217,31.987577639751546,17.73828756058159,2.2617124394184116,历史2/2次成功; 当前距低点2.26%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
2,84.01394176636734,74.90791925040809,603072,天和磁材,bottom_area,2025-12-19,40.95,2025-12-17,39.49,3.697138516080022,3.950367181564941,27.05947543405984,False,1.6886,2.6284,1,1,1,100.0,22.674167027260935,22.674167027260935,16.30286148391998,3.697138516080022,历史1/1次成功; 当前距低点3.70%; 最新日涨幅1.69%; 状态bottom_area; 底部未确认
3,83.26902547772649,74.68842715770667,003038,鑫铂股份,bottom_area,2025-12-19,15.25,2025-12-17,14.66,4.024556616643928,4.229195088676666,32.098193608151924,False,1.4637,1.2497,1,1,1,100.0,25.507614213197975,25.507614213197975,15.975443383356073,4.024556616643928,历史1/1次成功; 当前距低点4.02%; 最新日涨幅1.46%; 状态bottom_area; 底部未确认
4,83.06959782257772,73.34072600551906,300768,迪普科技,bottom_area,2025-12-19,18.62,2025-12-17,18.05,3.1578947368421066,4.1551246537396125,29.43706020328381,False,0.9214,1.0825,2,3,2,66.66666666666666,46.52720074651822,47.28781110402041,16.842105263157894,3.1578947368421066,历史2/3次成功; 当前距低点3.16%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
5,82.42919252951435,70.09882090279436,002317,众生药业,bottom_area,2025-12-19,19.17,2025-12-19,18.96,1.1075949367088653,1.6877637130801704,30.294117647058815,False,0.2615,4.7911,2,5,2,40.0,45.076007303712714,58.31999999999999,18.892405063291136,1.1075949367088653,历史2/5次成功; 当前距低点1.11%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
6,79.57399252773313,71.33724887861901,603327,福蓉科技,bottom_area,2025-12-19,10.93,2025-12-19,10.51,3.996194100856327,7.4215033301617455,29.651941097724226,False,2.5328,6.5398,4,7,4,57.14285714285714,60.30969475756576,129.39632545931758,16.003805899143675,3.996194100856327,历史4/7次成功; 当前距低点4.00%; 最新日涨幅2.53%; 状态bottom_area; 底部未确认
7,76.57199028269875,67.84976117375825,688337,普源精电,bottom_area,2025-12-19,36.95,2025-12-04,35.75,3.356643356643364,6.545454545454556,28.499999999999996,False,0.599,0.6035,3,6,3,50.0,38.886602295188766,54.46153846153845,16.64335664335664,3.356643356643364,历史3/6次成功; 当前距低点3.36%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
8,76.26033120539479,66.76325778541894,603038,华立股份,bottom_area,2025-12-19,16.0,2025-12-17,15.58,2.69576379974326,5.0064184852374805,29.661399548532724,False,0.9464,0.9655,2,4,2,50.0,24.944081982976137,28.753412192902637,17.30423620025674,2.69576379974326,历史2/4次成功; 当前距低点2.70%; 最新日涨幅0.95%; 状态bottom_area; 底部未确认
9,75.23051181888663,68.30440671246826,000692,惠天热电,bottom_area,2025-12-19,3.57,2025-12-17,3.41,4.6920821114369415,4.985337243401757,28.511530398322844,False,2.2923,3.3327,3,5,3,60.0,36.0341608954005,59.042553191489375,15.307917888563061,4.6920821114369415,历史3/5次成功; 当前距低点4.69%; 最新日涨幅2.29%; 状态bottom_area; 底部未确认
10,73.99794034702701,64.09516013198757,600161,天坛生物,bottom_area,2025-12-19,16.44,2025-12-17,16.1,2.111801242236024,2.484472049689432,27.08333333333332,False,0.8589,0.4002,1,2,1,50.0,36.77455357142857,36.77455357142857,17.888198757763977,2.111801242236024,历史1/2次成功; 当前距低点2.11%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
11,72.00731560588888,64.17030942777704,300598,诚迈科技,bottom_area,2025-12-19,44.92,2025-12-17,43.33,3.669513039464582,4.246480498499892,32.296875,False,1.975,2.1781,2,5,2,40.0,44.60644708471124,45.24950099800398,16.330486960535417,3.669513039464582,历史2/5次成功; 当前距低点3.67%; 最新日涨幅1.98%; 状态bottom_area; 底部未确认
