rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.03559753397319,77.3157306211539,600152,维科技术,bottom_area,2023-03-14,11.36,2023-03-14,11.11,2.25022502250225,4.590459045904589,27.33812949640288,False,-1.645,2.9795,2,2,2,100.0,23.6894821099949,24.87644151565074,17.74977497749775,2.25022502250225,历史2/2次成功; 当前距低点2.25%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
2,87.55824936776573,76.17824738161627,002708,光洋股份,bottom_area,2023-03-14,6.52,2023-03-14,6.37,2.354788069073775,4.866562009419146,31.65236051502146,False,-1.6591,2.3624,1,1,1,100.0,35.522388059701484,35.522388059701484,17.645211930926227,2.354788069073775,历史1/1次成功; 当前距低点2.35%; 最新日涨幅-1.66%; 状态bottom_area; 底部未确认
3,84.95051141083661,74.45539334563132,300707,威唐工业,bottom_area,2023-03-14,15.65,2023-03-14,15.23,2.757715036112934,5.97504924491136,31.6427289048474,False,-2.1875,3.157,3,4,3,75.0,35.36550337617637,59.14285714285715,17.242284963887066,2.757715036112934,历史3/4次成功; 当前距低点2.76%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
4,84.03688597044673,73.27410844676668,300473,德尔股份,bottom_area,2023-03-14,17.81,2023-03-14,17.38,2.4741081703107004,4.718066743383201,29.919354838709683,False,-1.765,3.2503,1,1,1,100.0,21.37137137137137,21.37137137137137,17.5258918296893,2.4741081703107004,历史1/1次成功; 当前距低点2.47%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
5,79.35636382963223,69.09288254181519,300382,斯莱克,bottom_area,2023-03-14,15.82,2023-03-14,15.45,2.3948220064724985,3.754045307443378,29.836512261580385,False,-1.0632,1.2268,2,3,2,66.66666666666666,36.80865618228933,49.70059880239522,17.6051779935275,2.3948220064724985,历史2/3次成功; 当前距低点2.39%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
6,75.24627455803179,66.26289318016093,300745,欣锐科技,bottom_area,2023-03-14,39.61,2023-03-14,38.45,3.0169050715214474,4.7594278283485,29.604540461369456,False,-1.2219,2.2301,2,3,2,66.66666666666666,29.21919396001701,36.150000000000006,16.983094928478554,3.0169050715214474,历史2/3次成功; 当前距低点3.02%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
7,74.77801676986232,63.51457799390181,688221,前沿生物,bottom_area,2023-03-14,13.59,2023-03-14,13.45,1.0408921933085544,2.9739776951672887,27.688172043010763,False,-0.5852,1.8993,2,5,2,40.0,31.332323627125273,34.87394957983194,18.959107806691446,1.0408921933085544,历史2/5次成功; 当前距低点1.04%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
8,74.0528720939918,67.51951754108904,601689,拓普集团,bottom_area,2023-03-14,54.98,2023-03-14,52.4,4.923664122137401,6.660305343511454,29.2942922682499,False,0.1092,1.4348,2,3,2,66.66666666666666,36.87529609083685,47.99107142857144,15.0763358778626,4.923664122137401,历史2/3次成功; 当前距低点4.92%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
9,69.81575358855501,61.02566406628852,300681,英搏尔,bottom_area,2023-03-14,32.63,2023-03-14,31.8,2.610062893081767,6.572327044025157,28.054298642533936,False,-3.1176,4.494,2,4,2,50.0,25.734448723198668,27.487589035182385,17.389937106918236,2.610062893081767,历史2/4次成功; 当前距低点2.61%; 最新日涨幅-3.12%; 状态bottom_area; 底部未确认
10,69.57418760885989,59.423027355623084,002660,茂硕电源,bottom_area,2023-03-14,9.05,2023-03-14,8.93,1.343784994400907,3.5834266517357256,28.15768302493966,False,-2.6882,3.0896,1,2,1,50.0,24.71428571428572,24.71428571428572,18.656215005599094,1.343784994400907,历史1/2次成功; 当前距低点1.34%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
11,63.30429878196964,53.7210538179769,002347,泰尔股份,bottom_area,2023-03-14,5.09,2023-03-14,5.04,0.9920634920634885,3.3730158730158712,28.8135593220339,False,-2.3033,2.6444,1,2,1,50.0,29.585798816568047,29.585798816568047,19.007936507936513,0.9920634920634885,历史1/2次成功; 当前距低点0.99%; 最新日涨幅-2.30%; 状态bottom_area; 底部未确认
12,61.17515836362622,53.77384490711883,000887,中鼎股份,bottom_area,2023-03-14,12.7,2023-03-14,12.34,2.917341977309558,7.374392220421395,27.154663518299888,False,-3.4954,3.1534,1,2,1,50.0,23.84615384615385,23.84615384615385,17.082658022690445,2.917341977309558,历史1/2次成功; 当前距低点2.92%; 最新日涨幅-3.50%; 状态bottom_area; 底部未确认
