rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.63690563710904,86.32302031731464,002685,华东重机,confirmed_rebound,2024-11-06,7.62,2024-11-05,7.51,1.4647137150466087,11.984021304926769,28.408007626310777,True,-5.1059,17.8414,4,4,4,100.0,40.39014832054254,109.52380952380952,6.535286284953392,1.4647137150466087,历史4/4次成功; 当前距低点1.46%; 最新日涨幅-5.11%; 状态confirmed_rebound; 底部已确认
2,88.30397217975852,84.5640392403805,002693,双成药业,confirmed_rebound,2024-11-06,28.49,2024-11-05,28.0,1.7499999999999942,13.571428571428573,31.67398731088335,True,-5.1282,16.7298,5,5,5,100.0,34.4303184966692,102.85714285714285,6.250000000000005,1.7499999999999942,历史5/5次成功; 当前距低点1.75%; 最新日涨幅-5.13%; 状态confirmed_rebound; 底部已确认
3,83.25147728645948,78.20499310339106,600198,大唐电信,bottom_area,2024-11-06,12.1,2024-11-06,12.01,0.7493755203996657,6.32805995004163,28.59690844233056,False,-4.7244,15.1506,4,4,4,100.0,26.793383279044537,43.60189573459716,7.250624479600335,0.7493755203996657,历史4/4次成功; 当前距低点0.75%; 最新日涨幅-4.72%; 状态bottom_area; 底部未确认
4,81.77031860642464,79.82381279704224,002712,思美传媒,bottom_area,2024-11-06,5.61,2024-11-05,5.46,2.747252747252754,7.326007326007332,28.25229960578187,True,-1.9231,11.9819,3,3,3,100.0,17.40617774612109,22.379603399433442,5.252747252747246,2.747252747252754,历史3/3次成功; 当前距低点2.75%; 最新日涨幅-1.92%; 状态bottom_area; 底部已确认
5,67.51185057402562,67.7230726329197,603106,恒银科技,confirmed_rebound,2024-11-06,10.26,2024-11-05,9.85,4.162436548223352,17.360406091370567,30.97407147862649,True,-3.2988,11.9795,3,4,3,75.0,27.625956789617884,34.60144927536232,3.837563451776649,4.162436548223352,历史3/4次成功; 当前距低点4.16%; 最新日涨幅-3.30%; 状态confirmed_rebound; 底部已确认
