rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.97006750584826,80.60170212765956,605005,合兴股份,bottom_area,2025-06-12,19.1,2025-06-12,18.8,1.5957446808510676,2.3404255319148812,29.349868470499807,False,-0.5208,1.9697,1,1,1,100.0,96.96521095484826,96.96521095484826,13.404255319148934,1.5957446808510676,历史1/1次成功; 当前距低点1.60%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
2,89.06938810964003,80.60216237085866,002819,东方中科,bottom_area,2025-06-12,28.22,2025-06-10,27.63,2.1353601158161415,5.501266739051754,32.21295387634936,False,0.1064,2.3251,4,5,4,80.0,27.47733029526597,51.677148846960186,12.864639884183859,2.1353601158161415,历史4/5次成功; 当前距低点2.14%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
3,88.86438116137589,79.07067316319856,002304,洋河股份,bottom_area,2025-06-12,65.8,2025-05-29,65.0,1.2307692307692264,3.538461538461534,31.57894736842105,False,-1.4527,0.3981,2,2,2,100.0,20.62810220081931,20.781426953567394,13.769230769230772,1.2307692307692264,历史2/2次成功; 当前距低点1.23%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
4,87.14640958754678,77.26010765675375,605377,华旺科技,bottom_area,2025-06-12,8.78,2025-06-05,8.69,1.03567318757192,5.178365937859621,28.062913907284777,False,-0.4535,0.7487,1,1,1,100.0,25.16904583020285,25.16904583020285,13.96432681242808,1.03567318757192,历史1/1次成功; 当前距低点1.04%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
5,87.08340388769598,77.21759805547845,688448,磁谷科技,bottom_area,2025-06-12,29.01,2025-06-03,28.71,1.0449320794148405,4.771856495994418,27.113480578827115,False,-0.6507,1.9727,1,1,1,100.0,25.053995680345576,25.053995680345576,13.95506792058516,1.0449320794148405,历史1/1次成功; 当前距低点1.04%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
6,84.95328755622572,76.753877363934,002041,登海种业,bottom_area,2025-06-12,9.96,2025-06-03,9.76,2.0491803278688634,6.249999999999995,28.023598820059004,False,-1.3861,1.014,2,2,2,100.0,18.2043468358871,21.395106715252467,12.950819672131136,2.0491803278688634,历史2/2次成功; 当前距低点2.05%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
7,84.70106378962593,75.22016601909986,688188,柏楚电子,bottom_area,2025-06-12,138.2,2025-06-11,136.66,1.1268842382555189,1.975706132006452,31.8675840063815,False,0.203,0.2264,2,3,2,66.66666666666666,31.735459223955836,34.07281509974057,13.873115761744481,1.1268842382555189,历史2/3次成功; 当前距低点1.13%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
8,83.97544523811439,75.2053771844607,603499,翔港科技,bottom_area,2025-06-12,16.1,2025-06-11,15.85,1.577287066246068,3.3438485804416365,32.207014542343885,False,-0.3713,1.1481,1,1,1,100.0,20.76124567474048,20.76124567474048,13.42271293375393,1.577287066246068,历史1/1次成功; 当前距低点1.58%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
9,83.42863287689617,75.34929487179485,603577,汇金通,bottom_area,2025-06-12,9.55,2025-06-10,9.36,2.029914529914544,3.952991452991464,27.216174183514774,False,-0.209,5.5924,1,1,1,100.0,27.083333333333325,27.083333333333325,12.970085470085454,2.029914529914544,历史1/1次成功; 当前距低点2.03%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
10,82.903308352936,73.13125396078728,000811,冰轮环境,bottom_area,2025-06-12,9.19,2025-06-12,9.12,0.767543859649126,1.8640350877192977,29.247478665632283,False,-0.5411,1.7119,4,5,4,80.0,32.856204090254195,47.451868629671566,14.232456140350875,0.767543859649126,历史4/5次成功; 当前距低点0.77%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
11,80.45344304190695,70.85553268685268,688682,霍莱沃,bottom_area,2025-06-12,28.09,2025-06-10,27.9,0.6810035842293953,5.376344086021505,31.61764705882353,False,-1.9888,1.5449,1,1,1,100.0,26.22699386503069,26.22699386503069,14.318996415770604,0.6810035842293953,历史1/1次成功; 当前距低点0.68%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
