rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.15920088556216,83.93475409836064,301618,长联科技,bottom_area,2025-05-30,62.2,2025-05-30,61.0,1.967213114754103,8.163934426229515,32.177006893484545,False,2.895,18.1227,1,1,1,100.0,50.278688524590166,50.278688524590166,18.032786885245898,1.967213114754103,历史1/1次成功; 当前距低点1.97%; 最新日涨幅2.90%; 状态bottom_area; 底部未确认
2,93.96681653637586,80.92625435381773,002889,东方嘉盛,bottom_area,2025-05-30,14.72,2025-05-30,14.46,1.7980636237897634,3.73443983402489,32.65020959478341,False,0.4093,2.6868,1,1,1,100.0,31.751824817518237,31.751824817518237,18.201936376210238,1.7980636237897634,历史1/1次成功; 当前距低点1.80%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
3,89.47744575384162,74.92768198465183,301316,慧博云通,bottom_area,2025-05-30,41.61,2025-05-30,41.5,0.26506024096385405,8.481927710843381,30.982870447364046,False,-7.5744,19.6913,2,2,2,100.0,36.56999641962048,43.333333333333336,19.734939759036145,0.26506024096385405,历史2/2次成功; 当前距低点0.27%; 最新日涨幅-7.57%; 状态bottom_area; 底部未确认
4,88.79408543263965,78.53181818181818,301058,中粮科工,bottom_area,2025-05-30,10.79,2025-04-30,10.45,3.2535885167464107,8.038277511961722,29.77150537634409,True,-1.2809,1.1011,1,1,1,100.0,57.794273594909875,57.794273594909875,16.74641148325359,3.2535885167464107,历史1/1次成功; 当前距低点3.25%; 最新日涨幅-1.28%; 状态bottom_area; 底部已确认
5,87.70154386106402,73.95185917087204,002042,华孚时尚,bottom_area,2025-05-30,4.69,2025-05-30,4.66,0.64377682403434,3.0042918454935554,28.08641975308642,False,-2.4948,1.6546,1,1,1,100.0,42.41758241758243,42.41758241758243,19.356223175965663,0.64377682403434,历史1/1次成功; 当前距低点0.64%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
6,86.92699160953215,77.31159609674995,688543,国科军工,bottom_area,2025-05-30,45.38,2025-05-29,43.82,3.560018256503885,4.952076677316298,31.133113311331133,False,1.9088,4.7659,1,1,1,100.0,33.916331836445266,33.916331836445266,16.439981743496116,3.560018256503885,历史1/1次成功; 当前距低点3.56%; 最新日涨幅1.91%; 状态bottom_area; 底部未确认
7,85.8218395831666,72.24260130657902,002136,安纳达,bottom_area,2025-05-30,10.97,2025-05-30,10.91,0.5499541704857974,7.699358386801099,27.023411371237454,False,-6.2393,15.9538,1,1,1,100.0,42.29299363057326,42.29299363057326,19.450045829514202,0.5499541704857974,历史1/1次成功; 当前距低点0.55%; 最新日涨幅-6.24%; 状态bottom_area; 底部未确认
8,84.42202065242897,70.93750410612881,002779,中坚科技,bottom_area,2025-05-30,99.9,2025-05-30,99.45,0.45248868778280826,3.5595776772247283,27.03059652212194,False,-3.3382,3.0433,1,1,1,100.0,34.08160384018072,34.08160384018072,19.547511312217193,0.45248868778280826,历史1/1次成功; 当前距低点0.45%; 最新日涨幅-3.34%; 状态bottom_area; 底部未确认
9,84.26164901367056,70.27819180253967,603192,汇得科技,bottom_area,2025-05-30,21.42,2025-05-30,21.41,0.046707146193374884,8.127043437645952,28.60953651217072,False,-9.5057,10.5075,1,1,1,100.0,25.562817719680464,25.562817719680464,19.953292853806627,0.046707146193374884,历史1/1次成功; 当前距低点0.05%; 最新日涨幅-9.51%; 状态bottom_area; 底部未确认
10,82.20902654867257,68.5075221238938,600770,综艺股份,bottom_area,2025-05-30,5.46,2025-05-30,5.46,0.0,6.776556776556779,27.68211920529801,False,-4.878,7.879,1,1,1,100.0,27.72861356932153,27.72861356932153,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-4.88%; 状态bottom_area; 底部未确认
11,64.93678737668539,54.510209061857786,300819,聚杰微纤,bottom_area,2025-05-30,22.7,2025-05-30,22.61,0.39805395842547486,3.272888102609474,27.064516129032263,False,-2.4495,2.3632,1,2,1,50.0,26.54716175842936,26.54716175842936,19.601946041574525,0.39805395842547486,历史1/2次成功; 当前距低点0.40%; 最新日涨幅-2.45%; 状态bottom_area; 底部未确认
