rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.62895958587856,84.83292411507237,002674,兴业科技,bottom_area,2025-10-20,13.7,2025-10-20,13.48,1.6320474777447986,2.8189910979228414,27.52688172043011,False,0.4399,1.6082,2,2,2,100.0,34.05372238887374,36.52849740932641,13.3679525222552,1.6320474777447986,历史2/2次成功; 当前距低点1.63%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
2,90.12278457520658,81.78604401599326,688603,天承科技,bottom_area,2025-10-20,66.2,2025-10-17,64.72,2.2867737948084117,6.242274412855387,27.976852882261294,False,1.5182,3.7905,1,1,1,100.0,42.364990689013034,42.364990689013034,12.713226205191589,2.2867737948084117,历史1/1次成功; 当前距低点2.29%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
3,88.08006605196704,81.61854237288136,688621,阳光诺和,bottom_area,2025-10-20,61.01,2025-10-14,59.0,3.4067796610169463,8.322033898305078,31.355439208842352,True,1.5141,3.0866,1,1,1,100.0,46.0,46.0,11.593220338983054,3.4067796610169463,历史1/1次成功; 当前距低点3.41%; 最新日涨幅1.51%; 状态bottom_area; 底部已确认
4,87.97313056658795,80.16049578046552,300056,中创环保,bottom_area,2025-10-20,10.64,2025-10-15,10.38,2.5048169556840056,8.188824662813097,29.001367989056074,True,0.0,1.8811,1,1,1,100.0,27.10472279260781,27.10472279260781,12.495183044315993,2.5048169556840056,历史1/1次成功; 当前距低点2.50%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
5,87.92162953463699,79.67678804858744,300049,福瑞医科,bottom_area,2025-10-20,66.55,2025-10-13,65.11,2.211641836891411,8.692981108892637,28.19805910895457,True,0.0601,1.804,1,1,1,100.0,20.910384068278802,20.910384068278802,12.788358163108587,2.211641836891411,历史1/1次成功; 当前距低点2.21%; 最新日涨幅0.06%; 状态bottom_area; 底部已确认
6,86.39838563330814,79.3952377996429,600706,曲江文旅,bottom_area,2025-10-20,10.09,2025-10-13,9.8,2.959183673469379,4.59183673469387,31.420573827851634,False,2.4365,4.1021,2,2,2,100.0,21.086970834156286,24.578313253012034,12.04081632653062,2.959183673469379,历史2/2次成功; 当前距低点2.96%; 最新日涨幅2.44%; 状态bottom_area; 底部未确认
7,85.92801433793615,76.55367371330006,603305,旭升集团,bottom_area,2025-10-20,14.83,2025-10-17,14.64,1.29781420765027,5.669398907103825,27.881773399014776,False,0.3383,3.4756,4,6,4,66.66666666666666,24.333459355247438,32.41061130334487,13.70218579234973,1.29781420765027,历史4/6次成功; 当前距低点1.30%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
8,83.68564795525447,77.16054932735427,002269,美邦服饰,bottom_area,2025-10-20,2.3,2025-10-13,2.23,3.1390134529147913,8.520179372197308,30.529595015576323,True,1.3216,4.3653,5,8,5,62.5,53.05273729474794,173.50993377483442,11.86098654708521,3.1390134529147913,历史5/8次成功; 当前距低点3.14%; 最新日涨幅1.32%; 状态bottom_area; 底部已确认
9,83.04150327102536,76.45571404169154,688039,当虹科技,bottom_area,2025-10-20,50.5,2025-10-17,49.0,3.061224489795918,6.448979591836728,30.956742285472732,False,3.0612,3.5749,5,7,5,71.42857142857143,35.1053311436126,79.31638913234006,11.938775510204081,3.061224489795918,历史5/7次成功; 当前距低点3.06%; 最新日涨幅3.06%; 状态bottom_area; 底部未确认
10,79.90660765965664,70.12562705135221,002123,梦网科技,bottom_area,2025-10-20,12.26,2025-10-17,12.2,0.4918032786885287,2.8688524590164053,29.68299711815563,False,0.4918,1.5476,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,14.508196721311469,0.4918032786885287,历史2/3次成功; 当前距低点0.49%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
11,79.64957583917955,75.43019907824048,688662,富信科技,bottom_area,2025-10-20,43.2,2025-10-17,41.31,4.575163398692812,7.21374969740982,28.529411764705877,True,4.3478,2.7262,1,1,1,100.0,27.051460361613344,27.051460361613344,10.424836601307188,4.575163398692812,历史1/1次成功; 当前距低点4.58%; 最新日涨幅4.35%; 状态bottom_area; 底部已确认
12,79.42008903369721,74.71079086776292,301137,哈焊华通,bottom_area,2025-10-20,44.5,2025-10-20,42.7,4.215456674473061,4.777517564402808,27.627118644067792,False,3.5124,7.5088,1,1,1,100.0,27.967914438502678,27.967914438502678,10.784543325526938,4.215456674473061,历史1/1次成功; 当前距低点4.22%; 最新日涨幅3.51%; 状态bottom_area; 底部未确认
13,78.48701964472495,72.6864530427556,688519,南亚新材,confirmed_rebound,2025-10-20,65.85,2025-10-17,63.7,3.3751962323390763,19.466248037676596,28.103837471783287,True,-0.9029,1.9872,1,1,1,100.0,30.27903469079939,30.27903469079939,11.624803767660923,3.3751962323390763,历史1/1次成功; 当前距低点3.38%; 最新日涨幅-0.90%; 状态confirmed_rebound; 底部已确认
14,76.32380985328032,68.28255621207997,300563,神宇股份,bottom_area,2025-10-20,37.35,2025-10-17,36.79,1.5221527589018817,7.039956509921183,28.563106796116504,False,1.5222,3.59,2,4,2,50.0,18.72615323858206,20.477137176938378,13.477847241098118,1.5221527589018817,历史2/4次成功; 当前距低点1.52%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
15,72.70786034155601,66.64451612903228,002491,通鼎互联,bottom_area,2025-10-20,5.1,2025-10-13,4.96,2.822580645161284,8.467741935483868,28.01161103047895,True,1.3917,1.8672,1,2,1,50.0,52.39520958083833,52.39520958083833,12.177419354838715,2.822580645161284,历史1/2次成功; 当前距低点2.82%; 最新日涨幅1.39%; 状态bottom_area; 底部已确认
16,71.77488827552476,67.10348234758855,300757,罗博特科,bottom_area,2025-10-20,215.04,2025-10-17,207.0,3.8840579710144887,7.8164251207729505,31.606423048965844,True,3.2605,3.9158,4,8,4,50.0,32.14588452420206,74.11052233156698,11.115942028985511,3.8840579710144887,历史4/8次成功; 当前距低点3.88%; 最新日涨幅3.26%; 状态bottom_area; 底部已确认
17,70.54553206485592,62.22332970620239,000700,模塑科技,bottom_area,2025-10-20,9.26,2025-10-17,9.19,0.761697497279655,5.114254624591955,30.060882800608834,False,0.5429,1.9255,1,2,1,50.0,52.926829268292686,52.926829268292686,14.238302502720346,0.761697497279655,历史1/2次成功; 当前距低点0.76%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
18,70.38530974574024,62.47417748777715,688081,兴图新科,bottom_area,2025-10-20,27.6,2025-10-17,27.3,1.0989010989011014,8.16849816849817,27.777777777777768,False,0.3636,3.4723,1,2,1,50.0,15.643397813288473,15.643397813288473,13.9010989010989,1.0989010989011014,历史1/2次成功; 当前距低点1.10%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
19,69.09607249091661,61.63013948606151,300459,汤姆猫,bottom_area,2025-10-20,4.47,2025-10-17,4.41,1.360544217687066,4.081632653061218,29.326923076923077,False,1.3605,1.8319,2,6,2,33.33333333333333,17.090575102444532,19.047619047619044,13.639455782312934,1.360544217687066,历史2/6次成功; 当前距低点1.36%; 最新日涨幅1.36%; 状态bottom_area; 底部未确认
