rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.58070813939509,84.26073532579052,300437,清水源,bottom_area,2022-04-26,17.66,2022-04-26,17.35,1.7867435158501366,8.126801152737752,29.643146796431463,False,-1.1198,7.5548,5,5,5,100.0,22.01349753725175,30.330330330330323,8.213256484149865,1.7867435158501366,历史5/5次成功; 当前距低点1.79%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
2,88.91497233201585,82.70400000000002,000537,绿发电力,bottom_area,2022-04-26,10.12,2022-04-26,10.0,1.1999999999999922,8.499999999999996,30.069930069930074,False,-7.0707,1.3892,2,2,2,100.0,161.7870736511604,310.7981220657277,8.800000000000008,1.1999999999999922,历史2/2次成功; 当前距低点1.20%; 最新日涨幅-7.07%; 状态bottom_area; 底部未确认
3,87.02790828525548,81.66240126731506,300534,陇神戎发,bottom_area,2022-04-26,7.96,2022-04-26,7.83,1.6602809706257968,6.257982120051088,28.558394160583944,False,0.7595,7.6014,2,2,2,100.0,17.353988603988597,22.115384615384613,8.339719029374205,1.6602809706257968,历史2/2次成功; 当前距低点1.66%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
4,85.22206624123342,77.47460567384856,603222,济民健康,bottom_area,2022-04-26,13.74,2022-04-26,13.74,0.0,9.097525473071325,31.093279839518562,False,-9.9016,5.15,5,5,5,100.0,25.93874018198151,68.46504559270518,10.0,0.0,历史5/5次成功; 当前距低点0.00%; 最新日涨幅-9.90%; 状态bottom_area; 底部未确认
5,84.86990828888607,78.91444872396966,300562,乐心医疗,bottom_area,2022-04-26,8.56,2022-04-26,8.46,1.1820330969267097,5.555555555555541,28.30508474576271,False,-1.7222,2.1517,2,2,2,100.0,19.19077518797075,20.82239720034996,8.817966903073291,1.1820330969267097,历史2/2次成功; 当前距低点1.18%; 最新日涨幅-1.72%; 状态bottom_area; 底部未确认
6,84.77070649223955,78.6853302331973,002658,雪迪龙,bottom_area,2022-04-26,5.56,2022-04-26,5.5,1.090909090909084,5.4545454545454515,27.631578947368418,False,-1.5929,1.7911,2,2,2,100.0,16.84195140037648,21.715817694369974,8.909090909090917,1.090909090909084,历史2/2次成功; 当前距低点1.09%; 最新日涨幅-1.59%; 状态bottom_area; 底部未确认
7,84.48436355300541,78.68159585844508,002125,湘潭电化,bottom_area,2022-04-26,9.6,2022-04-26,9.48,1.2658227848101182,6.329113924050629,27.188940092165893,False,-2.6369,2.8743,2,2,2,100.0,18.96597746135558,24.223034734917736,8.734177215189883,1.2658227848101182,历史2/2次成功; 当前距低点1.27%; 最新日涨幅-2.64%; 状态bottom_area; 底部未确认
8,84.43470623613308,77.45083957836478,300387,富邦科技,bottom_area,2022-04-26,6.41,2022-04-26,6.38,0.47021943573668107,6.896551724137938,30.425299890948747,False,-3.4639,5.2489,3,3,3,100.0,35.98354780561516,50.883392226148395,9.52978056426332,0.47021943573668107,历史3/3次成功; 当前距低点0.47%; 最新日涨幅-3.46%; 状态bottom_area; 底部未确认
9,84.14689097625721,78.79825242718447,000430,张家界,bottom_area,2022-04-26,5.23,2022-04-26,5.15,1.5533980582524285,9.126213592233004,28.670360110803315,False,-3.1481,6.8575,1,1,1,100.0,53.99999999999999,53.99999999999999,8.446601941747572,1.5533980582524285,历史1/1次成功; 当前距低点1.55%; 最新日涨幅-3.15%; 状态bottom_area; 底部未确认
10,83.99332922310249,77.50457417582417,002408,齐翔腾达,bottom_area,2022-04-26,6.45,2022-04-26,6.4,0.7812499999999972,5.781249999999988,31.256713211600427,False,0.1553,1.2463,2,2,2,100.0,24.063570837764374,37.91208791208789,9.218750000000004,0.7812499999999972,历史2/2次成功; 当前距低点0.78%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
11,83.5110510289865,78.19833941956563,000928,中钢国际,bottom_area,2022-04-26,5.24,2022-04-25,5.16,1.5503875968992262,9.883720930232553,30.081300813008127,False,1.5504,1.5176,1,1,1,100.0,14.049586776859499,14.049586776859499,8.449612403100774,1.5503875968992262,历史1/1次成功; 当前距低点1.55%; 最新日涨幅1.55%; 状态bottom_area; 底部未确认
