rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.71082016080325,76.29529698805675,688258,卓易信息,bottom_area,2023-07-12,60.59,2023-07-12,60.21,0.6311243979405458,3.670486630127887,30.33668864977439,False,-2.3372,1.6353,3,3,3,100.0,21.528282878285978,27.716894977168955,14.368875602059452,0.6311243979405458,历史3/3次成功; 当前距低点0.63%; 最新日涨幅-2.34%; 状态bottom_area; 底部未确认
2,86.70213798194634,76.87138588935358,002825,纳尔股份,bottom_area,2023-07-12,8.75,2023-07-07,8.66,1.0392609699769038,2.886836027713626,32.55451713395638,False,-1.2415,0.937,1,1,1,100.0,23.123123123123136,23.123123123123136,13.960739030023095,1.0392609699769038,历史1/1次成功; 当前距低点1.04%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
3,84.83285035899816,76.91029688970036,688236,春立医疗,bottom_area,2023-07-12,24.25,2023-06-28,23.72,2.2344013490725176,7.082630691399662,32.228571428571435,True,-0.98,1.7433,1,1,1,100.0,28.788881535407025,28.788881535407025,12.765598650927481,2.2344013490725176,历史1/1次成功; 当前距低点2.23%; 最新日涨幅-0.98%; 状态bottom_area; 底部已确认
4,83.73708669861983,72.98310296892066,002755,奥赛康,bottom_area,2023-07-12,8.11,2023-07-12,8.1,0.12345679012345416,2.345679012345673,27.41935483870968,False,-2.1713,0.3459,1,1,1,100.0,30.831099195710454,30.831099195710454,14.876543209876544,0.12345679012345416,历史1/1次成功; 当前距低点0.12%; 最新日涨幅-2.17%; 状态bottom_area; 底部未确认
5,82.74115192160926,73.83139623821094,688195,腾景科技,bottom_area,2023-07-12,41.06,2023-07-11,40.5,1.3827160493827217,6.8148148148148096,29.626411815812332,False,-1.2981,8.0143,5,7,5,71.42857142857143,22.893949167146577,38.77410468319559,13.61728395061728,1.3827160493827217,历史5/7次成功; 当前距低点1.38%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
6,79.71209587986046,69.77829430204685,601669,中国电建,bottom_area,2023-07-12,5.63,2023-06-07,5.61,0.35650623885917243,5.882352941176471,29.78723404255319,False,-1.4011,0.763,1,1,1,100.0,16.457680250783696,16.457680250783696,14.643493761140828,0.35650623885917243,历史1/1次成功; 当前距低点0.36%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
7,77.60755957149344,72.12208363374191,600935,华塑股份,bottom_area,2023-07-12,3.78,2023-06-27,3.65,3.5616438356164357,6.575342465753431,28.571428571428577,False,-1.8182,0.3343,1,1,1,100.0,28.50877192982458,28.50877192982458,11.438356164383565,3.5616438356164357,历史1/1次成功; 当前距低点3.56%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
8,73.59939463901148,67.16763173753849,600984,建设机械,bottom_area,2023-07-12,4.36,2023-06-12,4.25,2.5882352941176547,8.23529411764705,32.0,True,-2.8953,0.834,2,3,2,66.66666666666666,19.63516957774231,20.21439509954057,12.411764705882344,2.5882352941176547,历史2/3次成功; 当前距低点2.59%; 最新日涨幅-2.90%; 状态bottom_area; 底部已确认
9,73.17795525857464,68.56851173894067,603222,济民健康,bottom_area,2023-07-12,9.87,2023-07-10,9.49,4.004214963119062,6.111696522655427,27.112135176651304,False,2.5988,3.3245,4,7,4,57.14285714285714,35.21263670043394,68.46504559270518,10.995785036880937,4.004214963119062,历史4/7次成功; 当前距低点4.00%; 最新日涨幅2.60%; 状态bottom_area; 底部未确认
10,71.56899814404527,63.55411774014874,688156,路德科技,bottom_area,2023-07-12,26.1,2023-07-11,25.81,1.123595505617988,3.7969779155366155,28.285634898582945,False,-1.2859,1.031,1,2,1,50.0,44.22535211267606,44.22535211267606,13.876404494382012,1.123595505617988,历史1/2次成功; 当前距低点1.12%; 最新日涨幅-1.29%; 状态bottom_area; 底部未确认
11,68.29960470811442,59.390960615751666,605266,健之佳,bottom_area,2023-07-12,58.45,2023-07-12,58.45,0.0,2.104362703165093,32.9932362719248,False,-1.7647,0.7328,2,4,2,50.0,26.833121590062774,33.154615273148806,15.0,0.0,历史2/4次成功; 当前距低点0.00%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
12,65.45086571384914,60.647859583721676,000792,盐湖股份,bottom_area,2023-07-12,19.13,2023-05-30,18.5,3.4054054054054,7.5675675675675595,29.49695121951219,True,0.0,0.3947,1,2,1,50.0,24.904214559386965,24.904214559386965,11.5945945945946,3.4054054054054,历史1/2次成功; 当前距低点3.41%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
13,60.894677086392996,57.59547340247575,603178,圣龙股份,bottom_area,2023-07-12,12.29,2023-07-11,11.76,4.50680272108843,7.90816326530612,28.11735941320293,True,1.7384,9.1981,1,2,1,50.0,21.994535519125673,21.994535519125673,10.49319727891157,4.50680272108843,历史1/2次成功; 当前距低点4.51%; 最新日涨幅1.74%; 状态bottom_area; 底部已确认
14,57.05809365456514,53.644044037497274,002545,东方铁塔,bottom_area,2023-07-12,7.22,2023-06-26,6.93,4.184704184704185,5.916305916305919,27.58620689655173,False,-0.4138,0.7718,1,2,1,50.0,28.468653648509758,28.468653648509758,10.815295815295814,4.184704184704185,历史1/2次成功; 当前距低点4.18%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
15,55.23859529516484,48.32354190995404,688318,财富趋势,bottom_area,2023-07-12,90.35,2023-07-12,90.06,0.32200755052186547,5.3519875638463175,27.17127607957302,False,-5.1842,2.0181,1,3,1,33.33333333333333,22.012826837691176,22.012826837691176,14.677992449478133,0.32200755052186547,历史1/3次成功; 当前距低点0.32%; 最新日涨幅-5.18%; 状态bottom_area; 底部未确认
