rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.01359484927985,77.3234501806118,601628,中国人寿,bottom_area,2023-12-18,27.8,2023-12-18,27.51,1.0541621228644098,1.7084696474009409,28.2472613458529,False,-0.4298,0.0395,1,1,1,100.0,25.736235595390532,25.736235595390532,18.94583787713559,1.0541621228644098,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
2,88.68151501531317,78.85711017983887,300538,同益股份,bottom_area,2023-12-18,18.67,2023-12-18,18.03,3.5496394897393264,6.378258458125338,31.18320610687022,False,2.1894,8.0226,2,2,2,100.0,25.431657077658826,30.150753768844226,16.450360510260676,3.5496394897393264,历史2/2次成功; 当前距低点3.55%; 最新日涨幅2.19%; 状态bottom_area; 底部未确认
3,86.84141016530182,73.21228817464448,301499,维科精密,bottom_area,2023-12-18,30.2,2023-12-18,30.01,0.633122292569136,2.632455848050647,28.033573141486812,False,-1.3072,5.5246,2,2,2,100.0,21.64412366506522,21.950454687989964,19.366877707430866,0.633122292569136,历史2/2次成功; 当前距低点0.63%; 最新日涨幅-1.31%; 状态bottom_area; 底部未确认
4,83.63175180797928,70.7885803737372,002142,宁波银行,bottom_area,2023-12-18,20.14,2023-12-18,19.97,0.8512769153730683,2.353530295443177,31.327372764786794,False,-1.2261,0.4118,1,1,1,100.0,27.95425667090217,27.95425667090217,19.148723084626933,0.8512769153730683,历史1/1次成功; 当前距低点0.85%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
5,80.49267547052409,67.96342884431711,002137,实益达,bottom_area,2023-12-18,7.03,2023-12-18,6.98,0.7163323782234932,2.8653295128939726,28.04123711340205,False,-2.0891,4.9798,2,3,2,66.66666666666666,55.55040286140998,89.3034825870647,19.283667621776505,0.7163323782234932,历史2/3次成功; 当前距低点0.72%; 最新日涨幅-2.09%; 状态bottom_area; 底部未确认
6,73.37339327426875,62.93567798602945,600328,中盐化工,bottom_area,2023-12-18,7.73,2023-10-26,7.61,1.5768725361366636,8.147174770039422,28.207547169811313,True,-1.6539,0.526,1,2,1,50.0,37.26315789473683,37.26315789473683,18.423127463863338,1.5768725361366636,历史1/2次成功; 当前距低点1.58%; 最新日涨幅-1.65%; 状态bottom_area; 底部已确认
7,65.74909238147512,55.377142535462944,300351,永贵电器,bottom_area,2023-12-18,19.05,2023-12-18,18.94,0.5807814149947171,2.903907074973586,30.110701107011067,False,-1.8041,6.2793,1,2,1,50.0,33.447979363714516,33.447979363714516,19.419218585005286,0.5807814149947171,历史1/2次成功; 当前距低点0.58%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
8,63.51550665242346,53.353347175360945,300347,泰格医药,bottom_area,2023-12-18,53.09,2023-12-18,52.86,0.4351116155883541,2.686341278849795,27.77701871840415,False,-1.3197,1.2622,1,2,1,50.0,20.78172934893761,20.78172934893761,19.564888384411645,0.4351116155883541,历史1/2次成功; 当前距低点0.44%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
9,60.733591675541525,55.33331832102324,605117,德业股份,bottom_area,2023-12-18,58.22,2023-12-13,55.51,4.882003242658982,10.304449648711943,27.532637075718014,True,-0.1543,5.9407,2,7,2,28.57142857142857,51.93428382351709,59.18895599654874,15.117996757341018,4.882003242658982,历史2/7次成功; 当前距低点4.88%; 最新日涨幅-0.15%; 状态bottom_area; 底部已确认
10,57.636575342465754,48.0304794520548,002309,中利集团,bottom_area,2023-12-18,2.63,2023-12-18,2.63,0.0,4.942965779467677,27.548209366391184,False,-5.0542,1.5521,1,4,1,25.0,30.136986301369873,30.136986301369873,20.0,0.0,历史1/4次成功; 当前距低点0.00%; 最新日涨幅-5.05%; 状态bottom_area; 底部未确认
11,56.34779592789381,47.75699480521803,000301,东方盛虹,bottom_area,2023-12-18,8.75,2023-12-18,8.67,0.9227220299884669,1.7301038062283776,29.683698296836987,False,-0.906,0.2106,1,5,1,20.0,28.337639965546952,28.337639965546952,19.077277970011533,0.9227220299884669,历史1/5次成功; 当前距低点0.92%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
