rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.87557516541955,80.55067961165047,600172,黄河旋风,bottom_area,2025-11-05,6.28,2025-11-05,6.18,1.6181229773462869,4.045307443365696,27.20848056537103,False,-1.2579,6.9778,1,1,1,100.0,51.074589127686465,51.074589127686465,13.381877022653713,1.6181229773462869,历史1/1次成功; 当前距低点1.62%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
2,87.74184569387589,79.94130062713924,688205,德科立,bottom_area,2025-11-05,90.23,2025-11-05,88.03,2.4991480177212346,5.021015562876294,28.43089430894309,False,-1.8599,3.4903,3,3,3,100.0,24.19009735238528,35.44761904761904,12.500851982278766,2.4991480177212346,历史3/3次成功; 当前距低点2.50%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
3,85.3445424749015,76.44577632461436,301117,佳缘科技,bottom_area,2025-11-05,32.0,2025-11-05,31.5,1.5873015873015872,2.825396825396827,29.213483146067414,False,-1.1125,4.6678,1,1,1,100.0,27.552816901408463,27.552816901408463,13.412698412698413,1.5873015873015872,历史1/1次成功; 当前距低点1.59%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
4,84.04018815910361,76.77332673724189,002678,珠江钢琴,bottom_area,2025-11-05,5.05,2025-11-03,4.92,2.6422764227642253,4.065040650406507,29.613733905579405,False,0.3976,1.8879,3,4,3,75.0,23.939338608302766,35.5191256830601,12.357723577235774,2.6422764227642253,历史3/4次成功; 当前距低点2.64%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
5,83.16080026690499,77.39519553826372,603173,福斯达,bottom_area,2025-11-05,40.15,2025-11-05,38.74,3.6396489416623554,4.775425916365517,29.422481326288942,False,2.3712,7.4465,1,1,1,100.0,35.34190927555856,35.34190927555856,11.360351058337645,3.6396489416623554,历史1/1次成功; 当前距低点3.64%; 最新日涨幅2.37%; 状态bottom_area; 底部未确认
6,81.64349227236757,75.82720126615669,002716,湖南白银,bottom_area,2025-11-05,6.16,2025-11-05,5.95,3.529411764705882,4.033613445378155,28.053204353083427,False,0.4894,3.5586,1,1,1,100.0,25.560538116591918,25.560538116591918,11.470588235294118,3.529411764705882,历史1/1次成功; 当前距低点3.53%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
7,77.22172325395343,73.35064843666393,002790,瑞尔特,bottom_area,2025-11-05,9.73,2025-11-05,9.29,4.736275565123804,6.996770721205602,29.72768532526476,False,-1.3185,17.7097,1,1,1,100.0,49.512670565302145,49.512670565302145,10.263724434876195,4.736275565123804,历史1/1次成功; 当前距低点4.74%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
8,73.50834010381139,67.61406227258146,002123,梦网科技,bottom_area,2025-11-05,12.32,2025-10-31,11.96,3.0100334448160484,4.682274247491628,31.066282420749282,False,-0.4042,1.4075,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,11.989966555183951,3.0100334448160484,历史2/3次成功; 当前距低点3.01%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
9,66.32042863325054,62.30486384806873,300563,神宇股份,bottom_area,2025-11-05,38.2,2025-10-23,36.68,4.143947655398046,6.27044711014176,28.776699029126213,False,0.2362,2.7464,2,4,2,50.0,18.72615323858206,20.477137176938378,10.856052344601954,4.143947655398046,历史2/4次成功; 当前距低点4.14%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
10,65.15006707948879,58.400500982348525,603192,汇得科技,bottom_area,2025-11-05,26.23,2025-11-05,25.81,1.6272762495156985,3.370786516853937,32.7339066979411,False,-6.2545,12.4215,2,5,2,40.0,21.240273286259704,25.562817719680464,13.3727237504843,1.6272762495156985,历史2/5次成功; 当前距低点1.63%; 最新日涨幅-6.25%; 状态bottom_area; 底部未确认
11,60.82048903165625,57.219110178021936,601669,中国电建,bottom_area,2025-11-05,5.68,2025-09-29,5.45,4.220183486238524,9.174311926605503,30.484693877551017,True,1.2478,1.2811,1,2,1,50.0,16.457680250783696,16.457680250783696,10.779816513761475,4.220183486238524,历史1/2次成功; 当前距低点4.22%; 最新日涨幅1.25%; 状态bottom_area; 底部已确认
