rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.63781611868005,83.20992377118657,600421,退市华嵘,bottom_area,2025-03-17,6.62,2025-03-14,6.42,3.1152647975077907,6.386292834890968,30.065359477124183,False,0.761,3.491,3,3,3,100.0,26.842621018840468,44.900662251655625,4.88473520249221,3.1152647975077907,历史3/3次成功; 当前距低点3.12%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
2,76.84262476651479,75.17804278986031,002760,凤形股份,confirmed_rebound,2025-03-17,21.57,2025-03-14,20.97,2.861230329041495,8.822126847877929,28.30769230769231,False,0.0464,11.1399,1,1,1,100.0,24.094881398252184,24.094881398252184,5.138769670958506,2.861230329041495,历史1/1次成功; 当前距低点2.86%; 最新日涨幅0.05%; 状态confirmed_rebound; 底部未确认
3,73.50288882274705,74.00630153638002,603048,浙江黎明,bottom_area,2025-03-17,19.17,2025-03-14,18.37,4.354926510615137,5.87915078933042,27.391304347826086,False,0.8947,4.42,1,1,1,100.0,25.889967637540458,25.889967637540458,3.6450734893848633,4.354926510615137,历史1/1次成功; 当前距低点4.35%; 最新日涨幅0.89%; 状态bottom_area; 底部未确认
