rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.71076923076924,79.70923076923077,000985,大庆华科,bottom_area,2024-02-01,13.15,2024-02-01,13.0,1.1538461538461564,9.230769230769226,28.88402625820569,False,-8.7439,4.5038,1,1,1,100.0,56.687898089171995,56.687898089171995,13.846153846153845,1.1538461538461564,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-8.74%; 状态bottom_area; 底部未确认
2,86.65058950318605,75.77171034854186,300461,田中精机,bottom_area,2024-02-01,16.73,2024-02-01,16.68,0.299760191846527,4.376498800959236,27.097902097902093,False,-2.7326,4.0829,2,2,2,100.0,31.318083795440543,39.80283425754775,14.700239808153473,0.299760191846527,历史2/2次成功; 当前距低点0.30%; 最新日涨幅-2.73%; 状态bottom_area; 底部未确认
3,86.22697232386002,78.11502719234706,600366,宁波韵升,bottom_area,2024-02-01,5.59,2024-02-01,5.47,2.193784277879344,3.8391224862888476,30.318471337579616,False,0.1792,1.0998,1,1,1,100.0,21.488469601677156,21.488469601677156,12.806215722120657,2.193784277879344,历史1/1次成功; 当前距低点2.19%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
4,86.04562107146977,76.4495360442798,603079,圣达生物,bottom_area,2024-02-01,10.54,2024-02-01,10.42,1.151631477927056,5.470249520153554,28.08833678398896,False,-1.4032,1.8219,1,1,1,100.0,22.232558139534888,22.232558139534888,13.848368522072944,1.151631477927056,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
5,85.85681424575614,76.22059241908848,002304,洋河股份,bottom_area,2024-02-01,91.2,2024-01-31,90.2,1.1086474501108647,3.037694013303764,29.3546365914787,False,-0.1205,0.3267,1,1,1,100.0,20.474777448071226,20.474777448071226,13.891352549889135,1.1086474501108647,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-0.12%; 状态bottom_area; 底部未确认
6,85.0048297072614,76.18024753474202,688029,南微医学,bottom_area,2024-02-01,68.6,2024-02-01,67.51,1.6145756184268838,10.354021626425707,30.97137014314928,False,-6.8441,2.2324,2,2,2,100.0,20.007956692232852,23.296670482257504,13.385424381573117,1.6145756184268838,历史2/2次成功; 当前距低点1.61%; 最新日涨幅-6.84%; 状态bottom_area; 底部未确认
7,84.7365905503325,76.54615225865626,603198,迎驾贡酒,bottom_area,2024-02-01,50.0,2024-02-01,49.0,2.0408163265306123,4.061224489795922,27.41816027255222,False,-0.5173,0.5773,1,1,1,100.0,33.65168539325842,33.65168539325842,12.959183673469388,2.0408163265306123,历史1/1次成功; 当前距低点2.04%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
8,84.1774204725947,75.25634602661472,605598,上海港湾,bottom_area,2024-02-01,17.77,2024-02-01,17.51,1.4848657909765732,5.596801827527109,27.704376548307174,False,-2.7367,7.1172,1,1,1,100.0,19.902365752910256,19.902365752910256,13.515134209023428,1.4848657909765732,历史1/1次成功; 当前距低点1.48%; 最新日涨幅-2.74%; 状态bottom_area; 底部未确认
9,84.08846141815579,78.60582805631321,688017,绿的谐波,bottom_area,2024-02-01,110.11,2024-01-30,106.0,3.877358490566037,9.999999999999995,31.3915857605178,True,2.466,1.6792,2,2,2,100.0,18.90433018711707,22.08643815201191,11.122641509433961,3.877358490566037,历史2/2次成功; 当前距低点3.88%; 最新日涨幅2.47%; 状态bottom_area; 底部已确认
10,83.2502464171464,76.80338832125007,601689,拓普集团,bottom_area,2024-02-01,49.47,2024-02-01,47.95,3.1699687174139646,6.9864442127215725,27.216150576806303,False,1.4977,1.3917,3,4,3,75.0,30.569446220182318,47.99107142857144,11.830031282586035,3.1699687174139646,历史3/4次成功; 当前距低点3.17%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
11,82.9936708911412,74.95158579991539,603324,盛剑科技,bottom_area,2024-02-01,23.16,2024-02-01,22.7,2.0264317180616778,6.696035242290748,28.09629394995249,False,-1.0256,5.3856,1,1,1,100.0,24.90241998438719,24.90241998438719,12.973568281938322,2.0264317180616778,历史1/1次成功; 当前距低点2.03%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
