rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.9838388169748,82.28046511627906,603013,亚普股份,bottom_area,2024-01-11,16.78,2024-01-10,16.34,2.6927784577723455,2.8763769889840813,28.175824175824175,False,1.5124,0.4017,1,1,1,100.0,53.30739299610896,53.30739299610896,12.307221542227653,2.6927784577723455,历史1/1次成功; 当前距低点2.69%; 最新日涨幅1.51%; 状态bottom_area; 底部未确认
2,89.36272820494821,81.99316906770447,000070,特发信息,bottom_area,2024-01-11,7.51,2024-01-10,7.3,2.876712328767123,3.1506849315068552,29.604628736740597,False,2.5956,1.0429,2,2,2,100.0,34.04340417899739,50.60532687651331,12.123287671232877,2.876712328767123,历史2/2次成功; 当前距低点2.88%; 最新日涨幅2.60%; 状态bottom_area; 底部未确认
3,86.2580041540489,78.05785020404237,600981,苏豪汇鸿,bottom_area,2024-01-11,2.87,2024-01-10,2.81,2.1352313167259807,2.8469750889679744,27.948717948717945,False,1.4134,1.2524,1,1,1,100.0,20.463320463320475,20.463320463320475,12.864768683274018,2.1352313167259807,历史1/1次成功; 当前距低点2.14%; 最新日涨幅1.41%; 状态bottom_area; 底部未确认
4,85.45569793787897,77.6110241258862,300745,欣锐科技,bottom_area,2024-01-11,24.61,2024-01-10,24.05,2.3284823284823233,3.783783783783784,27.777777777777768,False,1.1924,2.3071,3,4,3,75.0,24.596579757128456,36.150000000000006,12.671517671517677,2.3284823284823233,历史3/4次成功; 当前距低点2.33%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
5,85.16071622883555,78.05888798832876,002413,雷科防务,bottom_area,2024-01-11,5.1,2024-01-10,4.96,2.822580645161284,3.2258064516129057,27.906976744186046,False,2.0,1.1834,1,1,1,100.0,28.894472361809044,28.894472361809044,12.177419354838715,2.822580645161284,历史1/1次成功; 当前距低点2.82%; 最新日涨幅2.00%; 状态bottom_area; 底部未确认
6,84.45220574823375,79.19456647398843,600172,黄河旋风,bottom_area,2024-01-11,3.6,2024-01-08,3.46,4.046242774566478,4.624277456647403,29.098360655737704,False,2.8571,1.6513,1,1,1,100.0,51.074589127686465,51.074589127686465,10.953757225433522,4.046242774566478,历史1/1次成功; 当前距低点4.05%; 最新日涨幅2.86%; 状态bottom_area; 底部未确认
7,84.21411626106023,77.0756995989184,600006,东风股份,bottom_area,2024-01-11,5.62,2024-01-10,5.47,2.742230347349184,2.925045703839125,27.645502645502646,False,1.8116,0.5721,1,1,1,100.0,22.6235741444867,22.6235741444867,12.257769652650815,2.742230347349184,历史1/1次成功; 当前距低点2.74%; 最新日涨幅1.81%; 状态bottom_area; 底部未确认
8,83.5631596090587,76.3778978331378,603186,华正新材,bottom_area,2024-01-11,31.14,2024-01-10,30.33,2.670623145400601,3.461918892185957,30.911161731207294,False,1.798,1.221,1,1,1,100.0,17.994186046511643,17.994186046511643,12.3293768545994,2.670623145400601,历史1/1次成功; 当前距低点2.67%; 最新日涨幅1.80%; 状态bottom_area; 底部未确认
9,83.49051790218202,76.72064418298339,002385,大北农,bottom_area,2024-01-11,5.57,2024-01-09,5.41,2.957486136783736,3.3271719038816956,27.38255033557047,False,1.0889,0.986,1,1,1,100.0,23.353293413173663,23.353293413173663,12.042513863216262,2.957486136783736,历史1/1次成功; 当前距低点2.96%; 最新日涨幅1.09%; 状态bottom_area; 底部未确认
10,83.39308959556149,76.72644721521773,002355,兴民智通,bottom_area,2024-01-11,5.11,2024-01-10,4.96,3.0241935483871036,3.2258064516129057,28.427128427128423,False,2.2,2.6196,4,5,4,80.0,17.535529599679155,21.138211382113823,11.975806451612895,3.0241935483871036,历史4/5次成功; 当前距低点3.02%; 最新日涨幅2.20%; 状态bottom_area; 底部未确认
11,81.26566640576499,74.90100862641012,001366,播恩集团,bottom_area,2024-01-11,15.54,2024-01-11,15.07,3.1187790311877825,3.384207033842069,27.478344562078927,False,1.7682,9.5982,1,1,1,100.0,15.547445255474459,15.547445255474459,11.881220968812217,3.1187790311877825,历史1/1次成功; 当前距低点3.12%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
