rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.75997923803591,83.25177514792898,600052,东望时代,bottom_area,2024-04-22,3.42,2024-04-16,3.38,1.1834319526627228,9.467455621301783,27.311827956989255,True,-2.8409,0.4744,1,1,1,100.0,56.0655737704918,56.0655737704918,18.816568047337277,1.1834319526627228,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-2.84%; 状态bottom_area; 底部已确认
2,95.09428329053256,83.04381371545549,300725,药石科技,bottom_area,2024-04-22,30.06,2024-04-16,29.31,2.5588536335721597,9.757761856021846,27.053260328521656,True,0.2668,1.8106,1,1,1,100.0,43.26881720430109,43.26881720430109,17.44114636642784,2.5588536335721597,历史1/1次成功; 当前距低点2.56%; 最新日涨幅0.27%; 状态bottom_area; 底部已确认
3,91.5990902403691,81.22779097719139,603122,合富中国,bottom_area,2024-04-22,5.78,2024-04-16,5.59,3.3989266547406154,8.586762075134176,29.150823827629914,True,-0.8576,2.0396,2,2,2,100.0,49.609375,72.1590909090909,16.601073345259387,3.3989266547406154,历史2/2次成功; 当前距低点3.40%; 最新日涨幅-0.86%; 状态bottom_area; 底部已确认
4,87.27143212136956,75.60706462603024,301520,万邦医药,bottom_area,2024-04-22,41.86,2024-04-16,40.99,2.1224688948523966,10.026835813613074,27.80908770693906,False,-1.5985,6.8516,1,1,1,100.0,29.60372960372961,29.60372960372961,17.877531105147604,2.1224688948523966,历史1/1次成功; 当前距低点2.12%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
5,87.18,72.65,000628,高新发展,bottom_area,2024-04-22,40.42,2024-04-22,40.42,0.0,0.0,27.092352092352083,False,-9.9978,0.9841,1,1,1,100.0,99.77973568281939,99.77973568281939,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
6,86.02584870678687,75.86361289273114,688114,华大智造,bottom_area,2024-04-22,52.63,2024-04-22,51.05,3.095004897159658,6.738491674828609,31.412065027542667,False,1.5631,0.8538,1,1,1,100.0,20.431312141156706,20.431312141156706,16.904995102840342,3.095004897159658,历史1/1次成功; 当前距低点3.10%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
7,83.61106598984772,69.6758883248731,002200,交投生态,bottom_area,2024-04-22,5.28,2024-04-22,5.28,0.0,1.7045454545454517,31.69469598965071,False,-5.036,0.6033,1,1,1,100.0,34.01015228426395,34.01015228426395,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-5.04%; 状态bottom_area; 底部未确认
8,82.9749075407942,74.89885688533231,603230,内蒙新华,bottom_area,2024-04-22,12.65,2024-04-16,12.12,4.3729372937293824,7.013201320132026,27.207207207207208,True,-1.7857,4.4328,2,2,2,100.0,27.522332876533863,31.521142229544196,15.62706270627062,4.3729372937293824,历史2/2次成功; 当前距低点4.37%; 最新日涨幅-1.79%; 状态bottom_area; 底部已确认
9,76.45469712674655,65.48426966292135,002685,华东重机,bottom_area,2024-04-22,2.71,2024-04-16,2.67,1.4981273408239715,7.490636704119858,28.22580645161291,True,-2.8674,1.9039,1,2,1,50.0,109.52380952380952,109.52380952380952,18.50187265917603,1.4981273408239715,历史1/2次成功; 当前距低点1.50%; 最新日涨幅-2.87%; 状态bottom_area; 底部已确认
10,74.91547218360652,64.03290030211478,002432,九安医疗,bottom_area,2024-04-22,40.27,2024-04-17,39.72,1.3846928499496582,3.57502517623364,27.75554747180793,False,-0.6905,1.2713,1,2,1,50.0,65.03496503496503,65.03496503496503,18.61530715005034,1.3846928499496582,历史1/2次成功; 当前距低点1.38%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
11,74.01083845306852,65.79827513727227,301367,瑞迈特,bottom_area,2024-04-22,74.03,2024-04-19,71.5,3.53846153846154,4.657342657342655,29.888213375171606,False,2.8194,2.0247,2,4,2,50.0,30.0858464783042,32.411969715178486,16.46153846153846,3.53846153846154,历史2/4次成功; 当前距低点3.54%; 最新日涨幅2.82%; 状态bottom_area; 底部未确认
12,70.75238964879325,64.49450680982056,603212,赛伍技术,bottom_area,2024-04-22,11.11,2024-04-16,10.59,4.910292728989609,9.159584513692169,28.734858681022878,True,0.543,2.092,2,4,2,50.0,30.698786193101522,32.01038575667657,15.089707271010392,4.910292728989609,历史2/4次成功; 当前距低点4.91%; 最新日涨幅0.54%; 状态bottom_area; 底部已确认
13,67.70480603659912,59.88786381263422,002256,兆新股份,bottom_area,2024-04-22,1.9,2024-04-16,1.84,3.2608695652173822,8.152173913043473,30.82706766917293,True,-1.0417,0.9933,2,5,2,40.0,29.85293774908523,31.775700934579426,16.739130434782616,3.2608695652173822,历史2/5次成功; 当前距低点3.26%; 最新日涨幅-1.04%; 状态bottom_area; 底部已确认
14,65.31066666666668,54.42555555555556,000889,中嘉博创,bottom_area,2024-04-22,1.21,2024-04-22,1.21,0.0,0.0,32.40223463687151,False,-4.7244,0.3014,2,5,2,40.0,32.019115890083626,34.408602150537625,20.0,0.0,历史2/5次成功; 当前距低点0.00%; 最新日涨幅-4.72%; 状态bottom_area; 底部未确认
15,64.39196613341123,56.55713894435499,002022,科华生物,bottom_area,2024-04-22,6.8,2024-04-22,6.61,2.874432677760961,3.630862329803318,27.362637362637354,False,0.4431,1.0912,1,3,1,33.33333333333333,25.04038772213247,25.04038772213247,17.12556732223904,2.874432677760961,历史1/3次成功; 当前距低点2.87%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
16,63.797021139194904,55.44679953289382,000856,冀东装备,bottom_area,2024-04-22,6.68,2024-04-22,6.53,2.297090352220512,4.5941807044410385,30.45793397231097,False,-3.1884,5.1637,1,2,1,50.0,25.237449118046136,25.237449118046136,17.70290964777949,2.297090352220512,历史1/2次成功; 当前距低点2.30%; 最新日涨幅-3.19%; 状态bottom_area; 底部未确认
17,63.132663684648655,56.650228503338184,688277,天智航,bottom_area,2024-04-22,7.97,2024-04-16,7.66,4.046997389033937,6.788511749347252,29.981718464351005,False,2.7062,0.8324,1,2,1,50.0,20.469798657718112,20.469798657718112,15.953002610966063,4.046997389033937,历史1/2次成功; 当前距低点4.05%; 最新日涨幅2.71%; 状态bottom_area; 底部未确认
18,61.09740458015267,50.914503816793896,002742,三圣股份,bottom_area,2024-04-22,2.32,2024-04-22,2.32,0.0,0.0,32.163742690058484,False,-4.918,0.4541,1,2,1,50.0,24.809160305343507,24.809160305343507,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-4.92%; 状态bottom_area; 底部未确认
19,60.052639978811555,50.482498149518875,002459,晶澳科技,bottom_area,2024-04-22,14.77,2024-04-22,14.7,0.47619047619047816,3.4013605442176873,28.222656250000007,False,-0.0677,1.3514,1,4,1,25.0,26.683937823834192,26.683937823834192,19.523809523809526,0.47619047619047816,历史1/4次成功; 当前距低点0.48%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
20,59.86880952380951,54.42619047619047,002551,尚荣医疗,bottom_area,2024-04-22,2.64,2024-04-16,2.52,4.761904761904765,10.714285714285715,32.075471698113205,True,-0.3774,1.5513,1,3,1,33.33333333333333,52.61780104712043,52.61780104712043,15.238095238095237,4.761904761904765,历史1/3次成功; 当前距低点4.76%; 最新日涨幅-0.38%; 状态bottom_area; 底部已确认
21,57.035828156820216,51.967808028022034,002410,广联达,bottom_area,2024-04-22,10.09,2024-04-16,9.62,4.885654885654893,8.939708939708952,32.301196340605216,True,-0.2964,2.0148,1,4,1,25.0,39.688715953307394,39.688715953307394,15.114345114345106,4.885654885654893,历史1/4次成功; 当前距低点4.89%; 最新日涨幅-0.30%; 状态bottom_area; 底部已确认
22,54.38850973464044,45.64406735680956,300769,德方纳米,bottom_area,2024-04-22,31.35,2024-04-22,31.23,0.384245917387131,4.482869036183164,27.355198883461274,False,-3.2706,3.9921,1,5,1,20.0,20.592193808882907,20.592193808882907,19.61575408261287,0.384245917387131,历史1/5次成功; 当前距低点0.38%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
