rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.77286573392847,89.4163402825673,601015,陕西黑猫,bottom_area,2022-08-04,5.32,2022-08-04,5.24,1.5267175572519098,2.2900763358778646,28.021978021978022,False,0.0,0.655,4,4,4,100.0,24.0712705005465,65.6514382402707,6.473282442748091,1.5267175572519098,历史4/4次成功; 当前距低点1.53%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,87.02768943762469,84.40126435557124,002761,浙江建投,bottom_area,2022-08-04,24.68,2022-08-04,24.1,2.4066390041493704,2.4896265560165887,32.24627495080124,False,1.522,2.7243,3,3,3,100.0,24.561297231353766,43.73730534867976,5.59336099585063,2.4066390041493704,历史3/3次成功; 当前距低点2.41%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
3,86.56084908868353,83.0573394954221,002339,积成电子,bottom_area,2022-08-04,7.7,2022-08-04,7.56,1.8518518518518594,7.142857142857144,28.000000000000004,False,-5.5215,17.1115,3,3,3,100.0,43.22345009486203,82.94930875576038,6.148148148148141,1.8518518518518594,历史3/3次成功; 当前距低点1.85%; 最新日涨幅-5.52%; 状态bottom_area; 底部未确认
4,84.70797229437227,80.41896103896103,002110,三钢闽光,bottom_area,2022-08-04,5.46,2022-08-03,5.39,1.298701298701304,2.968460111317257,27.456258411843876,False,0.9242,0.2801,1,1,1,100.0,22.90322580645161,22.90322580645161,6.701298701298697,1.298701298701304,历史1/1次成功; 当前距低点1.30%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
5,82.3720171260825,79.5232548633665,002157,正邦科技,bottom_area,2022-08-04,5.65,2022-08-02,5.53,2.1699819168173615,6.329113924050627,28.737113402061848,False,1.0733,1.1876,2,2,2,100.0,12.101148568333835,13.751169317118809,5.8300180831826385,2.1699819168173615,历史2/2次成功; 当前距低点2.17%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
6,82.01242475225548,78.25330612244896,002043,兔宝宝,bottom_area,2022-08-04,8.46,2022-08-04,8.33,1.5606242496998892,3.0012004801920766,30.2928870292887,False,0.7143,1.5853,1,1,1,100.0,14.470588235294123,14.470588235294123,6.439375750300111,1.5606242496998892,历史1/1次成功; 当前距低点1.56%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
7,81.97769653645614,78.96525928098825,000715,中兴商业,bottom_area,2022-08-04,4.97,2022-08-03,4.87,2.0533880903490687,4.928131416837787,27.421758569299552,False,1.222,1.5852,1,1,1,100.0,24.33862433862435,24.33862433862435,5.946611909650931,2.0533880903490687,历史1/1次成功; 当前距低点2.05%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
8,78.79502081217285,76.51305257740803,600248,陕建股份,bottom_area,2022-08-04,4.56,2022-08-03,4.45,2.471910112359538,4.044943820224713,28.2258064516129,False,1.559,1.1654,1,1,1,100.0,16.28498727735369,16.28498727735369,5.528089887640462,2.471910112359538,历史1/1次成功; 当前距低点2.47%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
9,78.77501992751347,75.9176705354658,601828,美凯龙,bottom_area,2022-08-04,4.91,2022-08-03,4.81,2.07900207900209,3.534303534303552,27.010622154779973,False,2.079,0.4632,1,1,1,100.0,8.267716535433069,8.267716535433069,5.92099792099791,2.07900207900209,历史1/1次成功; 当前距低点2.08%; 最新日涨幅2.08%; 状态bottom_area; 底部未确认
10,78.73443821683748,75.53118784093289,000421,南京公用,bottom_area,2022-08-04,4.98,2022-08-04,4.89,1.8404907975460276,3.8854805725971455,27.982326951399124,False,-0.2004,3.9586,2,2,2,100.0,9.072617523321748,9.090909090909086,6.159509202453972,1.8404907975460276,历史2/2次成功; 当前距低点1.84%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
11,77.33623991541889,76.83309659929188,688185,康希诺,bottom_area,2022-08-04,154.05,2022-08-02,148.61,3.660588116546664,6.76266738442903,31.827148034313495,False,0.6468,1.4623,2,2,2,100.0,15.909879059238028,19.236097367900253,4.339411883453336,3.660588116546664,历史2/2次成功; 当前距低点3.66%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
