rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.51059387072947,81.01066644701304,300707,威唐工业,bottom_area,2023-12-20,16.98,2023-12-20,16.92,0.3546099290780066,3.5460992907801288,27.006039689387396,False,-2.3577,4.6475,5,5,5,100.0,26.823532716725207,59.14285714285715,9.645390070921994,0.3546099290780066,历史5/5次成功; 当前距低点0.35%; 最新日涨幅-2.36%; 状态bottom_area; 底部未确认
2,88.02645535620672,80.90243958602501,300480,光力科技,bottom_area,2023-12-20,21.1,2023-12-20,20.98,0.5719733079123022,2.049571020019064,27.076816127911012,False,-1.1246,1.168,4,4,4,100.0,28.906122193898153,39.69465648854962,9.428026692087698,0.5719733079123022,历史4/4次成功; 当前距低点0.57%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
3,87.67755113978174,79.88296610946975,000301,东方盛虹,bottom_area,2023-12-20,8.66,2023-12-20,8.65,0.11560693641618251,1.849710982658961,29.845904298459043,False,-0.8018,0.2363,5,5,5,100.0,17.830913572573255,28.337639965546952,9.884393063583818,0.11560693641618251,历史5/5次成功; 当前距低点0.12%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
4,83.20553609562457,79.81896136411824,301499,维科精密,bottom_area,2023-12-20,30.64,2023-12-19,29.8,2.8187919463087243,3.7583892617449695,28.537170263788976,False,1.3228,7.8416,2,2,2,100.0,21.64412366506522,21.950454687989964,7.181208053691276,2.8187919463087243,历史2/2次成功; 当前距低点2.82%; 最新日涨幅1.32%; 状态bottom_area; 底部未确认
5,82.30179344220768,77.33940179142674,601933,永辉超市,bottom_area,2023-12-20,2.93,2023-12-20,2.88,1.7361111111111205,1.7361111111111205,27.819548872180455,False,0.0,0.3578,1,1,1,100.0,11.70825335892515,11.70825335892515,8.26388888888888,1.7361111111111205,历史1/1次成功; 当前距低点1.74%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,81.31888249388774,73.92625681262521,002706,良信股份,bottom_area,2023-12-20,8.3,2023-12-20,8.3,0.0,2.65060240963854,28.448275862068957,False,-2.2379,0.6672,3,3,3,100.0,13.31320867002797,14.727153188691638,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-2.24%; 状态bottom_area; 底部未确认
7,80.4240792356271,73.19094705212055,002459,晶澳科技,bottom_area,2023-12-20,17.88,2023-12-20,17.87,0.05595970900950201,2.5181869054280877,28.348035284683238,False,-1.27,0.7613,2,2,2,100.0,14.454490261624771,15.855457227138645,9.944040290990499,0.05595970900950201,历史2/2次成功; 当前距低点0.06%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
8,79.7973489163206,72.61352022501973,002142,宁波银行,bottom_area,2023-12-20,19.67,2023-12-20,19.66,0.05086469989827855,1.678535096642921,32.393397524071524,False,-1.2054,0.3786,1,1,1,100.0,27.95425667090217,27.95425667090217,9.949135300101721,0.05086469989827855,历史1/1次成功; 当前距低点0.05%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
9,79.23454519600357,72.55925200650974,300351,永贵电器,bottom_area,2023-12-20,18.37,2023-12-20,18.3,0.3825136612021873,4.808743169398901,32.47232472324723,False,-3.7716,7.5007,2,2,2,100.0,25.27625351640169,33.447979363714516,9.617486338797814,0.3825136612021873,历史2/2次成功; 当前距低点0.38%; 最新日涨幅-3.77%; 状态bottom_area; 底部未确认
10,78.143706231454,71.03973293768546,002129,TCL中环,bottom_area,2023-12-20,14.42,2023-12-20,14.42,0.0,2.4965325936199685,27.09807886754298,False,-1.6371,0.9901,1,1,1,100.0,31.12759643916912,31.12759643916912,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
11,77.75342846716515,70.8411036849711,605188,国光连锁,bottom_area,2023-12-20,8.66,2023-12-20,8.65,0.11560693641618251,2.543352601156056,28.09642560266001,False,-2.3675,0.6925,1,1,1,100.0,19.218749999999993,19.218749999999993,9.884393063583818,0.11560693641618251,历史1/1次成功; 当前距低点0.12%; 最新日涨幅-2.37%; 状态bottom_area; 底部未确认
12,77.102434951921,70.3386122726831,002369,卓翼科技,bottom_area,2023-12-20,5.47,2023-12-20,5.46,0.18315018315017925,3.1135531135531123,29.910141206675227,False,-1.6187,3.2634,1,1,1,100.0,17.345132743362825,17.345132743362825,9.816849816849821,0.18315018315017925,历史1/1次成功; 当前距低点0.18%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
13,77.04063380281691,70.03693982074265,601628,中国人寿,bottom_area,2023-12-20,27.3,2023-12-20,27.3,0.0,2.0146520146520173,28.79499217527387,False,-2.0803,0.0356,1,1,1,100.0,25.736235595390532,25.736235595390532,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.08%; 状态bottom_area; 底部未确认
14,76.22856644366115,69.77935083752824,300683,海特生物,bottom_area,2023-12-20,36.03,2023-12-11,35.9,0.3621169916434612,6.211699164345416,30.48024786986832,False,-1.6111,0.7708,1,1,1,100.0,16.532137518684582,16.532137518684582,9.637883008356539,0.3621169916434612,历史1/1次成功; 当前距低点0.36%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
15,75.9823498814992,69.26623188405799,002137,实益达,bottom_area,2023-12-20,6.91,2023-12-20,6.9,0.14492753623188095,2.4637681159420275,28.865979381443292,False,-1.8466,3.6284,2,3,2,66.66666666666666,55.55040286140998,89.3034825870647,9.855072463768119,0.14492753623188095,历史2/3次成功; 当前距低点0.14%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
16,75.49239241281253,69.74539636475916,601601,中国太保,bottom_area,2023-12-20,22.67,2023-12-11,22.48,0.8451957295373722,7.250889679715298,27.178490443796566,True,-2.2845,0.3322,1,1,1,100.0,13.077648538195538,13.077648538195538,9.154804270462629,0.8451957295373722,历史1/1次成功; 当前距低点0.85%; 最新日涨幅-2.28%; 状态bottom_area; 底部已确认
17,74.83787425149701,68.03443113772455,601016,节能风电,bottom_area,2023-12-20,2.96,2023-12-20,2.96,0.0,1.3513513513513526,27.450980392156865,False,-0.6711,0.2478,1,1,1,100.0,14.970059880239523,14.970059880239523,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
18,74.16522624434388,67.42293294940353,002508,老板电器,bottom_area,2023-12-20,21.12,2023-12-20,21.12,0.0,1.8939393939393872,31.76090468497576,False,-1.5385,0.3256,1,1,1,100.0,11.682435211846977,11.682435211846977,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
19,74.07620701957332,67.40412090812103,001270,铖昌科技,bottom_area,2023-12-20,62.15,2023-12-20,62.12,0.04829362524146996,6.728911783644559,31.130820399113084,False,-6.0327,6.208,1,1,1,100.0,10.130270826191285,10.130270826191285,9.95170637475853,0.04829362524146996,历史1/1次成功; 当前距低点0.05%; 最新日涨幅-6.03%; 状态bottom_area; 底部未确认
20,67.67663881151347,61.524217101375875,002456,欧菲光,bottom_area,2023-12-20,8.38,2023-12-20,8.38,0.0,2.6252983293555947,27.633851468048356,False,-2.1028,3.0491,2,3,2,66.66666666666666,18.85779803607102,19.191919191919197,10.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-2.10%; 状态bottom_area; 底部未确认
21,66.5310506994954,65.2757478561087,002309,中利集团,bottom_area,2023-12-20,2.6,2023-12-19,2.5,4.0000000000000036,8.399999999999999,31.129476584022036,True,0.7752,2.3668,2,4,2,50.0,23.740579871552146,30.136986301369873,5.999999999999997,4.0000000000000036,历史2/4次成功; 当前距低点4.00%; 最新日涨幅0.78%; 状态bottom_area; 底部已确认
22,63.02746604588987,58.48646269251591,002812,恩捷股份,bottom_area,2023-12-20,50.72,2023-12-20,50.18,1.0761259465922661,2.5707453168593046,30.334582812716924,False,-1.0341,2.3817,1,2,1,50.0,16.39800995024876,16.39800995024876,8.923874053407735,1.0761259465922661,历史1/2次成功; 当前距低点1.08%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
23,61.634608195101265,57.023706895359304,600328,中盐化工,bottom_area,2023-12-20,7.68,2023-10-26,7.61,0.9198423127463783,8.147174770039422,28.207547169811313,True,-0.3891,0.3696,1,2,1,50.0,37.26315789473683,37.26315789473683,9.080157687253623,0.9198423127463783,历史1/2次成功; 当前距低点0.92%; 最新日涨幅-0.39%; 状态bottom_area; 底部已确认
24,58.32500882218671,53.43043892242236,300347,泰格医药,bottom_area,2023-12-20,52.54,2023-12-19,52.33,0.4012994458245765,3.497038027899863,28.501161360841643,False,-0.9053,1.0641,1,2,1,50.0,20.78172934893761,20.78172934893761,9.598700554175425,0.4012994458245765,历史1/2次成功; 当前距低点0.40%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
25,56.61861158568169,52.147556253270544,000710,贝瑞基因,bottom_area,2023-12-20,11.78,2023-12-19,11.7,0.6837606837606843,3.247863247863255,28.61500915192191,False,-0.5068,5.435,1,2,1,50.0,17.3469387755102,17.3469387755102,9.316239316239317,0.6837606837606843,历史1/2次成功; 当前距低点0.68%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
26,53.86475913565471,49.024174024743125,603032,德新科技,bottom_area,2023-12-20,16.65,2023-12-19,16.64,0.06009615384614189,2.1033653846153717,31.66324435318275,False,-1.3626,1.2572,1,3,1,33.33333333333333,12.354085603112855,12.354085603112855,9.939903846153857,0.06009615384614189,历史1/3次成功; 当前距低点0.06%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
