rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.72788299670573,79.05204787436276,000065,北方国际,bottom_area,2024-07-23,9.34,2024-07-23,9.33,0.1071811361200406,2.893890675241153,29.58490566037736,False,-1.8908,0.6669,3,3,3,100.0,29.926993896325044,41.48061104582843,14.892818863879958,0.1071811361200406,历史3/3次成功; 当前距低点0.11%; 最新日涨幅-1.89%; 状态bottom_area; 底部未确认
2,90.14768731276314,81.21867743343518,600973,宝胜股份,bottom_area,2024-07-23,3.22,2024-07-18,3.16,1.8987341772151913,4.113924050632908,31.749460043196542,False,-1.227,0.5338,2,2,2,100.0,40.36446966390223,46.551724137931025,13.101265822784807,1.8987341772151913,历史2/2次成功; 当前距低点1.90%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
3,90.05004681606817,81.13387484414473,603209,兴通股份,bottom_area,2024-07-23,12.33,2024-07-18,12.1,1.9008264462809954,5.371900826446284,27.674835624626425,False,-1.8312,0.6142,3,3,3,100.0,23.267522267018258,26.115859449192786,13.099173553719003,1.9008264462809954,历史3/3次成功; 当前距低点1.90%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
4,89.70527341656033,78.32571503676691,601886,江河集团,bottom_area,2024-07-23,4.56,2024-07-23,4.55,0.21978021978021509,3.9560439560439695,28.120063191153243,False,-1.2987,0.7267,3,3,3,100.0,27.40222547239673,33.5540838852097,14.780219780219783,0.21978021978021509,历史3/3次成功; 当前距低点0.22%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
5,89.60402749263089,79.80380605352136,001218,丽臣实业,bottom_area,2024-07-23,14.23,2024-07-18,14.05,1.281138790035585,3.70106761565836,29.040404040404038,False,-1.2491,0.6982,2,2,2,100.0,25.18711018711019,29.999999999999993,13.718861209964414,1.281138790035585,历史2/2次成功; 当前距低点1.28%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
6,88.9446675274919,77.51950029963244,000811,冰轮环境,bottom_area,2024-07-23,8.22,2024-07-23,8.21,0.12180267965894989,4.750304506699132,30.89225589225589,False,-3.8596,1.1697,3,3,3,100.0,32.0817763938432,47.451868629671566,14.87819732034105,0.12180267965894989,历史3/3次成功; 当前距低点0.12%; 最新日涨幅-3.86%; 状态bottom_area; 底部未确认
7,88.82771186408611,80.71029694178058,000789,万年青,bottom_area,2024-07-23,4.35,2024-07-09,4.25,2.35294117647058,7.2941176470588145,29.752066115702476,True,-1.1364,0.462,2,2,2,100.0,34.00539152759949,47.599999999999994,12.64705882352942,2.35294117647058,历史2/2次成功; 当前距低点2.35%; 最新日涨幅-1.14%; 状态bottom_area; 底部已确认
8,87.8224364195125,80.01599762666693,605567,春雪食品,bottom_area,2024-07-23,7.38,2024-07-09,7.2,2.499999999999996,7.638888888888887,29.961089494163417,True,-1.992,1.2809,2,2,2,100.0,32.07525605734906,36.46616541353383,12.500000000000004,2.499999999999996,历史2/2次成功; 当前距低点2.50%; 最新日涨幅-1.99%; 状态bottom_area; 底部已确认
9,87.52071948398456,79.09849144728939,002246,北化股份,bottom_area,2024-07-23,7.41,2024-07-18,7.26,2.066115702479344,6.887052341597796,31.315042573320724,False,-3.1373,1.4998,3,3,3,100.0,24.565780908291877,31.992687385740403,12.933884297520656,2.066115702479344,历史3/3次成功; 当前距低点2.07%; 最新日涨幅-3.14%; 状态bottom_area; 底部未确认
10,87.45769493132698,77.42382444432518,603368,柳药集团,bottom_area,2024-07-23,16.86,2024-07-16,16.7,0.9580838323353302,3.413173652694613,30.705394190871377,False,-1.4611,1.248,3,3,3,100.0,31.603524634675978,42.85714285714285,14.04191616766467,0.9580838323353302,历史3/3次成功; 当前距低点0.96%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
11,85.35153855125662,76.99356265356265,603012,创力集团,bottom_area,2024-07-23,4.15,2024-07-09,4.07,1.9656019656019672,6.633906633906624,27.19141323792486,False,-1.4252,0.9221,1,1,1,100.0,35.13513513513512,35.13513513513512,13.03439803439803,1.9656019656019672,历史1/1次成功; 当前距低点1.97%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
