rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.54488192320424,88.40983509416903,300510,金冠股份,bottom_area,2025-09-01,4.67,2025-08-28,4.57,2.1881838074398168,5.68927789934354,27.8041074249605,False,0.4301,5.9432,4,4,4,100.0,26.76824825339677,40.000000000000014,5.811816192560183,2.1881838074398168,历史4/4次成功; 当前距低点2.19%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
2,90.58648711529214,87.1737283869519,603221,爱丽家居,bottom_area,2025-09-01,12.22,2025-08-28,11.98,2.0033388981636078,2.754590984974959,31.931818181818183,False,0.4934,1.4833,4,4,4,100.0,17.856672444972688,20.699708454810505,5.996661101836392,2.0033388981636078,历史4/4次成功; 当前距低点2.00%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
3,84.76181039578455,81.16138031573452,600658,电子城,bottom_area,2025-09-01,6.42,2025-08-29,6.31,1.7432646592710037,7.92393026941363,29.101123595505623,False,1.7433,5.4524,1,1,1,100.0,32.344213649851625,32.344213649851625,6.256735340728997,1.7432646592710037,历史1/1次成功; 当前距低点1.74%; 最新日涨幅1.74%; 状态bottom_area; 底部未确认
4,84.49053145584739,82.20663172914642,300665,飞鹿股份,bottom_area,2025-09-01,9.56,2025-08-28,9.32,2.5751072961373414,6.115879828326183,27.470817120622566,False,-0.2088,8.8487,5,5,5,100.0,20.633743894298735,23.50486787204451,5.424892703862659,2.5751072961373414,历史5/5次成功; 当前距低点2.58%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
5,83.62851072541748,79.49579978699587,603511,爱慕股份,bottom_area,2025-09-01,14.85,2025-09-01,14.65,1.3651877133105754,2.047781569965863,31.54205607476635,False,0.678,0.8572,1,1,1,100.0,18.754988028731056,18.754988028731056,6.634812286689424,1.3651877133105754,历史1/1次成功; 当前距低点1.37%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
6,83.11295369284602,78.82103008917618,300902,国安达,bottom_area,2025-09-01,23.61,2025-08-28,23.32,1.2435677530017115,5.0600343053173225,29.37613567534828,False,-0.6731,6.4604,2,2,2,100.0,19.4428202474198,26.906779661016937,6.756432246998288,1.2435677530017115,历史2/2次成功; 当前距低点1.24%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
7,82.2966047597475,77.86684638748186,002596,海南瑞泽,bottom_area,2025-09-01,3.6,2025-08-28,3.56,1.1235955056179785,4.494382022471914,27.93522267206478,False,-0.8264,2.7027,2,2,2,100.0,12.842172797262624,14.970059880239523,6.8764044943820215,1.1235955056179785,历史2/2次成功; 当前距低点1.12%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
8,79.54837346461176,77.55911848595686,002826,易明医药,bottom_area,2025-09-01,19.9,2025-08-28,19.38,2.6831785345717214,6.243550051599592,27.76742452478569,False,-0.6986,5.0163,2,2,2,100.0,30.305191100969765,50.0,5.316821465428278,2.6831785345717214,历史2/2次成功; 当前距低点2.68%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
9,79.34389880046781,78.33985313751668,002097,山河智能,bottom_area,2025-09-01,15.48,2025-08-28,14.98,3.337783711615487,7.009345794392528,28.59866539561487,True,-1.2755,5.7924,1,1,1,100.0,50.210970464135016,50.210970464135016,4.6622162883845135,3.337783711615487,历史1/1次成功; 当前距低点3.34%; 最新日涨幅-1.28%; 状态bottom_area; 底部已确认
10,79.2249826119521,77.15489623445507,002041,登海种业,bottom_area,2025-09-01,9.78,2025-06-23,9.53,2.623294858342078,7.345225603357829,29.719764011799416,True,-0.4073,1.4397,2,2,2,100.0,18.2043468358871,21.395106715252467,5.376705141657922,2.623294858342078,历史2/2次成功; 当前距低点2.62%; 最新日涨幅-0.41%; 状态bottom_area; 底部已确认
11,77.02857568978938,75.32384686245315,603367,辰欣药业,bottom_area,2025-09-01,25.38,2025-09-01,24.68,2.8363047001620716,4.335494327390601,29.60638904734741,False,-0.3142,4.8187,2,2,2,100.0,20.164632144207957,31.216931216931226,5.163695299837928,2.8363047001620716,历史2/2次成功; 当前距低点2.84%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
