rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,78.0417713284781,71.76769335435995,605268,王力安防,bottom_area,2021-05-21,14.43,2021-05-20,14.01,2.997858672376873,3.78301213418986,29.349470499243562,False,-0.4828,3.5746,1,1,1,100.0,19.692532942898985,19.692532942898985,12.002141327623127,2.997858672376873,历史1/1次成功; 当前距低点3.00%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
2,77.82925884246812,72.08782168548753,300658,延江股份,bottom_area,2021-05-21,18.03,2021-05-10,17.44,3.383027522935779,9.346330275229352,31.28447596532702,True,-0.8796,1.0507,1,1,1,100.0,16.941529235382294,16.941529235382294,11.61697247706422,3.383027522935779,历史1/1次成功; 当前距低点3.38%; 最新日涨幅-0.88%; 状态bottom_area; 底部已确认
3,74.9557449643933,70.995818815331,002222,福晶科技,bottom_area,2021-05-21,15.06,2021-05-10,14.4,4.583333333333335,9.374999999999996,32.20338983050846,True,-1.0512,2.4655,1,1,1,100.0,25.783972125435533,25.783972125435533,10.416666666666664,4.583333333333335,历史1/1次成功; 当前距低点4.58%; 最新日涨幅-1.05%; 状态bottom_area; 底部已确认
