rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.35505860653417,81.92400144196108,600935,华塑股份,bottom_area,2023-06-27,3.69,2023-06-27,3.65,1.0958904109589052,1.6438356164383578,28.571428571428577,False,0.8197,0.2216,1,1,1,100.0,28.50877192982458,28.50877192982458,18.904109589041095,1.0958904109589052,历史1/1次成功; 当前距低点1.10%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
2,93.67087930159711,80.0163255488341,002041,登海种业,bottom_area,2023-06-27,14.99,2023-06-26,14.79,1.3522650439486212,2.096010818120355,30.235849056603776,False,0.604,0.3424,1,1,1,100.0,21.395106715252467,21.395106715252467,18.64773495605138,1.3522650439486212,历史1/1次成功; 当前距低点1.35%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
3,91.66742589694395,80.67231840743621,600421,退市华嵘,bottom_area,2023-06-27,10.36,2023-06-27,10.06,2.9821073558648004,4.07554671968191,28.449502133712656,False,0.2904,1.9805,1,1,1,100.0,44.900662251655625,44.900662251655625,17.017892644135202,2.9821073558648004,历史1/1次成功; 当前距低点2.98%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
4,90.00016396008947,79.20809725736083,688302,海创药业,bottom_area,2023-06-27,54.18,2023-06-26,52.61,2.984223531647976,5.873408097319908,29.70336718332443,False,2.5554,1.4328,1,1,1,100.0,37.054445750097926,37.054445750097926,17.015776468352026,2.984223531647976,历史1/1次成功; 当前距低点2.98%; 最新日涨幅2.56%; 状态bottom_area; 底部未确认
5,88.95069137806071,75.72967755204276,688236,春立医疗,bottom_area,2023-06-27,25.1,2023-06-27,24.81,1.1688835147118206,6.126561870213622,29.11428571428572,False,-3.1262,3.1624,1,1,1,100.0,28.788881535407025,28.788881535407025,18.83111648528818,1.1688835147118206,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-3.13%; 状态bottom_area; 底部未确认
6,83.36283218089073,74.609935097025,600256,广汇能源,bottom_area,2023-06-27,7.45,2023-06-01,7.17,3.905160390516042,5.718270571827059,29.49852507374631,False,2.4759,1.4498,1,1,1,100.0,23.62204724409449,23.62204724409449,16.09483960948396,3.905160390516042,历史1/1次成功; 当前距低点3.91%; 最新日涨幅2.48%; 状态bottom_area; 底部未确认
7,83.30774603748438,74.66418902027266,601086,国芳集团,bottom_area,2023-06-27,4.44,2023-06-26,4.27,3.9812646370023614,3.9812646370023614,28.83333333333334,False,2.7778,1.5798,1,1,1,100.0,24.846625766871185,24.846625766871185,16.01873536299764,3.9812646370023614,历史1/1次成功; 当前距低点3.98%; 最新日涨幅2.78%; 状态bottom_area; 底部未确认
8,82.32045703255115,74.15154644268773,688176,亚虹医药,bottom_area,2023-06-27,11.51,2023-06-21,11.04,4.257246376811601,4.981884057971022,31.767614338689743,False,2.1295,1.2556,1,1,1,100.0,25.473484848484844,25.473484848484844,15.742753623188399,4.257246376811601,历史1/1次成功; 当前距低点4.26%; 最新日涨幅2.13%; 状态bottom_area; 底部未确认
9,78.7774305034823,70.01901722782887,600009,上海机场,bottom_area,2023-06-27,46.4,2023-06-06,44.82,3.5252119589468953,8.366800535475234,29.83719474013776,True,1.4429,0.3353,2,3,2,66.66666666666666,23.97760122344691,27.704918032786885,16.474788041053106,3.5252119589468953,历史2/3次成功; 当前距低点3.53%; 最新日涨幅1.44%; 状态bottom_area; 底部已确认
10,76.64320006664795,65.0621392755925,002545,东方铁塔,bottom_area,2023-06-27,7.0,2023-06-26,6.93,1.0101010101010142,2.0202020202020283,27.58620689655173,False,0.1431,0.4837,1,2,1,50.0,28.468653648509758,28.468653648509758,18.989898989898986,1.0101010101010142,历史1/2次成功; 当前距低点1.01%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
11,76.35683472817544,69.28082195226766,600995,南网储能,bottom_area,2023-06-27,11.24,2023-06-07,10.74,4.655493482309125,6.983240223463687,32.7909887359199,False,-2.0906,1.5331,1,1,1,100.0,26.64165103189493,26.64165103189493,15.344506517690876,4.655493482309125,历史1/1次成功; 当前距低点4.66%; 最新日涨幅-2.09%; 状态bottom_area; 底部未确认
12,72.37623409785694,62.869186398562164,300364,中文在线,bottom_area,2023-06-27,18.04,2023-06-27,17.64,2.2675736961451167,4.761904761904761,27.347611202635914,False,0.7259,8.8797,2,5,2,40.0,20.42609906329583,20.7773851590106,17.732426303854883,2.2675736961451167,历史2/5次成功; 当前距低点2.27%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
13,71.19980182201138,61.85589261915951,002299,圣农发展,bottom_area,2023-06-27,18.88,2023-06-26,18.46,2.275189599133251,4.1170097508125565,27.00672202451561,False,1.4508,0.75,1,2,1,50.0,26.73830594184577,26.73830594184577,17.72481040086675,2.275189599133251,历史1/2次成功; 当前距低点2.28%; 最新日涨幅1.45%; 状态bottom_area; 底部未确认
