rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.52857680702742,79.79354785144783,300765,新诺威,bottom_area,2026-02-09,34.95,47.92,2026-02-06,33.91,3.066941905042779,8.080212326747278,29.236227045075136,27.065943238731215,True,2.7941,0.7631,4,5,4,80.0,25.35578169325464,28.947368421052634,16.93305809495722,3.066941905042779,历史4/5次成功; 当前距低点3.07%; 最新日涨幅2.79%; 状态bottom_area; 底部已确认
2,84.36489214830405,75.18481683292819,600595,中孚实业,bottom_area,2026-02-09,8.19,10.83,2026-02-06,7.9,3.670886075949356,7.974683544303785,27.054478301015696,24.376731301939063,False,0.9864,1.9158,1,1,1,100.0,23.84105960264901,23.84105960264901,16.329113924050645,3.670886075949356,历史1/1次成功; 当前距低点3.67%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
3,82.80564944876268,74.18458883248731,600271,航天信息,bottom_area,2026-02-09,10.24,13.99,2026-02-02,9.85,3.9593908629441685,5.1776649746192875,29.592566118656187,26.804860614724802,False,0.9862,1.5719,1,1,1,100.0,21.999999999999996,21.999999999999996,16.040609137055835,3.9593908629441685,历史1/1次成功; 当前距低点3.96%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
4,82.53227983129752,74.40402921053962,301023,奕帆传动,bottom_area,2026-02-09,47.27,65.18,2026-02-06,45.32,4.30273609885261,5.4060017652250725,30.469469162319733,27.477753912243024,False,1.5685,5.9938,1,1,1,100.0,27.388535031847127,27.388535031847127,15.697263901147391,4.30273609885261,历史1/1次成功; 当前距低点4.30%; 最新日涨幅1.57%; 状态bottom_area; 底部未确认
5,73.56006468737918,64.68017964071858,300652,雷迪克,bottom_area,2026-02-09,51.57,74.21,2026-02-06,50.1,2.9341317365269437,3.07385229540918,32.48888289987871,30.50801778736019,False,1.9573,2.1623,1,2,1,50.0,54.41115272575945,54.41115272575945,17.065868263473057,2.9341317365269437,历史1/2次成功; 当前距低点2.93%; 最新日涨幅1.96%; 状态bottom_area; 底部未确认
6,73.42214642135124,63.694445264327996,300561,汇金科技,bottom_area,2026-02-09,13.03,18.6,2026-02-06,12.75,2.196078431372544,7.215686274509803,31.45161290322581,29.946236559139795,False,-2.0301,7.4609,2,4,2,50.0,24.79303273041607,27.62128325508607,17.803921568627455,2.196078431372544,历史2/4次成功; 当前距低点2.20%; 最新日涨幅-2.03%; 状态bottom_area; 底部未确认
7,68.65060551084783,62.608985670409936,301428,世纪恒通,bottom_area,2026-02-09,38.26,50.09,2026-02-06,36.46,4.936917169500815,6.829402084476143,27.211020163705335,23.617488520662818,False,0.9232,13.5517,2,4,2,50.0,30.081488262751606,33.956079973779076,15.063082830499186,4.936917169500815,历史2/4次成功; 当前距低点4.94%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
8,68.29571107180466,60.4334900377653,300723,一品红,bottom_area,2026-02-09,33.99,45.88,2026-02-02,32.91,3.2816773017320133,6.95837131570953,28.269398430688764,25.91543156059285,False,0.3247,1.8052,1,2,1,50.0,31.428571428571427,31.428571428571427,16.718322698267986,3.2816773017320133,历史1/2次成功; 当前距低点3.28%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
9,67.3426194152761,58.21637743209172,300687,赛意信息,bottom_area,2026-02-09,21.88,30.44,2026-02-06,21.45,2.0046620046620034,2.9370629370629326,29.533508541392912,28.120893561103816,False,1.5313,3.5453,1,3,1,33.33333333333333,23.299319727891156,23.299319727891156,17.995337995337998,2.0046620046620034,历史1/3次成功; 当前距低点2.00%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
10,65.61496499252728,54.87222594078124,603039,泛微网络,bottom_area,2026-02-09,52.1,74.51,2026-02-09,52.0,0.19230769230769504,3.192307692307686,30.21070997181587,30.076499798684743,False,-0.5725,3.9211,1,2,1,50.0,25.971438060445035,25.971438060445035,19.807692307692307,0.19230769230769504,历史1/2次成功; 当前距低点0.19%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
11,60.282717187741945,54.09852372580477,605365,立达信,bottom_area,2026-02-09,20.54,27.37,2026-01-30,19.74,4.052684903748737,7.294832826747727,27.87723785166241,24.95432955791013,True,-0.2913,0.9109,1,3,1,33.33333333333333,39.54468802698146,39.54468802698146,15.947315096251263,4.052684903748737,历史1/3次成功; 当前距低点4.05%; 最新日涨幅-0.29%; 状态bottom_area; 底部已确认
12,56.77956545075965,51.10511165494035,603360,百傲化学,bottom_area,2026-02-09,29.18,38.98,2026-02-09,28.0,4.2142857142857135,9.357142857142861,28.168291431503327,25.141097998973827,False,-4.2022,4.3804,1,2,1,50.0,25.39614561027837,25.39614561027837,15.785714285714286,4.2142857142857135,历史1/2次成功; 当前距低点4.21%; 最新日涨幅-4.20%; 状态bottom_area; 底部未确认
