rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.01146928821689,85.13195480546463,603333,尚纬股份,bottom_area,2025-06-27,7.38,2025-06-23,7.23,2.0746887966804906,7.1922544951590535,28.838582677165352,True,-0.2703,2.8088,5,5,5,100.0,21.03357667686099,47.19626168224298,7.92531120331951,2.0746887966804906,历史5/5次成功; 当前距低点2.07%; 最新日涨幅-0.27%; 状态bottom_area; 底部已确认
2,89.63524326941877,86.1548168916756,605136,丽人丽妆,bottom_area,2025-06-27,10.57,2025-06-26,10.27,2.9211295034079914,4.67380720545278,29.318651066758434,False,0.2846,4.0504,4,4,4,100.0,23.62899010454739,52.667814113597245,7.078870496592009,2.9211295034079914,历史4/4次成功; 当前距低点2.92%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
3,86.55814500835817,86.05911512851014,603327,福蓉科技,bottom_area,2025-06-27,9.14,2025-06-23,8.73,4.696449026345935,5.154639175257723,28.148148148148145,False,0.883,0.6936,6,6,6,100.0,44.87644574504772,129.39632545931758,5.303550973654065,4.696449026345935,历史6/6次成功; 当前距低点4.70%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
4,85.23155719613058,79.10470657012797,300703,创源股份,bottom_area,2025-06-27,20.49,2025-06-26,20.27,1.0853478046373897,4.0947212629501815,31.404399323181053,False,-0.1462,6.4013,2,2,2,100.0,19.02849228333993,20.914127423822727,8.91465219536261,1.0853478046373897,历史2/2次成功; 当前距低点1.09%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
5,83.48170930097548,80.34563763831851,605198,安德利,bottom_area,2025-06-27,40.3,2025-06-20,39.13,2.990033222591348,5.877843087145405,29.748653500897664,False,0.0497,0.8004,1,1,1,100.0,43.241469816272954,43.241469816272954,7.0099667774086525,2.990033222591348,历史1/1次成功; 当前距低点2.99%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
6,83.31304326862767,79.62489623445506,002041,登海种业,bottom_area,2025-06-27,9.78,2025-06-23,9.53,2.623294858342078,3.147953830010501,29.719764011799416,False,0.1024,0.5509,2,2,2,100.0,18.2043468358871,21.395106715252467,7.376705141657923,2.623294858342078,历史2/2次成功; 当前距低点2.62%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
7,83.1500224166157,77.43033795037212,002155,湖南黄金,bottom_area,2025-06-27,17.68,2025-06-26,17.46,1.2600229095074391,2.978235967926687,28.995526636844243,False,-0.8969,2.3962,1,1,1,100.0,28.834355828220854,28.834355828220854,8.739977090492562,1.2600229095074391,历史1/1次成功; 当前距低点1.26%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
8,80.62805917919309,76.38799700935165,002896,中大力德,bottom_area,2025-06-27,57.11,2025-06-27,55.9,2.164579606440073,3.2558139534883725,27.090126516238428,False,0.4044,4.2559,1,1,1,100.0,11.84536834427426,11.84536834427426,7.835420393559928,2.164579606440073,历史1/1次成功; 当前距低点2.16%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
9,80.57356036517783,77.3257028794473,605377,华旺科技,bottom_area,2025-06-27,8.69,2025-06-23,8.45,2.840236686390535,3.6686390532544437,30.04966887417219,False,0.6952,0.9446,1,1,1,100.0,25.16904583020285,25.16904583020285,7.159763313609465,2.840236686390535,历史1/1次成功; 当前距低点2.84%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
10,79.83823073139357,78.71538461538464,001230,劲旅环境,bottom_area,2025-06-27,20.33,2025-06-23,19.5,4.256410256410248,6.9230769230769305,30.629669156883672,False,0.1478,5.4597,1,1,1,100.0,84.69119579500656,84.69119579500656,5.743589743589752,4.256410256410248,历史1/1次成功; 当前距低点4.26%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
11,79.80768427814273,79.23490185509388,002678,珠江钢琴,bottom_area,2025-06-27,4.98,2025-06-23,4.76,4.621848739495812,5.042016806722694,29.79351032448378,False,1.0142,1.5782,3,3,3,100.0,23.939338608302766,35.5191256830601,5.378151260504188,4.621848739495812,历史3/3次成功; 当前距低点4.62%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
