rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,99.06481632696635,87.9222843973844,601886,江河集团,bottom_area,2024-07-22,4.62,2024-07-22,4.57,1.0940919037199084,1.9693654266958391,27.8041074249605,False,0.0,0.5325,3,3,3,100.0,27.40222547239673,33.5540838852097,13.90590809628009,1.0940919037199084,历史3/3次成功; 当前距低点1.09%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,95.02542577285321,84.28603869911137,000065,北方国际,bottom_area,2024-07-22,9.52,2024-07-18,9.42,1.061571125265389,3.290870488322723,28.905660377358487,False,-1.6529,0.7238,3,3,3,100.0,29.926993896325044,41.48061104582843,13.93842887473461,1.061571125265389,历史3/3次成功; 当前距低点1.06%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
3,91.77561265776647,84.41974052973677,000811,冰轮环境,bottom_area,2024-07-22,8.55,2024-07-18,8.3,3.012048192771084,3.975903614457832,30.13468013468013,False,0.3521,0.8863,3,3,3,100.0,32.0817763938432,47.451868629671566,11.987951807228916,3.012048192771084,历史3/3次成功; 当前距低点3.01%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
4,91.61239846752082,82.82606770159069,300349,金卡智能,bottom_area,2024-07-22,10.77,2024-07-18,10.55,2.085308056872027,2.654028436018951,29.24211938296445,False,0.5602,0.8095,1,1,1,100.0,45.48693586698337,45.48693586698337,12.914691943127973,2.085308056872027,历史1/1次成功; 当前距低点2.09%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
5,90.96591612706817,83.07906435057242,605099,共创草坪,bottom_area,2024-07-22,18.35,2024-07-09,17.88,2.6286353467561656,9.060402684563766,28.96305125148988,True,0.1091,0.0693,1,1,1,100.0,44.31372549019606,44.31372549019606,12.371364653243834,2.6286353467561656,历史1/1次成功; 当前距低点2.63%; 最新日涨幅0.11%; 状态bottom_area; 底部已确认
6,90.39092095314534,80.82852867830421,002687,乔治白,bottom_area,2024-07-22,4.07,2024-07-09,4.01,1.4962593516209601,6.733167082294276,31.45299145299145,False,-0.2451,0.4788,1,1,1,100.0,64.00000000000001,64.00000000000001,13.50374064837904,1.4962593516209601,历史1/1次成功; 当前距低点1.50%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
7,89.4477097069622,82.51260148406811,600973,宝胜股份,bottom_area,2024-07-22,3.26,2024-07-18,3.16,3.164556962025305,4.113924050632908,31.749460043196542,False,0.3077,0.438,2,2,2,100.0,40.36446966390223,46.551724137931025,11.835443037974693,3.164556962025305,历史2/2次成功; 当前距低点3.16%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
8,89.43899074393316,81.42065079163056,603368,柳药集团,bottom_area,2024-07-22,17.11,2024-07-16,16.7,2.4550898203592824,3.413173652694613,30.705394190871377,False,-0.5811,1.2192,3,3,3,100.0,31.603524634675978,42.85714285714285,12.544910179640716,2.4550898203592824,历史3/3次成功; 当前距低点2.46%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
9,86.75045961821868,80.97999054662407,603209,兴通股份,bottom_area,2024-07-22,12.56,2024-07-18,12.1,3.801652892561991,4.132231404958678,27.674835624626425,False,0.641,0.5136,3,3,3,100.0,23.267522267018258,26.115859449192786,11.198347107438009,3.801652892561991,历史3/3次成功; 当前距低点3.80%; 最新日涨幅0.64%; 状态bottom_area; 底部未确认
10,85.15907444565977,75.90277994575187,600389,江山股份,bottom_area,2024-07-22,13.03,2024-07-18,12.86,1.3219284603421457,4.276827371695185,29.726775956284158,False,-0.7616,0.718,1,1,1,100.0,21.380520620064356,21.380520620064356,13.678071539657854,1.3219284603421457,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
11,84.98577589856558,77.41729483683183,603282,亚光股份,bottom_area,2024-07-22,15.64,2024-07-09,15.26,2.490170380078642,7.7326343381389355,27.848699763593377,True,-0.6984,0.4448,1,1,1,100.0,34.64991023339317,34.64991023339317,12.509829619921359,2.490170380078642,历史1/1次成功; 当前距低点2.49%; 最新日涨幅-0.70%; 状态bottom_area; 底部已确认
