rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.53407415855001,81.13537130497477,600935,华塑股份,bottom_area,2023-08-14,3.73,2023-06-27,3.65,2.1917808219178103,7.671232876712336,28.571428571428577,True,0.0,0.4132,1,1,1,100.0,28.50877192982458,28.50877192982458,17.80821917808219,2.1917808219178103,历史1/1次成功; 当前距低点2.19%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
2,93.3916512680325,80.01070810303472,603015,弘讯科技,bottom_area,2023-08-14,8.73,2023-08-14,8.6,1.5116279069767533,1.7441860465116321,28.213689482470787,False,0.4603,0.6467,1,1,1,100.0,23.318385650224208,23.318385650224208,18.488372093023248,1.5116279069767533,历史1/1次成功; 当前距低点1.51%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
3,91.895354009479,80.62557206053218,688328,深科达,bottom_area,2023-08-14,22.65,2023-08-14,22.03,2.8143440762596343,2.950522015433493,29.996822370511595,False,0.3545,4.0876,2,2,2,100.0,25.92621803443088,29.170984455958543,17.185655923740367,2.8143440762596343,历史2/2次成功; 当前距低点2.81%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
4,89.00689064782698,77.51941249226964,002519,银河电子,bottom_area,2023-08-14,5.52,2023-08-14,5.39,2.4118738404452675,2.7829313543599326,27.35849056603774,False,0.9141,1.34,1,1,1,100.0,20.959595959595962,20.959595959595962,17.588126159554733,2.4118738404452675,历史1/1次成功; 当前距低点2.41%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
5,88.83466572544005,78.83778511004363,688300,联瑞新材,bottom_area,2023-08-14,42.98,2023-08-14,41.55,3.4416365824308057,3.6823104693140825,28.974358974358978,False,1.6076,0.3881,2,2,2,100.0,24.003852247235756,26.809910956252438,16.558363417569193,3.4416365824308057,历史2/2次成功; 当前距低点3.44%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
6,88.22903663521329,77.45519387777802,688143,长盈通,bottom_area,2023-08-14,29.26,2023-08-14,28.45,2.8471001757469327,3.5149384885764503,31.92151232352237,False,0.9662,1.1944,1,1,1,100.0,25.949367088607595,25.949367088607595,17.15289982425307,2.8471001757469327,历史1/1次成功; 当前距低点2.85%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
7,82.71297937109219,74.45892228429483,002045,国光电器,bottom_area,2023-08-14,13.82,2023-08-14,13.26,4.223227752639521,4.600301659125184,28.20790471034109,False,0.7289,2.9803,3,4,3,75.0,30.875707313510432,33.77563329312426,15.77677224736048,4.223227752639521,历史3/4次成功; 当前距低点4.22%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
8,81.21672276246147,72.32661848423533,002864,盘龙药业,bottom_area,2023-08-14,35.39,2023-08-08,34.15,3.631039531478776,7.349926793557827,27.340425531914896,True,-0.3379,4.4193,1,1,1,100.0,21.26553019358567,21.26553019358567,16.368960468521227,3.631039531478776,历史1/1次成功; 当前距低点3.63%; 最新日涨幅-0.34%; 状态bottom_area; 底部已确认
9,80.2119748713045,71.31621537458051,002219,新里程,bottom_area,2023-08-14,3.8,2023-08-07,3.67,3.542234332425066,6.267029972752043,29.42307692307693,False,-0.5236,0.5386,1,1,1,100.0,23.938223938223942,23.938223938223942,16.457765667574936,3.542234332425066,历史1/1次成功; 当前距低点3.54%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
10,73.59548051695923,63.25476753818451,688262,国芯科技,bottom_area,2023-08-14,33.13,2023-08-14,32.58,1.6881522406384415,2.209944751381212,29.632829373650104,False,0.4244,1.0298,1,2,1,50.0,27.063197026022312,27.063197026022312,18.31184775936156,1.6881522406384415,历史1/2次成功; 当前距低点1.69%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
11,73.15497057272532,62.648427030382315,300473,德尔股份,bottom_area,2023-08-14,16.35,2023-08-14,16.11,1.4897579143389323,1.8001241464928561,28.24053452115813,False,0.0,1.3984,1,2,1,50.0,21.37137137137137,21.37137137137137,18.51024208566107,1.4897579143389323,历史1/2次成功; 当前距低点1.49%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
12,70.65541626328937,60.33007267722077,002386,天原股份,bottom_area,2023-08-14,6.1,2023-08-14,6.02,1.328903654485051,2.657807308970102,27.382388419782867,False,-1.7713,1.0125,1,3,1,33.33333333333333,48.85290148448042,48.85290148448042,18.67109634551495,1.328903654485051,历史1/3次成功; 当前距低点1.33%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
13,67.84689988807122,58.90743783122709,000890,法尔胜,bottom_area,2023-08-14,4.56,2023-08-14,4.46,2.242152466367705,3.8116591928251107,27.47967479674797,False,-1.2987,7.1851,1,2,1,50.0,32.954545454545446,32.954545454545446,17.757847533632294,2.242152466367705,历史1/2次成功; 当前距低点2.24%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
14,67.08525767927563,58.61949344456252,300763,锦浪科技,bottom_area,2023-08-14,87.08,2023-08-14,84.88,2.5918944392082977,4.0292177191328955,27.359863072314933,False,-1.9369,2.7541,1,2,1,50.0,35.693617021276594,35.693617021276594,17.408105560791704,2.5918944392082977,历史1/2次成功; 当前距低点2.59%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
15,64.00864577018088,55.028724122827846,603033,三维股份,bottom_area,2023-08-14,14.94,2023-08-14,14.69,1.7018379850238259,2.110279101429547,31.896152063050536,False,-0.4,0.1922,1,3,1,33.33333333333333,24.922480620155024,24.922480620155024,18.298162014976175,1.7018379850238259,历史1/3次成功; 当前距低点1.70%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
16,63.26320330607274,55.676263974241046,002403,爱仕达,bottom_area,2023-08-14,8.63,2023-08-14,8.38,2.983293556085919,2.983293556085919,32.852564102564095,False,0.9357,1.3023,1,3,1,33.33333333333333,21.63892445582587,21.63892445582587,17.01670644391408,2.983293556085919,历史1/3次成功; 当前距低点2.98%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
