rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.84721409280016,79.57213233341847,300355,蒙草生态,bottom_area,2024-12-27,5.44,2024-12-25,5.26,3.4220532319391754,7.604562737642592,29.58500669344043,False,0.7407,4.5256,2,2,2,100.0,27.711901624945106,33.201581027668,11.577946768060823,3.4220532319391754,历史2/2次成功; 当前距低点3.42%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
2,84.21239787045253,77.50308571428572,002016,世荣兆业,bottom_area,2024-12-27,6.44,2024-12-25,6.25,3.0400000000000063,3.840000000000003,28.160919540229877,False,1.0989,0.6343,1,1,1,100.0,28.571428571428566,28.571428571428566,11.959999999999994,3.0400000000000063,历史1/1次成功; 当前距低点3.04%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
3,79.62652245353833,74.01917087568934,000668,荣丰控股,bottom_area,2024-12-27,6.95,2024-12-25,6.71,3.5767511177347275,7.153502235469455,32.085020242914986,False,2.3564,2.9202,1,1,1,100.0,16.420233463035032,16.420233463035032,11.423248882265272,3.5767511177347275,历史1/1次成功; 当前距低点3.58%; 最新日涨幅2.36%; 状态bottom_area; 底部未确认
4,77.61153865213016,71.43487102181595,002383,合众思壮,bottom_area,2024-12-27,8.46,2024-12-25,8.21,3.045066991473812,6.577344701583423,31.06633081444164,False,-0.4706,4.1128,1,1,1,100.0,18.48184818481848,18.48184818481848,11.954933008526188,3.045066991473812,历史1/1次成功; 当前距低点3.05%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
5,77.05594373124599,73.24950334514976,002178,延华智能,bottom_area,2024-12-27,6.36,2024-12-25,6.07,4.7775947281713345,8.237232289950576,29.663962920046355,False,2.2508,4.6563,4,5,4,80.0,20.335587770862393,29.076086956521735,10.222405271828665,4.7775947281713345,历史4/5次成功; 当前距低点4.78%; 最新日涨幅2.25%; 状态bottom_area; 底部未确认
6,76.76375332042879,71.16576017189581,300386,飞天诚信,bottom_area,2024-12-27,17.48,2024-12-27,16.9,3.4319526627219052,7.041420118343203,31.41233766233767,False,1.1574,15.472,6,9,6,66.66666666666666,21.526589119543463,31.195335276967924,11.568047337278095,3.4319526627219052,历史6/9次成功; 当前距低点3.43%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
7,76.3235768903747,72.71606769537087,002321,华英农业,bottom_area,2024-12-27,2.57,2024-12-25,2.45,4.897959183673455,7.346938775510193,30.790960451977394,False,3.629,2.9254,1,1,1,100.0,25.609756097560986,25.609756097560986,10.102040816326543,4.897959183673455,历史1/1次成功; 当前距低点4.90%; 最新日涨幅3.63%; 状态bottom_area; 底部未确认
8,75.28645971627078,68.10878937367902,300533,冰川网络,bottom_area,2024-12-27,20.24,2024-12-25,19.82,2.1190716448032196,5.852674066599396,29.264810849393285,False,-1.0269,2.8937,2,3,2,66.66666666666666,28.13766697399834,40.564081294068856,12.88092835519678,2.1190716448032196,历史2/3次成功; 当前距低点2.12%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
9,75.1320708250589,66.704742957657,688165,埃夫特,bottom_area,2024-12-27,26.35,2024-12-27,26.06,1.1128165771297112,9.286262471220267,28.89495225102319,False,-5.4539,7.6584,2,4,2,50.0,37.91378899738032,53.84615384615383,13.887183422870288,1.1128165771297112,历史2/4次成功; 当前距低点1.11%; 最新日涨幅-5.45%; 状态bottom_area; 底部未确认
10,74.81617682637196,71.24743786963127,603216,梦天家居,bottom_area,2024-12-27,11.19,2024-12-25,10.67,4.873477038425488,5.716963448922206,28.244788164088767,False,1.6349,6.2365,1,1,1,100.0,17.41379310344827,17.41379310344827,10.12652296157451,4.873477038425488,历史1/1次成功; 当前距低点4.87%; 最新日涨幅1.63%; 状态bottom_area; 底部未确认
11,74.09858093643342,68.74136298326812,002146,荣盛发展,bottom_area,2024-12-27,1.79,2024-12-25,1.73,3.4682080924855523,5.202312138728328,27.61506276150628,False,0.5618,3.9446,3,5,3,60.0,23.38106147384497,33.33333333333333,11.531791907514446,3.4682080924855523,历史3/5次成功; 当前距低点3.47%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
