rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.243479741342,79.84986487240127,688188,柏楚电子,bottom_area,2025-06-13,139.5,2025-06-11,136.66,2.078150153666035,2.2976730572223145,31.8675840063815,False,0.9407,0.4896,1,1,1,100.0,29.3981033481711,29.3981033481711,17.921849846333966,2.078150153666035,历史1/1次成功; 当前距低点2.08%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
2,91.15030171082245,77.49113140676118,603577,汇金通,bottom_area,2025-06-13,9.27,2025-06-13,9.17,1.0905125408942165,3.3805888767720886,28.69362363919129,False,-2.9319,5.6752,1,1,1,100.0,27.083333333333325,27.083333333333325,18.909487459105783,1.0905125408942165,历史1/1次成功; 当前距低点1.09%; 最新日涨幅-2.93%; 状态bottom_area; 底部未确认
3,89.67791087074602,74.80608695652172,605005,合兴股份,bottom_area,2025-06-13,18.41,2025-06-13,18.4,0.05434782608696502,3.315217391304364,30.85306275836152,False,-3.6126,1.9787,1,1,1,100.0,96.96521095484826,96.96521095484826,19.945652173913036,0.05434782608696502,历史1/1次成功; 当前距低点0.05%; 最新日涨幅-3.61%; 状态bottom_area; 底部未确认
4,88.40056834002938,73.81835105833765,000811,冰轮环境,bottom_area,2025-06-13,8.95,2025-06-13,8.94,0.11185682326621685,2.572706935123047,30.643910007757956,False,-2.6115,2.3163,1,1,1,100.0,35.17948717948718,35.17948717948718,19.888143176733784,0.11185682326621685,历史1/1次成功; 当前距低点0.11%; 最新日涨幅-2.61%; 状态bottom_area; 底部未确认
5,88.39356146483432,77.5640674580274,688682,霍莱沃,bottom_area,2025-06-13,28.42,2025-06-13,27.64,2.821997105643998,4.522431259044862,32.25490196078431,False,1.1748,2.3117,1,1,1,100.0,26.22699386503069,26.22699386503069,17.178002894356005,2.821997105643998,历史1/1次成功; 当前距低点2.82%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
6,87.99646322498138,73.9251028403526,001230,劲旅环境,bottom_area,2025-06-13,20.51,2025-06-13,20.42,0.44074436826640473,3.91772771792359,27.356812522234076,False,-3.1176,8.152,1,1,1,100.0,84.69119579500656,84.69119579500656,19.559255631733595,0.44074436826640473,历史1/1次成功; 当前距低点0.44%; 最新日涨幅-3.12%; 状态bottom_area; 底部未确认
7,87.56447104765181,73.8706841957838,002136,安纳达,bottom_area,2025-06-13,10.53,2025-06-13,10.46,0.6692160611854541,2.963671128107062,30.0334448160535,False,-1.8639,4.5696,1,1,1,100.0,42.29299363057326,42.29299363057326,19.330783938814548,0.6692160611854541,历史1/1次成功; 当前距低点0.67%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
8,86.74875252655879,72.94835820402655,002909,集泰股份,bottom_area,2025-06-13,6.1,2025-06-13,6.07,0.49423393739702404,2.6359143327841865,27.479091995221015,False,-2.2436,5.7915,1,1,1,100.0,35.18930957683742,35.18930957683742,19.505766062602977,0.49423393739702404,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-2.24%; 状态bottom_area; 底部未确认
9,85.5610563956254,71.8072132435849,600770,综艺股份,bottom_area,2025-06-13,5.2,2025-06-13,5.18,0.38610038610039504,3.281853281853281,31.390728476821195,False,-2.8037,3.9841,1,1,1,100.0,27.72861356932153,27.72861356932153,19.613899613899605,0.38610038610039504,历史1/1次成功; 当前距低点0.39%; 最新日涨幅-2.80%; 状态bottom_area; 底部未确认
10,84.40719931297755,74.68499023210254,688318,财富趋势,bottom_area,2025-06-13,99.88,2025-06-06,96.71,3.2778409678420037,8.458277323958233,30.906622847753095,True,-0.6466,1.7396,1,1,1,100.0,29.615417412808053,29.615417412808053,16.722159032157997,3.2778409678420037,历史1/1次成功; 当前距低点3.28%; 最新日涨幅-0.65%; 状态bottom_area; 底部已确认
11,84.3545389300516,70.98156263117326,688448,磁谷科技,bottom_area,2025-06-13,28.45,2025-06-13,28.3,0.5300353356890409,2.65017667844523,28.154353896928153,False,-1.9304,3.1111,1,1,1,100.0,25.053995680345576,25.053995680345576,19.46996466431096,0.5300353356890409,历史1/1次成功; 当前距低点0.53%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
12,81.72562091503268,68.10468409586056,603192,汇得科技,bottom_area,2025-06-13,20.16,2025-06-13,20.16,0.0,4.662698412698419,32.777592530843606,False,-5.4409,5.1851,1,1,1,100.0,25.562817719680464,25.562817719680464,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-5.44%; 状态bottom_area; 底部未确认
13,78.70255747999093,71.2949962474197,001223,欧克科技,bottom_area,2025-06-13,38.46,2025-05-26,36.78,4.567699836867862,10.250135943447516,31.661092530657747,True,-1.8627,3.0932,1,1,1,100.0,27.200816534830324,27.200816534830324,15.43230016313214,4.567699836867862,历史1/1次成功; 当前距低点4.57%; 最新日涨幅-1.86%; 状态bottom_area; 底部已确认
14,69.27567230248617,59.360091478702834,300819,聚杰微纤,bottom_area,2025-06-13,21.36,2025-06-13,21.04,1.5209125475285186,3.9923954372623567,32.12903225806452,False,-2.8207,2.8614,1,2,1,50.0,26.54716175842936,26.54716175842936,18.479087452471482,1.5209125475285186,历史1/2次成功; 当前距低点1.52%; 最新日涨幅-2.82%; 状态bottom_area; 底部未确认
