rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.77444199507921,85.44307647922665,002103,广博股份,bottom_area,2023-11-29,7.26,2023-11-29,7.13,1.8232819074333786,2.6647966339410996,28.269617706237423,False,0.8333,14.049,2,2,2,100.0,39.6782754202944,51.366120218579226,8.176718092566622,1.8232819074333786,历史2/2次成功; 当前距低点1.82%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
2,82.93792314753843,76.6129043038486,000928,中钢国际,bottom_area,2023-11-29,6.02,2023-10-23,5.97,0.8375209380234475,7.705192629815745,31.06235565819862,True,-1.7945,1.453,3,3,3,100.0,16.57232280936585,18.798449612403097,9.162479061976553,0.8375209380234475,历史3/3次成功; 当前距低点0.84%; 最新日涨幅-1.79%; 状态bottom_area; 底部已确认
3,81.45095529443401,77.4082682860244,603326,我乐家居,bottom_area,2023-11-29,10.11,2023-11-02,9.88,2.327935222672051,9.00809716599189,30.909090909090907,True,-2.3188,1.9385,2,2,2,100.0,15.946024697401477,20.141843971631218,7.67206477732795,2.327935222672051,历史2/2次成功; 当前距低点2.33%; 最新日涨幅-2.32%; 状态bottom_area; 底部已确认
4,80.91386142699005,73.96736139987166,600048,保利发展,bottom_area,2023-11-29,10.35,2023-11-29,10.32,0.29069767441859845,4.457364341085262,30.691739422431162,False,-3.8997,0.749,2,2,2,100.0,31.721247836269217,31.987577639751546,9.709302325581403,0.29069767441859845,历史2/2次成功; 当前距低点0.29%; 最新日涨幅-3.90%; 状态bottom_area; 底部未确认
5,80.86983367954271,75.03610204645155,601022,宁波远洋,bottom_area,2023-11-29,10.38,2023-11-28,10.27,1.0710808179162727,2.629016553067182,29.22122674017919,False,-0.3839,6.4788,1,1,1,100.0,13.646055437100205,13.646055437100205,8.928919182083728,1.0710808179162727,历史1/1次成功; 当前距低点1.07%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
6,80.86967403549794,74.99386597938144,301448,开创电气,bottom_area,2023-11-29,38.8,2023-11-27,38.4,1.041666666666663,3.854166666666677,29.138217383281045,False,-2.4635,16.9794,1,1,1,100.0,13.058419243986243,13.058419243986243,8.958333333333337,1.041666666666663,历史1/1次成功; 当前距低点1.04%; 最新日涨幅-2.46%; 状态bottom_area; 底部未确认
7,78.78183514042381,76.80611513690219,605086,龙高股份,bottom_area,2023-11-29,27.99,2023-11-28,27.0,3.666666666666661,4.33333333333334,32.21190057745418,False,0.6835,9.7795,2,2,2,100.0,15.839328693022429,17.79249448123621,6.333333333333339,3.666666666666661,历史2/2次成功; 当前距低点3.67%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
8,78.70690160650042,72.30899089248928,688303,大全能源,bottom_area,2023-11-29,30.99,2023-11-29,30.82,0.5515898767034334,2.9850746268656656,27.34559170202735,False,-2.1162,1.3002,1,1,1,100.0,32.45492371705965,32.45492371705965,9.448410123296567,0.5515898767034334,历史1/1次成功; 当前距低点0.55%; 最新日涨幅-2.12%; 状态bottom_area; 底部未确认
9,78.49094547445442,73.62236943140958,600159,大龙地产,bottom_area,2023-11-29,3.72,2023-11-29,3.66,1.6393442622950833,3.825136612021849,30.812854442344044,False,-0.8,12.3056,1,1,1,100.0,13.01115241635688,13.01115241635688,8.360655737704917,1.6393442622950833,历史1/1次成功; 当前距低点1.64%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
10,72.39733177957734,68.52840018164443,002080,中材科技,bottom_area,2023-11-29,16.88,2023-10-26,16.53,2.117362371445843,9.074410163339381,27.244718309859145,True,-1.8034,0.4047,2,3,2,66.66666666666666,21.179138289646758,28.579356270810223,7.882637628554158,2.117362371445843,历史2/3次成功; 当前距低点2.12%; 最新日涨幅-1.80%; 状态bottom_area; 底部已确认
11,71.79962720625589,69.87212043561817,300683,海特生物,bottom_area,2023-11-29,37.7,2023-11-27,36.4,3.571428571428583,5.2197802197802154,29.51200619674671,False,-0.6064,1.5628,1,1,1,100.0,16.532137518684582,16.532137518684582,6.428571428571416,3.571428571428583,历史1/1次成功; 当前距低点3.57%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
