rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.80866772758372,82.7970873201219,605266,健之佳,bottom_area,2023-07-03,61.98,2023-07-03,60.68,2.1423862887277476,5.471324983520106,30.43677633841569,False,-2.178,1.1233,4,4,4,100.0,18.503914292586888,33.154615273148806,5.857613711272252,2.1423862887277476,历史4/4次成功; 当前距低点2.14%; 最新日涨幅-2.18%; 状态bottom_area; 底部未确认
2,84.95128193164827,81.62584119523252,688302,海创药业,bottom_area,2023-07-03,53.51,2023-07-03,52.5,1.92380952380952,4.152380952380952,29.85034740780332,False,0.7342,0.923,1,1,1,100.0,37.054445750097926,37.054445750097926,6.07619047619048,1.92380952380952,历史1/1次成功; 当前距低点1.92%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
3,82.32666206384653,80.13561240813057,002545,东方铁塔,bottom_area,2023-07-03,7.11,2023-06-26,6.93,2.5974025974026063,3.03030303030303,27.58620689655173,False,0.7082,0.6063,2,2,2,100.0,20.63274371079842,28.468653648509758,5.402597402597394,2.5974025974026063,历史2/2次成功; 当前距低点2.60%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
4,81.88921039744062,79.47238167288738,300661,圣邦股份,bottom_area,2023-07-03,83.47,2023-07-03,81.48,2.442317133038776,3.2400589101620034,27.145922746781114,False,1.6316,0.6879,1,1,1,100.0,31.832606108687024,31.832606108687024,5.557682866961224,2.442317133038776,历史1/1次成功; 当前距低点2.44%; 最新日涨幅1.63%; 状态bottom_area; 底部未确认
5,79.56679440206378,76.91029688970036,688236,春立医疗,bottom_area,2023-07-03,24.25,2023-06-28,23.72,2.2344013490725176,7.082630691399662,32.228571428571435,True,-1.0204,1.8532,1,1,1,100.0,28.788881535407025,28.788881535407025,5.765598650927482,2.2344013490725176,历史1/1次成功; 当前距低点2.23%; 最新日涨幅-1.02%; 状态bottom_area; 底部已确认
6,77.79955809460486,77.48895518447085,002299,圣农发展,bottom_area,2023-07-03,19.16,2023-06-26,18.46,3.7919826652220974,4.821235102925247,27.00672202451561,False,0.0522,0.4916,2,2,2,100.0,21.046643339662563,26.73830594184577,4.208017334777903,3.7919826652220974,历史2/2次成功; 当前距低点3.79%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
7,77.74012859749773,77.82098156535784,000792,盐湖股份,bottom_area,2023-07-03,19.25,2023-05-30,18.5,4.054054054054054,7.5675675675675595,29.49695121951219,True,0.4173,0.3389,2,2,2,100.0,16.850671013984325,24.904214559386965,3.945945945945946,4.054054054054054,历史2/2次成功; 当前距低点4.05%; 最新日涨幅0.42%; 状态bottom_area; 底部已确认
8,76.91887071487922,76.09548717296335,605178,时空科技,bottom_area,2023-07-03,22.55,2023-06-26,21.8,3.4403669724770642,4.1284403669724705,29.4041450777202,False,0.3114,3.311,2,2,2,100.0,9.244751990382023,9.557235421166304,4.559633027522936,3.4403669724770642,历史2/2次成功; 当前距低点3.44%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
9,76.87783725476562,73.2485155183261,002174,游族网络,confirmed_rebound,2023-07-03,15.71,2023-07-03,15.48,1.4857881136950932,8.268733850129205,32.549019607843135,False,-6.4881,8.1823,2,2,2,100.0,12.88232482554249,14.303030303030301,6.514211886304907,1.4857881136950932,历史2/2次成功; 当前距低点1.49%; 最新日涨幅-6.49%; 状态confirmed_rebound; 底部未确认
10,76.73010939325023,77.46309350382403,603335,迪生力,bottom_area,2023-07-03,6.51,2023-06-27,6.23,4.4943820224719,6.420545746388434,27.134502923976612,False,1.7188,5.0631,3,3,3,100.0,12.85099201645131,20.081135902636923,3.5056179775281007,4.4943820224719,历史3/3次成功; 当前距低点4.49%; 最新日涨幅1.72%; 状态bottom_area; 底部未确认
11,74.45332629747288,74.27068550121089,002041,登海种业,bottom_area,2023-07-03,15.29,2023-06-29,14.72,3.8722826086956417,4.483695652173914,30.56603773584905,False,0.131,0.4495,1,1,1,100.0,21.395106715252467,21.395106715252467,4.127717391304358,3.8722826086956417,历史1/1次成功; 当前距低点3.87%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
