rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.77613781325792,82.6732134218676,000411,英特集团,bottom_area,2023-08-22,11.66,2023-08-22,11.44,1.9230769230769287,5.419580419580428,27.594936708860768,False,-2.5898,6.4365,3,3,3,100.0,31.816283905822544,47.98426745329401,18.076923076923073,1.9230769230769287,历史3/3次成功; 当前距低点1.92%; 最新日涨幅-2.59%; 状态bottom_area; 底部未确认
2,92.86473452589594,81.68440177252585,002150,正泰电源,bottom_area,2023-08-22,13.94,2023-08-22,13.54,2.954209748892174,3.028064992614477,29.479166666666668,False,1.0877,1.2997,1,1,1,100.0,164.87025948103792,164.87025948103792,17.045790251107828,2.954209748892174,历史1/1次成功; 当前距低点2.95%; 最新日涨幅1.09%; 状态bottom_area; 底部未确认
3,91.54876278766301,79.15656763851027,603212,赛伍技术,bottom_area,2023-08-22,16.71,2023-08-22,16.38,2.0146520146520257,4.51770451770453,27.68211920529801,False,-1.4741,1.5686,2,2,2,100.0,30.698786193101522,32.01038575667657,17.98534798534798,2.0146520146520257,历史2/2次成功; 当前距低点2.01%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
4,89.95186968698208,79.58236872030275,688328,深科达,bottom_area,2023-08-22,22.41,2023-08-17,21.7,3.2718894009216632,5.898617511520743,31.04544010168414,False,0.6739,3.4867,2,2,2,100.0,25.92621803443088,29.170984455958543,16.728110599078338,3.2718894009216632,历史2/2次成功; 当前距低点3.27%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
5,89.24041624452934,76.74875663583262,002755,奥赛康,bottom_area,2023-08-22,7.68,2023-08-22,7.55,1.7218543046357602,3.4437086092715203,32.34767025089606,False,-1.5385,0.3474,1,1,1,100.0,30.831099195710454,30.831099195710454,18.27814569536424,1.7218543046357602,历史1/1次成功; 当前距低点1.72%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
6,88.11910893483342,77.04095675859719,002519,银河电子,bottom_area,2023-08-22,5.48,2023-08-17,5.34,2.621722846441958,4.494382022471914,28.03234501347709,False,1.8587,1.3542,1,1,1,100.0,20.959595959595962,20.959595959595962,17.37827715355804,2.621722846441958,历史1/1次成功; 当前距低点2.62%; 最新日涨幅1.86%; 状态bottom_area; 底部未确认
7,87.96493591817921,75.5819246942924,002219,新里程,bottom_area,2023-08-22,3.65,2023-08-22,3.59,1.6713091922005585,4.735376044568243,30.961538461538467,False,-1.6173,0.8216,1,1,1,100.0,23.938223938223942,23.938223938223942,18.32869080779944,1.6713091922005585,历史1/1次成功; 当前距低点1.67%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
8,85.43635393556464,75.5434153846154,002819,东方中科,bottom_area,2023-08-22,25.81,2023-08-22,25.0,3.239999999999995,3.920000000000002,28.57142857142857,False,1.0176,0.9093,1,1,1,100.0,20.487179487179493,20.487179487179493,16.760000000000005,3.239999999999995,历史1/1次成功; 当前距低点3.24%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
9,84.44027111418653,76.40834207519238,688300,联瑞新材,bottom_area,2023-08-22,42.2,2023-08-22,40.38,4.507181773155028,4.531946508172358,30.974358974358967,False,1.6623,0.5273,2,2,2,100.0,24.003852247235756,26.809910956252438,15.492818226844973,4.507181773155028,历史2/2次成功; 当前距低点4.51%; 最新日涨幅1.66%; 状态bottom_area; 底部未确认
10,82.36983079233939,72.44368691842318,688248,南网科技,bottom_area,2023-08-22,30.39,2023-08-22,29.52,2.947154471544719,3.31978319783198,31.31689157747789,False,1.0306,2.8004,2,3,2,66.66666666666666,39.12114218751869,49.406593406593416,17.052845528455283,2.947154471544719,历史2/3次成功; 当前距低点2.95%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
11,82.21783706077977,74.58150544522745,603015,弘讯科技,bottom_area,2023-08-22,8.79,2023-08-17,8.4,4.642857142857128,8.095238095238091,29.883138564273786,True,0.8028,1.5206,1,1,1,100.0,23.318385650224208,23.318385650224208,15.357142857142872,4.642857142857128,历史1/1次成功; 当前距低点4.64%; 最新日涨幅0.80%; 状态bottom_area; 底部已确认
