rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.49211825891398,76.447608825659,300624,万兴科技,bottom_area,2022-12-19,29.42,2022-12-19,29.31,0.37529853292392695,3.3094506994200015,30.031033659584633,False,-1.9333,1.5991,2,2,2,100.0,35.87790043400834,51.195680123425035,9.624701467076074,0.37529853292392695,历史2/2次成功; 当前距低点0.38%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
2,80.20619675749091,74.41812070282661,002047,宝鹰股份,bottom_area,2022-12-19,3.78,2022-12-19,3.74,1.069518716577529,6.684491978609625,30.86876155268022,False,-3.0769,1.9299,1,1,1,100.0,20.51948051948051,20.51948051948051,8.930481283422472,1.069518716577529,历史1/1次成功; 当前距低点1.07%; 最新日涨幅-3.08%; 状态bottom_area; 底部未确认
3,79.32489711439537,76.14675741990938,600246,万通发展,bottom_area,2022-12-19,8.29,2022-12-16,8.06,2.8535980148883207,5.086848635235733,30.696474634565778,False,0.2418,0.9898,1,1,1,100.0,18.99441340782122,18.99441340782122,7.14640198511168,2.8535980148883207,历史1/1次成功; 当前距低点2.85%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
4,78.86669435736673,73.28689655172411,002795,永和智控,confirmed_rebound,2022-12-19,8.8,2022-12-19,8.7,1.1494252873563382,10.344827586206902,29.268292682926838,False,-7.2708,7.2247,1,1,1,100.0,25.632183908045985,25.632183908045985,8.850574712643661,1.1494252873563382,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-7.27%; 状态confirmed_rebound; 底部未确认
5,77.99080161842234,77.28316199525025,300360,炬华科技,bottom_area,2022-12-19,13.87,2022-12-16,13.27,4.521477015825167,6.782215523737757,27.007700770077008,False,3.3532,4.7044,2,2,2,100.0,28.882417157697027,45.323741007194236,5.478522984174834,4.521477015825167,历史2/2次成功; 当前距低点4.52%; 最新日涨幅3.35%; 状态bottom_area; 底部未确认
6,76.9620858317427,71.06200733853582,000810,创维数字,bottom_area,2022-12-19,13.61,2022-12-19,13.5,0.8148148148148106,3.1851851851851833,27.066450567260947,False,-1.0901,1.0825,2,2,2,100.0,12.310672668352654,12.689901697944595,9.18518518518519,0.8148148148148106,历史2/2次成功; 当前距低点0.81%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
7,76.67566849866745,70.77898241410188,300667,必创科技,bottom_area,2022-12-19,15.1,2022-12-19,14.98,0.8010680907877117,3.8050734312416576,27.140077821011666,False,-2.9563,2.236,1,1,1,100.0,27.287191726332534,27.287191726332534,9.19893190921229,0.8010680907877117,历史1/1次成功; 当前距低点0.80%; 最新日涨幅-2.96%; 状态bottom_area; 底部未确认
8,76.08139033064204,70.14962091503267,300365,恒华科技,bottom_area,2022-12-19,8.16,2022-12-19,8.1,0.7407407407407469,4.44444444444446,28.822495606326896,False,-3.66,2.6503,2,2,2,100.0,16.712418300653603,19.111111111111114,9.259259259259252,0.7407407407407469,历史2/2次成功; 当前距低点0.74%; 最新日涨幅-3.66%; 状态bottom_area; 底部未确认
9,74.84066584054082,68.80694973268086,600158,中体产业,bottom_area,2022-12-19,8.53,2022-12-19,8.48,0.5896226415094213,2.8301886792452855,28.01358234295415,False,-1.8412,2.414,1,1,1,100.0,14.092953523238386,14.092953523238386,9.41037735849058,0.5896226415094213,历史1/1次成功; 当前距低点0.59%; 最新日涨幅-1.84%; 状态bottom_area; 底部未确认
10,72.02109503658671,66.3654364359187,002362,汉王科技,bottom_area,2022-12-19,17.05,2022-12-19,16.93,0.7088009450679327,6.083874778499712,27.494646680942193,False,-3.6723,9.703,1,1,1,100.0,12.642487046632112,12.642487046632112,9.291199054932067,0.7088009450679327,历史1/1次成功; 当前距低点0.71%; 最新日涨幅-3.67%; 状态bottom_area; 底部未确认
11,56.8489579894237,52.27415971648941,688115,思林杰,bottom_area,2022-12-19,40.37,2022-12-19,40.13,0.5980563169698352,2.6414153999501497,27.92744252873563,False,-2.4879,1.4833,1,2,1,50.0,16.977032898820603,16.977032898820603,9.401943683030165,0.5980563169698352,历史1/2次成功; 当前距低点0.60%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
