rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.57803992076134,78.56261726076661,300612,宣亚国际,bottom_area,2022-04-11,21.6,2022-04-11,21.3,1.4084507042253553,7.276995305164323,28.2103134479272,False,-6.1278,14.8806,3,3,3,100.0,13.623036916131237,17.015706806282722,6.591549295774644,1.4084507042253553,历史3/3次成功; 当前距低点1.41%; 最新日涨幅-6.13%; 状态bottom_area; 底部未确认
2,82.5450021025503,78.01303370786519,002657,中科金财,confirmed_rebound,2022-04-11,17.09,2022-04-11,16.91,1.064458900059135,9.402720283855706,31.70436187399031,False,-6.9172,23.1351,1,1,1,100.0,56.540447504302946,56.540447504302946,6.935541099940864,1.064458900059135,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-6.92%; 状态confirmed_rebound; 底部未确认
3,81.44846825962779,79.22502437941645,688221,前沿生物,bottom_area,2022-04-11,16.02,2022-04-08,15.62,2.5608194622279155,6.145966709346985,28.348623853211013,False,0.3131,3.1017,2,2,2,100.0,15.288670716645669,15.615615615615624,5.439180537772084,2.5608194622279155,历史2/2次成功; 当前距低点2.56%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
4,79.38816670522317,75.24241558189402,300746,汉嘉数智,confirmed_rebound,2022-04-11,14.2,2022-04-11,14.03,1.2116892373485384,9.052031361368506,27.680412371134018,False,-4.5699,6.1717,1,1,1,100.0,36.90896259703598,36.90896259703598,6.788310762651461,1.2116892373485384,历史1/1次成功; 当前距低点1.21%; 最新日涨幅-4.57%; 状态confirmed_rebound; 底部未确认
5,78.63527897381027,74.40259785158665,002474,榕基软件,bottom_area,2022-04-11,6.3,2022-04-11,6.23,1.1235955056179678,6.420545746388434,31.007751937984484,False,-4.8338,2.9832,1,1,1,100.0,21.0989010989011,21.0989010989011,6.876404494382032,1.1235955056179678,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-4.83%; 状态bottom_area; 底部未确认
6,78.42230270846028,74.81733731580577,603215,比依股份,bottom_area,2022-04-11,15.69,2022-04-11,15.45,1.5533980582524287,6.6019417475728135,31.485587583148565,False,-3.2676,11.1841,1,1,1,100.0,28.59723058398555,28.59723058398555,6.446601941747572,1.5533980582524287,历史1/1次成功; 当前距低点1.55%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
7,78.00691876975588,73.89582414430491,000788,北大医药,bottom_area,2022-04-11,9.39,2022-04-11,9.28,1.18534482758622,6.896551724137938,28.00620636152057,False,-3.4943,5.994,1,1,1,100.0,19.13123844731978,19.13123844731978,6.81465517241378,1.18534482758622,历史1/1次成功; 当前距低点1.19%; 最新日涨幅-3.49%; 状态bottom_area; 底部未确认
8,76.94464320658645,72.81302609165317,688225,亚信安全,bottom_area,2022-04-11,20.57,2022-04-11,20.34,1.130776794493611,7.522123893805316,28.15259625574002,False,-5.7287,4.7004,1,1,1,100.0,12.640845070422536,12.640845070422536,6.869223205506389,1.130776794493611,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-5.73%; 状态bottom_area; 底部未确认
9,76.59404591473387,70.92041288401283,688037,芯源微,bottom_area,2022-04-11,129.49,2022-04-11,129.49,0.0,6.865395011197766,30.0054054054054,False,-6.0237,2.668,2,2,2,100.0,24.034477871036746,27.322614278658854,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-6.02%; 状态bottom_area; 底部未确认
10,76.17155105004927,72.88441501706487,002613,北玻股份,bottom_area,2022-04-11,5.96,2022-04-11,5.86,1.7064846416382191,6.484641638225254,30.071599045346066,False,-0.9967,14.4468,1,1,1,100.0,9.866666666666669,9.866666666666669,6.293515358361781,1.7064846416382191,历史1/1次成功; 当前距低点1.71%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
11,75.29001446266072,71.5168166523763,300500,启迪设计,bottom_area,2022-04-11,21.38,2022-04-08,21.1,1.327014218009467,6.11374407582938,27.739726027397253,False,-4.1256,3.7831,1,1,1,100.0,8.077468115257426,8.077468115257426,6.6729857819905325,1.327014218009467,历史1/1次成功; 当前距低点1.33%; 最新日涨幅-4.13%; 状态bottom_area; 底部未确认
12,74.69295682668044,71.80746246955763,605589,圣泉集团,confirmed_rebound,2022-04-11,26.12,2022-04-11,25.62,1.9516003122560501,8.352849336455897,27.215909090909097,False,-6.5808,4.5578,2,2,2,100.0,10.844683771513038,11.515151515151507,6.0483996877439505,1.9516003122560501,历史2/2次成功; 当前距低点1.95%; 最新日涨幅-6.58%; 状态confirmed_rebound; 底部未确认
13,74.63273574235508,71.15221399191613,002196,方正电机,confirmed_rebound,2022-04-11,8.03,2022-04-11,7.91,1.5170670037926577,8.975979772439938,29.626334519572957,False,-6.8445,3.9047,1,1,1,100.0,18.661971830985923,18.661971830985923,6.482932996207342,1.5170670037926577,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-6.84%; 状态confirmed_rebound; 底部未确认
14,74.4762344760426,71.11452938373586,300709,精研科技,bottom_area,2022-04-11,35.59,2022-04-11,35.03,1.5986297459320649,4.738795318298592,31.11111111111111,False,-3.0509,2.4392,1,1,1,100.0,9.244114002478307,9.244114002478307,6.401370254067936,1.5986297459320649,历史1/1次成功; 当前距低点1.60%; 最新日涨幅-3.05%; 状态bottom_area; 底部未确认
15,73.63125285485495,69.11936822623869,300435,中泰股份,bottom_area,2022-04-11,15.54,2022-04-11,15.43,0.7128969539857384,6.416072585871692,29.12264584290308,False,-5.2439,2.2716,1,1,1,100.0,27.498781082398814,27.498781082398814,7.287103046014262,0.7128969539857384,历史1/1次成功; 当前距低点0.71%; 最新日涨幅-5.24%; 状态bottom_area; 底部未确认
16,73.2027365111908,68.93666860621764,603348,文灿股份,confirmed_rebound,2022-04-11,31.0,2022-04-11,30.73,0.8786202408070275,8.851285388870817,27.540674369252528,False,-7.3244,1.6912,2,2,2,100.0,22.096358899234726,31.539888682745836,7.121379759192973,0.8786202408070275,历史2/2次成功; 当前距低点0.88%; 最新日涨幅-7.32%; 状态confirmed_rebound; 底部未确认
17,73.03261217180828,68.17734490622492,300671,富满微,bottom_area,2022-04-11,73.4,2022-04-11,73.09,0.42413462854015904,6.977698727596106,30.766316188311066,False,-6.1381,4.5052,1,1,1,100.0,18.894472361809044,18.894472361809044,7.575865371459842,0.42413462854015904,历史1/1次成功; 当前距低点0.42%; 最新日涨幅-6.14%; 状态bottom_area; 底部未确认
18,72.64825272088449,68.15439434589358,603063,禾望电气,bottom_area,2022-04-11,29.58,2022-04-11,29.38,0.6807351940095279,7.556160653505795,30.197196483725357,False,-5.7361,2.0566,1,1,1,100.0,21.916508538899436,21.916508538899436,7.319264805990472,0.6807351940095279,历史1/1次成功; 当前距低点0.68%; 最新日涨幅-5.74%; 状态bottom_area; 底部未确认
19,72.6398603769686,68.32902130901759,603351,威尔药业,confirmed_rebound,2022-04-11,24.6,2022-04-11,24.4,0.8196721311475527,8.196721311475411,30.701505254189154,False,-5.8914,1.4225,2,2,2,100.0,18.106848215236642,22.528735632183903,7.180327868852447,0.8196721311475527,历史2/2次成功; 当前距低点0.82%; 最新日涨幅-5.89%; 状态confirmed_rebound; 底部未确认
20,72.57842170253491,68.00621794264127,300471,厚普股份,bottom_area,2022-04-11,17.92,2022-04-11,17.81,0.6176305446378607,5.446378439079183,28.731492597038816,False,-4.4776,2.3769,1,1,1,100.0,20.346320346320343,20.346320346320343,7.38236945536214,0.6176305446378607,历史1/1次成功; 当前距低点0.62%; 最新日涨幅-4.48%; 状态bottom_area; 底部未确认
21,71.97194392056454,66.64068881533754,603260,合盛硅业,bottom_area,2022-04-11,91.87,2022-04-11,91.87,0.0,4.495482747360395,30.189969604863215,False,-5.4835,0.79,1,1,1,100.0,17.691875351277094,17.691875351277094,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-5.48%; 状态bottom_area; 底部未确认
22,71.47028754502597,67.2269974126823,002349,精华制药,bottom_area,2022-04-11,17.25,2022-04-11,17.11,0.8182349503214528,6.136762127410876,29.70419063270337,False,-5.0633,7.2263,1,1,1,100.0,18.615984405458093,18.615984405458093,7.181765049678547,0.8182349503214528,历史1/1次成功; 当前距低点0.82%; 最新日涨幅-5.06%; 状态bottom_area; 底部未确认
23,70.9177979159215,65.98489488687825,688148,芳源股份,confirmed_rebound,2022-04-11,19.84,2022-04-11,19.79,0.25265285497726486,9.70186963112684,28.915229885057474,False,-8.6135,4.9167,1,1,1,100.0,15.220125786163516,15.220125786163516,7.747347145022736,0.25265285497726486,历史1/1次成功; 当前距低点0.25%; 最新日涨幅-8.61%; 状态confirmed_rebound; 底部未确认
24,70.4793951814241,66.33664035596568,603305,旭升集团,bottom_area,2022-04-11,27.26,2022-04-11,27.03,0.850906400295969,6.03033666296707,28.18809776833156,False,-5.0174,0.8488,1,1,1,100.0,14.229607250755288,14.229607250755288,7.149093599704032,0.850906400295969,历史1/1次成功; 当前距低点0.85%; 最新日涨幅-5.02%; 状态bottom_area; 底部未确认
