rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.55668989602,81.4396832493777,600973,宝胜股份,bottom_area,2024-07-12,3.39,2024-07-09,3.33,1.8018018018018036,4.504504504504501,28.077753779697623,False,-1.4535,0.7415,2,2,2,100.0,40.36446966390223,46.551724137931025,8.198198198198197,1.8018018018018036,历史2/2次成功; 当前距低点1.80%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
2,86.3907127292916,80.50291489077865,601717,中创智领,bottom_area,2024-07-12,13.29,2024-07-12,13.12,1.2957317073170727,4.115853658536593,27.513812154696144,False,-2.3512,1.4737,2,2,2,100.0,29.124640771298786,35.43478260869567,8.704268292682928,1.2957317073170727,历史2/2次成功; 当前距低点1.30%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
3,86.16151737814306,81.68755294018814,000065,北方国际,bottom_area,2024-07-12,9.75,2024-07-09,9.54,2.2012578616352294,4.088050314465415,28.000000000000007,False,-1.0152,0.7335,3,3,3,100.0,29.926993896325044,41.48061104582843,7.798742138364771,2.2012578616352294,历史3/3次成功; 当前距低点2.20%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
4,84.57918250189476,79.30144151377651,001336,楚环科技,bottom_area,2024-07-12,17.58,2024-07-11,17.3,1.6184971098265757,5.086705202312133,27.493713327745173,False,-2.6039,10.3909,2,2,2,100.0,26.62158561387693,40.95427435387674,8.381502890173426,1.6184971098265757,历史2/2次成功; 当前距低点1.62%; 最新日涨幅-2.60%; 状态bottom_area; 底部未确认
5,84.05580437761589,78.80532719872753,000923,河钢资源,bottom_area,2024-07-12,16.36,2024-07-12,16.1,1.6149068322981242,7.4534161490683175,27.050294517444488,False,-4.9942,2.8359,3,3,3,100.0,17.458681593372262,27.519999999999996,8.385093167701877,1.6149068322981242,历史3/3次成功; 当前距低点1.61%; 最新日涨幅-4.99%; 状态bottom_area; 底部未确认
6,83.5543914881716,80.87570569446943,000620,盈新发展,bottom_area,2024-07-12,1.57,2024-07-10,1.52,3.2894736842105288,8.552631578947361,30.59360730593607,True,0.641,1.1569,5,6,5,83.33333333333334,26.67942129643067,58.4192439862543,6.710526315789473,3.2894736842105288,历史5/6次成功; 当前距低点3.29%; 最新日涨幅0.64%; 状态bottom_area; 底部已确认
7,82.75160992457542,80.65406298454121,603215,比依股份,bottom_area,2024-07-12,11.92,2024-07-09,11.5,3.652173913043478,6.956521739130441,32.70918665886483,False,-1.7312,1.3126,4,4,4,100.0,25.48935218430281,36.01562499999999,6.347826086956523,3.652173913043478,历史4/4次成功; 当前距低点3.65%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
8,82.30452051847368,79.60690806431927,603368,柳药集团,bottom_area,2024-07-12,17.47,2024-07-09,16.92,3.2505910165484466,5.319148936170204,29.79253112033195,False,-1.2994,1.3622,3,3,3,100.0,31.603524634675978,42.85714285714285,6.749408983451555,3.2505910165484466,历史3/3次成功; 当前距低点3.25%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
9,81.212166948753,76.90359380845857,600161,天坛生物,bottom_area,2024-07-12,23.4,2024-07-05,22.91,2.1388040157136556,5.543430816237449,29.42082563154652,False,-1.5566,0.3849,1,1,1,100.0,36.77455357142857,36.77455357142857,7.861195984286345,2.1388040157136556,历史1/1次成功; 当前距低点2.14%; 最新日涨幅-1.56%; 状态bottom_area; 底部未确认
10,79.75597912329972,75.37593764685622,002698,博实股份,bottom_area,2024-07-12,11.53,2024-07-09,11.3,2.035398230088483,5.044247787610606,28.84130982367758,False,-1.3687,0.7443,2,2,2,100.0,10.627126943322317,11.142857142857146,7.964601769911517,2.035398230088483,历史2/2次成功; 当前距低点2.04%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
11,79.31794201067365,78.65486322188451,600094,大名城,bottom_area,2024-07-12,3.44,2024-07-09,3.29,4.559270516717322,9.118541033434644,30.000000000000004,True,-2.5496,0.8487,2,2,2,100.0,51.71595225176342,87.28070175438596,5.440729483282679,4.559270516717322,历史2/2次成功; 当前距低点4.56%; 最新日涨幅-2.55%; 状态bottom_area; 底部已确认
12,79.02143956298482,78.8126642933336,605567,春雪食品,bottom_area,2024-07-12,7.55,2024-07-09,7.2,4.861111111111106,7.638888888888887,29.961089494163417,True,0.3989,2.2825,2,2,2,100.0,32.07525605734906,36.46616541353383,5.138888888888895,4.861111111111106,历史2/2次成功; 当前距低点4.86%; 最新日涨幅0.40%; 状态bottom_area; 底部已确认
13,78.92365313719853,76.1316650324107,002803,吉宏股份,bottom_area,2024-07-12,10.28,2024-07-10,9.97,3.1093279839518426,6.018054162487458,32.40677966101694,False,-1.8147,1.9299,2,2,2,100.0,27.854477611940297,41.25000000000001,6.890672016048158,3.1093279839518426,历史2/2次成功; 当前距低点3.11%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
14,78.89988654678712,77.29563746727757,601886,江河集团,bottom_area,2024-07-12,4.77,2024-07-09,4.59,3.921568627450974,5.228758169934646,27.488151658767773,False,-0.2092,0.8112,3,3,3,100.0,27.40222547239673,33.5540838852097,6.078431372549026,3.921568627450974,历史3/3次成功; 当前距低点3.92%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
15,78.47626786917726,75.60431858597835,002572,索菲亚,bottom_area,2024-07-12,14.9,2024-07-09,14.46,3.04287690179806,5.463347164591972,32.869080779944284,False,0.472,1.3734,1,1,1,100.0,18.398268398268392,18.398268398268392,6.957123098201941,3.04287690179806,历史1/1次成功; 当前距低点3.04%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
16,78.4431545128296,77.64934154167858,603113,金能科技,bottom_area,2024-07-12,5.38,2024-07-09,5.15,4.466019417475719,6.407766990291264,28.867403314917123,False,-0.5545,0.6639,5,5,5,100.0,19.31110652431836,31.03448275862069,5.533980582524282,4.466019417475719,历史5/5次成功; 当前距低点4.47%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
17,78.00686781920764,73.99223938523639,600970,中材国际,bottom_area,2024-07-12,10.1,2024-07-12,9.88,2.2267206477732677,3.947368421052619,27.03101920236336,False,-1.8465,1.3501,1,1,1,100.0,22.19979818365287,22.19979818365287,7.773279352226734,2.2267206477732677,历史1/1次成功; 当前距低点2.23%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
18,77.77669939820116,74.73957870862795,688215,瑞晟智能,bottom_area,2024-07-12,16.98,2024-07-10,16.5,2.9090909090909114,4.666666666666664,31.19266055045872,False,-0.9335,0.858,2,2,2,100.0,17.915623555673264,18.13676907829534,7.090909090909089,2.9090909090909114,历史2/2次成功; 当前距低点2.91%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
19,77.35872279113259,75.81191516715754,002299,圣农发展,bottom_area,2024-07-12,12.4,2024-07-10,11.93,3.9396479463537353,6.370494551550711,31.436781609195396,False,-1.7433,0.6006,3,3,3,100.0,19.64684131636587,26.73830594184577,6.060352053646265,3.9396479463537353,历史3/3次成功; 当前距低点3.94%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
20,76.63114488204039,70.78300425465571,603229,奥翔药业,bottom_area,2024-07-12,7.25,2024-07-12,7.19,0.8344923504867816,1.947148817802499,30.598455598455594,False,-0.5487,0.7998,3,4,3,75.0,31.88519792347079,43.052109181141425,9.165507649513218,0.8344923504867816,历史3/4次成功; 当前距低点0.83%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
21,76.57738399338685,73.62818859390713,603317,天味食品,bottom_area,2024-07-12,10.86,2024-07-09,10.55,2.9383886255924048,6.16113744075828,27.98634812286689,False,-1.0929,0.5986,2,2,2,100.0,12.299541184181786,14.347826086956525,7.061611374407597,2.9383886255924048,历史2/2次成功; 当前距低点2.94%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
22,76.41789077990629,76.27174133543122,688102,斯瑞新材,bottom_area,2024-07-12,8.35,2024-07-05,7.96,4.899497487437182,9.798994974874375,31.90761334473909,True,-2.3392,1.3102,3,3,3,100.0,24.691374230042936,37.1943371943372,5.1005025125628185,4.899497487437182,历史3/3次成功; 当前距低点4.90%; 最新日涨幅-2.34%; 状态bottom_area; 底部已确认
23,76.0808996414697,72.79714493349145,600389,江山股份,bottom_area,2024-07-12,13.39,2024-07-09,13.04,2.6840490797546126,5.061349693251535,28.74316939890711,False,-0.7413,0.8043,1,1,1,100.0,21.380520620064356,21.380520620064356,7.315950920245388,2.6840490797546126,历史1/1次成功; 当前距低点2.68%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
24,76.0301423746889,72.42488591259398,002557,洽洽食品,bottom_area,2024-07-12,27.18,2024-07-09,26.53,2.4500565397662966,4.033169996230683,31.001300390117038,False,-0.8029,0.6374,1,1,1,100.0,16.510832383124292,16.510832383124292,7.549943460233704,2.4500565397662966,历史1/1次成功; 当前距低点2.45%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
25,75.90892873636692,73.48709723698046,000568,泸州老窖,bottom_area,2024-07-12,136.88,2024-07-09,132.51,3.2978643121273903,5.048675571654968,32.88933907318308,False,0.0219,0.7459,1,1,1,100.0,10.141010046402663,10.141010046402663,6.70213568787261,3.2978643121273903,历史1/1次成功; 当前距低点3.30%; 最新日涨幅0.02%; 状态bottom_area; 底部未确认
26,75.83451222453456,69.79000098120981,600295,鄂尔多斯,bottom_area,2024-07-12,9.41,2024-07-12,9.35,0.6417112299465294,3.957219251336909,30.586488492947296,False,-2.8896,0.4948,1,1,1,100.0,20.016680567139286,20.016680567139286,9.358288770053472,0.6417112299465294,历史1/1次成功; 当前距低点0.64%; 最新日涨幅-2.89%; 状态bottom_area; 底部未确认
27,75.7812919964373,73.91491971877741,000657,中钨高新,bottom_area,2024-07-12,8.99,2024-07-09,8.67,3.6908881199538675,7.6124567474048455,28.465346534653463,True,-2.3887,1.3848,2,2,2,100.0,13.87174533479693,15.120000000000006,6.309111880046133,3.6908881199538675,历史2/2次成功; 当前距低点3.69%; 最新日涨幅-2.39%; 状态bottom_area; 底部已确认
28,75.53735265893643,71.94033586565374,000068,华控赛格,bottom_area,2024-07-12,2.52,2024-07-10,2.46,2.4390243902439046,6.504065040650413,29.914529914529915,False,-1.9455,0.7806,1,1,1,100.0,13.7704918032787,13.7704918032787,7.560975609756096,2.4390243902439046,历史1/1次成功; 当前距低点2.44%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
29,75.39938876910763,72.3799134124894,300492,华图山鼎,bottom_area,2024-07-12,81.07,2024-07-11,78.82,2.8546054300938852,9.071301700076132,30.859649122807024,True,-2.0894,0.5534,1,1,1,100.0,12.034482758620696,12.034482758620696,7.1453945699061165,2.8546054300938852,历史1/1次成功; 当前距低点2.85%; 最新日涨幅-2.09%; 状态bottom_area; 底部已确认
30,75.1950581803032,74.15269818798107,600129,太极集团,bottom_area,2024-07-12,28.1,2024-07-09,26.95,4.267161410018561,7.569573283858995,30.2355682112348,True,-1.7483,1.3765,2,2,2,100.0,22.21411937001825,29.540598290598297,5.732838589981439,4.267161410018561,历史2/2次成功; 当前距低点4.27%; 最新日涨幅-1.75%; 状态bottom_area; 底部已确认
31,74.7715136637001,73.80317414477926,605580,恒盛能源,bottom_area,2024-07-12,8.46,2024-07-09,8.11,4.315659679408156,7.274969173859431,28.859649122807024,True,-1.5134,1.1214,2,2,2,100.0,20.929452762526086,27.66233766233766,5.684340320591845,4.315659679408156,历史2/2次成功; 当前距低点4.32%; 最新日涨幅-1.51%; 状态bottom_area; 底部已确认
32,74.08821317341958,72.03209845384848,000928,中钢国际,bottom_area,2024-07-12,5.29,2024-07-09,5.11,3.5225048923679,5.479452054794508,28.33099579242636,False,-1.306,0.9038,4,5,4,80.0,20.878546281974685,33.7972166998012,6.4774951076321,3.5225048923679,历史4/5次成功; 当前距低点3.52%; 最新日涨幅-1.31%; 状态bottom_area; 底部未确认
33,73.96477035495145,72.37969545996233,603325,博隆技术,bottom_area,2024-07-12,62.65,2024-07-09,60.32,3.8627320954907134,6.26657824933686,30.41070604522382,False,-1.4162,1.0382,1,1,1,100.0,33.584541062801925,33.584541062801925,6.1372679045092875,3.8627320954907134,历史1/1次成功; 当前距低点3.86%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
34,73.80419251870319,73.43700748129673,002687,乔治白,bottom_area,2024-07-12,4.2,2024-07-09,4.01,4.738154613466344,6.733167082294276,31.45299145299145,False,-0.9434,0.9991,1,1,1,100.0,64.00000000000001,64.00000000000001,5.261845386533656,4.738154613466344,历史1/1次成功; 当前距低点4.74%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
35,72.98125824167661,72.20281204013376,600976,健民集团,bottom_area,2024-07-12,46.84,2024-07-10,44.85,4.437012263099224,5.462653288740236,32.859281437125745,False,0.8613,1.3703,1,1,1,100.0,17.200000000000006,17.200000000000006,5.5629877369007765,4.437012263099224,历史1/1次成功; 当前距低点4.44%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
36,72.03782124870224,67.11704193527723,002531,天顺风能,bottom_area,2024-07-12,7.87,2024-07-10,7.77,1.287001287001294,7.335907335907339,30.810329474621557,False,-1.8703,1.1048,2,3,2,66.66666666666666,12.606119370825263,15.128205128205142,8.712998712998706,1.287001287001294,历史2/3次成功; 当前距低点1.29%; 最新日涨幅-1.87%; 状态bottom_area; 底部未确认
37,71.81903689854157,69.55375408210602,601933,永辉超市,bottom_area,2024-07-12,2.18,2024-07-09,2.11,3.31753554502371,5.6872037914692,31.27035830618893,False,-0.4566,1.1326,1,1,1,100.0,11.70825335892515,11.70825335892515,6.682464454976291,3.31753554502371,历史1/1次成功; 当前距低点3.32%; 最新日涨幅-0.46%; 状态bottom_area; 底部未确认
38,71.62286560825225,70.32063168810221,002367,康力电梯,bottom_area,2024-07-12,5.67,2024-07-09,5.45,4.036697247706417,5.321100917431193,29.036458333333325,False,-0.3515,0.5572,1,1,1,100.0,24.646781789638936,24.646781789638936,5.9633027522935835,4.036697247706417,历史1/1次成功; 当前距低点4.04%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
39,71.37823459021728,68.50191124511838,002044,美年健康,bottom_area,2024-07-12,3.62,2024-07-09,3.52,2.8409090909090935,4.261363636363634,28.016359918200408,False,1.1173,0.9983,2,3,2,66.66666666666666,16.62643712755071,18.108108108108105,7.1590909090909065,2.8409090909090935,历史2/3次成功; 当前距低点2.84%; 最新日涨幅1.12%; 状态bottom_area; 底部未确认
40,71.36259913367003,70.33333087693441,000629,钒钛股份,bottom_area,2024-07-12,2.46,2024-07-10,2.36,4.237288135593224,6.779661016949159,28.484848484848484,False,-1.6,0.5412,1,1,1,100.0,27.173913043478265,27.173913043478265,5.762711864406776,4.237288135593224,历史1/1次成功; 当前距低点4.24%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
41,70.84831800719162,69.1303665521191,002320,海峡股份,bottom_area,2024-07-12,5.03,2024-07-09,4.85,3.7113402061855796,4.536082474226818,27.28635682158921,False,-0.1984,0.4078,1,1,1,100.0,14.259259259259249,14.259259259259249,6.288659793814421,3.7113402061855796,历史1/1次成功; 当前距低点3.71%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
42,70.38399047480364,68.9289605385691,603187,海容冷链,bottom_area,2024-07-12,11.18,2024-07-09,10.76,3.9033457249070627,5.297397769516731,30.175210902011685,False,-0.9743,0.6892,1,1,1,100.0,15.530047265361235,15.530047265361235,6.096654275092938,3.9033457249070627,历史1/1次成功; 当前距低点3.90%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
43,70.13674766009757,67.64564756811812,002043,兔宝宝,bottom_area,2024-07-12,9.64,2024-07-11,9.35,3.101604278074876,3.957219251336909,28.076923076923077,False,1.367,1.4383,2,3,2,66.66666666666666,15.218487394957986,15.96638655462185,6.898395721925124,3.101604278074876,历史2/3次成功; 当前距低点3.10%; 最新日涨幅1.37%; 状态bottom_area; 底部未确认
44,69.42125681262523,69.42125681262522,002706,良信股份,bottom_area,2024-07-12,6.51,2024-07-08,6.2,4.999999999999993,5.806451612903216,29.943502824858754,False,0.0,1.1844,3,4,3,75.0,13.31320867002797,14.727153188691638,5.000000000000008,4.999999999999993,历史3/4次成功; 当前距低点5.00%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
45,68.01119455253914,67.78430149314786,688186,广大特材,bottom_area,2024-07-12,9.56,2024-07-09,9.12,4.8245614035087865,8.114035087719301,29.792147806004625,True,-1.7472,1.1228,1,1,1,100.0,11.474739210472489,11.474739210472489,5.175438596491214,4.8245614035087865,历史1/1次成功; 当前距低点4.82%; 最新日涨幅-1.75%; 状态bottom_area; 底部已确认
