rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.54558944916708,75.18644300565464,002603,以岭药业,bottom_area,2022-04-20,29.27,2022-04-19,29.15,0.4116638078902264,16.295025728987994,27.10677669417355,True,-9.6884,10.4659,2,2,2,100.0,30.564712299163222,39.661898569570866,19.588336192109775,0.4116638078902264,历史2/2次成功; 当前距低点0.41%; 最新日涨幅-9.69%; 状态bottom_area; 底部已确认
2,86.63089768548559,76.24402985074626,000889,中嘉博创,bottom_area,2022-04-20,3.45,2022-04-18,3.35,2.9850746268656745,8.358208955223875,32.86573146292585,True,-1.9886,3.0404,1,1,1,100.0,34.408602150537625,34.408602150537625,17.014925373134325,2.9850746268656745,历史1/1次成功; 当前距低点2.99%; 最新日涨幅-1.99%; 状态bottom_area; 底部已确认
3,86.52609152649818,74.75144942410768,002825,纳尔股份,bottom_area,2022-04-20,14.5,2022-04-20,14.22,1.969057665260192,6.39943741209564,32.70231897775674,False,-2.815,4.6809,1,1,1,100.0,23.123123123123136,23.123123123123136,18.03094233473981,1.969057665260192,历史1/1次成功; 当前距低点1.97%; 最新日涨幅-2.81%; 状态bottom_area; 底部未确认
4,86.35282308779783,72.85999009301433,600338,西藏珠峰,bottom_area,2022-04-20,22.28,2022-04-20,22.13,0.677812923633087,7.6818798011748735,27.442622950819672,False,-7.5135,4.249,2,2,2,100.0,30.512922359665453,31.213191990577155,19.322187076366916,0.677812923633087,历史2/2次成功; 当前距低点0.68%; 最新日涨幅-7.51%; 状态bottom_area; 底部未确认
5,86.31113664675168,74.71574064449062,002235,安妮股份,bottom_area,2022-04-20,4.91,2022-04-18,4.81,2.07900207900209,6.6528066528066585,28.101644245142015,False,-2.1912,6.0892,1,1,1,100.0,24.27884615384615,24.27884615384615,17.920997920997912,2.07900207900209,历史1/1次成功; 当前距低点2.08%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
6,83.04968172127828,69.29082587355263,300663,科蓝软件,bottom_area,2022-04-20,15.35,2022-04-20,15.34,0.06518904823989431,6.779661016949147,27.811764705882354,False,-3.0322,3.5941,1,1,1,100.0,20.480951094298856,20.480951094298856,19.934810951760106,0.06518904823989431,历史1/1次成功; 当前距低点0.07%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
7,82.29768082368085,69.08199485199486,002482,广田集团,bottom_area,2022-04-20,2.53,2022-04-20,2.52,0.39682539682538837,5.55555555555556,31.521739130434785,False,-4.5283,2.4614,1,1,1,100.0,23.423423423423422,23.423423423423422,19.603174603174615,0.39682539682538837,历史1/1次成功; 当前距低点0.40%; 最新日涨幅-4.53%; 状态bottom_area; 底部未确认
8,81.53299087563936,73.84235550931636,002759,天际股份,bottom_area,2022-04-20,24.1,2022-04-18,23.05,4.555314533622563,8.45986984815618,28.61567048621864,True,-1.753,2.0777,2,2,2,100.0,24.07780992460108,27.166666666666668,15.44468546637744,4.555314533622563,历史2/2次成功; 当前距低点4.56%; 最新日涨幅-1.75%; 状态bottom_area; 底部已确认
9,68.27711425656162,62.118827515858975,300724,捷佳伟创,bottom_area,2022-04-20,59.11,2022-04-15,56.4,4.804964539007093,10.301418439716317,31.94980694980695,True,-3.6198,2.4697,2,3,2,66.66666666666666,29.87892472112087,30.55368319691865,15.195035460992909,4.804964539007093,历史2/3次成功; 当前距低点4.80%; 最新日涨幅-3.62%; 状态bottom_area; 底部已确认
10,64.70103988637337,58.09751428063807,688288,鸿泉技术,bottom_area,2022-04-20,20.64,2022-04-18,19.83,4.084720121028757,9.329299041855782,30.51857042747022,True,-0.1934,1.6367,1,2,1,50.0,41.992882562277565,41.992882562277565,15.915279878971244,4.084720121028757,历史1/2次成功; 当前距低点4.08%; 最新日涨幅-0.19%; 状态bottom_area; 底部已确认
11,62.77930191548829,53.1878309887766,300339,润和软件,bottom_area,2022-04-20,15.66,2022-04-18,15.52,0.9020618556701068,5.412371134020618,30.403587443946194,False,-2.7933,2.8789,1,2,1,50.0,25.615763546798025,25.615763546798025,19.097938144329895,0.9020618556701068,历史1/2次成功; 当前距低点0.90%; 最新日涨幅-2.79%; 状态bottom_area; 底部未确认
12,62.21505605280924,55.467096753055266,300631,久吾高科,bottom_area,2022-04-20,27.52,2022-04-18,26.54,3.69253956292389,9.2690278824416,32.91203235591507,True,-2.9277,2.0105,1,2,1,50.0,23.04347826086956,23.04347826086956,16.30746043707611,3.69253956292389,历史1/2次成功; 当前距低点3.69%; 最新日涨幅-2.93%; 状态bottom_area; 底部已确认
