rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.77464216001574,78.56989230138362,300358,楚天科技,bottom_area,2025-12-10,9.2,2025-12-05,8.96,2.6785714285714106,4.575892857142839,27.74193548387096,False,0.9879,2.5077,3,4,3,75.0,34.04319977702382,38.205499276411004,17.32142857142859,2.6785714285714106,历史3/4次成功; 当前距低点2.68%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
2,87.39309773471858,75.38532651673677,003038,鑫铂股份,bottom_area,2025-12-10,15.67,2025-11-24,15.38,1.8855656697009047,5.7867360208062335,28.76331635016211,False,-0.9482,1.8907,1,1,1,100.0,25.507614213197975,25.507614213197975,18.114434330299094,1.8855656697009047,历史1/1次成功; 当前距低点1.89%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
3,85.95854472045436,73.88537517104825,601127,赛力斯,bottom_area,2025-12-10,124.44,2025-11-24,122.37,1.691591076244172,7.232164746261334,28.854651162790695,True,0.3548,0.8863,5,9,5,55.55555555555556,29.69523621503266,42.19143576826195,18.308408923755827,1.691591076244172,历史5/9次成功; 当前距低点1.69%; 最新日涨幅0.35%; 状态bottom_area; 底部已确认
4,85.7350466839639,73.61580899325664,002759,天际股份,bottom_area,2025-12-10,34.83,2025-12-08,34.27,1.6340822877151888,7.090749927049897,27.33248515691263,True,-0.2006,15.1693,3,5,3,60.0,40.3844978991789,72.99787384833452,18.365917712284812,1.6340822877151888,历史3/5次成功; 当前距低点1.63%; 最新日涨幅-0.20%; 状态bottom_area; 底部已确认
5,84.8679547326078,75.17911726386237,603178,圣龙股份,bottom_area,2025-12-10,18.25,2025-12-05,17.66,3.34088335220838,4.0203850509626315,28.182187881252542,False,0.1647,0.6307,5,7,5,71.42857142857143,31.669983984855786,47.51869476546566,16.65911664779162,3.34088335220838,历史5/7次成功; 当前距低点3.34%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
6,84.68995177191356,74.80396518375244,002418,康盛股份,bottom_area,2025-12-10,4.54,2025-12-05,4.4,3.1818181818181746,7.954545454545446,27.031509121061358,True,-2.5751,5.5979,1,1,1,100.0,29.078014184397176,29.078014184397176,16.818181818181827,3.1818181818181746,历史1/1次成功; 当前距低点3.18%; 最新日涨幅-2.58%; 状态bottom_area; 底部已确认
7,84.18014760868033,74.64019738093019,000619,海螺新材,bottom_area,2025-12-10,6.4,2025-11-21,6.19,3.3925686591276247,7.108239095315015,27.85547785547785,True,-1.0819,2.666,3,4,3,75.0,34.947601740544016,43.133047210300425,16.607431340872374,3.3925686591276247,历史3/4次成功; 当前距低点3.39%; 最新日涨幅-1.08%; 状态bottom_area; 底部已确认
8,84.15615689160448,75.33722786195774,300035,中科电气,bottom_area,2025-12-10,21.22,2025-12-05,20.42,3.91772771792359,5.729676787463261,29.097222222222218,False,1.0958,2.9994,1,1,1,100.0,27.686274509803933,27.686274509803933,16.08227228207641,3.91772771792359,历史1/1次成功; 当前距低点3.92%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
9,83.16415194354703,75.32389872478224,002104,恒宝股份,bottom_area,2025-12-10,18.35,2025-12-04,17.55,4.558404558404562,7.578347578347569,27.027027027027028,True,0.2732,3.126,3,4,3,75.0,30.441188806154024,43.85245901639344,15.44159544159544,4.558404558404562,历史3/4次成功; 当前距低点4.56%; 最新日涨幅0.27%; 状态bottom_area; 底部已确认
10,81.73137723802219,72.94672864008817,600550,保变电气,bottom_area,2025-12-10,9.4,2025-12-04,9.06,3.752759381898453,6.401766004415012,30.307692307692303,False,-1.8789,3.6305,1,1,1,100.0,35.285053929121716,35.285053929121716,16.24724061810155,3.752759381898453,历史1/1次成功; 当前距低点3.75%; 最新日涨幅-1.88%; 状态bottom_area; 底部未确认
11,79.60689188620424,67.81503223143633,605228,神通科技,bottom_area,2025-12-10,14.32,2025-12-10,14.15,1.2014134275618369,1.4134275618374508,27.061855670103085,False,0.4208,0.5484,2,5,2,40.0,33.94760670041569,47.56554307116105,18.798586572438165,1.2014134275618369,历史2/5次成功; 当前距低点1.20%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
