rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.03401996295104,75.62756836120779,002045,国光电器,bottom_area,2023-07-26,13.55,2023-07-26,13.41,1.0439970171513837,7.084265473527212,27.39577693557119,False,-5.8374,4.9172,3,4,3,75.0,30.875707313510432,33.77563329312426,18.95600298284862,1.0439970171513837,历史3/4次成功; 当前距低点1.04%; 最新日涨幅-5.84%; 状态bottom_area; 底部未确认
2,85.47854277658996,74.67552645962132,002590,万安科技,bottom_area,2023-07-26,11.53,2023-07-24,11.24,2.5800711743772164,6.672597864768683,28.589580686149933,False,-2.7004,6.7294,1,1,1,100.0,30.204778156996575,30.204778156996575,17.419928825622787,2.5800711743772164,历史1/1次成功; 当前距低点2.58%; 最新日涨幅-2.70%; 状态bottom_area; 底部未确认
3,81.20862652432686,72.68914597461402,600995,南网储能,bottom_area,2023-07-26,11.16,2023-06-07,10.74,3.910614525139664,8.379888268156428,32.7909887359199,True,-0.6233,0.462,1,1,1,100.0,26.64165103189493,26.64165103189493,16.089385474860336,3.910614525139664,历史1/1次成功; 当前距低点3.91%; 最新日涨幅-0.62%; 状态bottom_area; 底部已确认
4,67.51134713519895,58.41199165175909,603033,三维股份,bottom_area,2023-07-26,15.92,2023-07-17,15.6,2.051282051282053,5.25641025641027,27.677329624478446,False,0.8872,0.0989,1,3,1,33.33333333333333,24.922480620155024,24.922480620155024,17.94871794871795,2.051282051282053,历史1/3次成功; 当前距低点2.05%; 最新日涨幅0.89%; 状态bottom_area; 底部未确认
5,66.24334129055566,55.870385225425466,000037,深南电A,bottom_area,2023-07-26,10.74,2023-07-26,10.67,0.6560449859418959,4.311152764761021,27.80784844384303,False,-2.8933,5.3642,2,6,2,33.33333333333333,39.8001852690304,45.16765285996055,19.343955014058107,0.6560449859418959,历史2/6次成功; 当前距低点0.66%; 最新日涨幅-2.89%; 状态bottom_area; 底部未确认
6,66.09773918669339,58.023152410558566,002395,双象股份,bottom_area,2023-07-26,11.21,2023-06-26,10.9,2.8440366972477107,10.091743119266052,29.677419354838708,True,-5.2409,4.9992,1,2,1,50.0,36.59976387249114,36.59976387249114,17.15596330275229,2.8440366972477107,历史1/2次成功; 当前距低点2.84%; 最新日涨幅-5.24%; 状态bottom_area; 底部已确认
7,60.707172960621186,54.126191131425806,300722,新余国科,bottom_area,2023-07-26,24.97,2023-07-24,24.08,3.6960132890365474,6.686046511627921,29.176470588235297,False,-1.499,0.7415,1,4,1,25.0,45.90377113133938,45.90377113133938,16.303986710963454,3.6960132890365474,历史1/4次成功; 当前距低点3.70%; 最新日涨幅-1.50%; 状态bottom_area; 底部未确认
8,60.08259071891595,50.30379022434835,002829,星网宇达,bottom_area,2023-07-26,31.4,2023-07-26,31.32,0.25542784163473276,2.2030651340996092,30.042439133348232,False,-1.9669,1.7057,1,3,1,33.33333333333333,21.628131021194598,21.628131021194598,19.744572158365266,0.25542784163473276,历史1/3次成功; 当前距低点0.26%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
9,59.264959975804125,49.81523210564638,002403,爱仕达,bottom_area,2023-07-26,8.54,2023-07-24,8.5,0.47058823529410765,2.5882352941176547,31.891025641025646,False,-1.6129,1.8869,1,3,1,33.33333333333333,21.63892445582587,21.63892445582587,19.52941176470589,0.47058823529410765,历史1/3次成功; 当前距低点0.47%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
10,59.135679688571805,50.006053391556925,300342,天银机电,bottom_area,2023-07-26,11.36,2023-07-25,11.27,0.7985803016858904,5.2351375332741785,27.337201805286917,False,-0.786,4.6207,1,3,1,33.33333333333333,26.68539325842696,26.68539325842696,19.20141969831411,0.7985803016858904,历史1/3次成功; 当前距低点0.80%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
11,59.029060102298274,52.164338735769014,605333,沪光股份,bottom_area,2023-07-26,13.83,2023-07-24,13.4,3.208955223880595,7.014925373134324,27.879440258342296,True,-3.0154,4.5051,1,3,1,33.33333333333333,29.01840490797546,29.01840490797546,16.791044776119406,3.208955223880595,历史1/3次成功; 当前距低点3.21%; 最新日涨幅-3.02%; 状态bottom_area; 底部已确认
